alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,7,9.741656074973811,0.0,10.0,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,8,7.16469943338027,0.0,10.0,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,9,5.889076804248352,0.0,10.0,True,7200,800
0.1,10,100,1,Point_CHR,Gaussian,absolute_residual,10,2.451089138258231,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,1,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,2,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,3,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,4,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,5,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,6,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,7,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,8,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,9,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,10,19.223006719731334,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,27.14986237208483,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,20.283856136972076,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,16.891967851657338,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,16.129090260729335,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,11.6888964407044,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,13.27316304716267,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,9.07032590979776,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,8.079185102956373,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,4.576400721745301,0.0,10.0,True,7200,800
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.878111639596721,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,1,24.492631435872575,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,2,23.50262240637965,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,3,18.469715835600024,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,4,18.309621463487915,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,5,15.468396246221243,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,6,13.829382162063258,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,7,10.739859035685356,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,8,7.477628798527332,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,9,5.3559517429706105,0.0,10.0,True,7200,800
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,10,2.7781027339608078,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,1,27.11784354918266,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,2,23.65334748581237,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,3,19.608868024570807,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,4,20.130045016025832,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,5,15.609740633949793,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,6,13.350755888121586,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,7,10.99730492905878,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,8,5.911203376426863,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,9,5.473809868105978,0.0,10.0,True,7200,800
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,10,2.970025100779522,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,1,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,2,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,3,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,4,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,5,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,6,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,7,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,8,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,9,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,10,19.782134908691408,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,1,20.35113233865361,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,2,21.511632228318494,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,3,17.75284526701378,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,4,15.395029887708667,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,5,13.635603023395866,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,6,12.954795981673964,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,7,10.045442843067306,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,8,8.231846739484588,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,9,4.746156773620839,0.0,10.0,True,7200,800
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,10,2.310415098437705,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,1,21.964052567428716,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,2,22.2551729812383,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,3,22.749032388890395,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,4,18.37608756642311,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,5,15.835395260220151,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,6,12.117902228566976,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,7,11.106278124147842,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,8,8.684911464769119,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,9,5.300332930133891,0.0,10.0,True,7200,800
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,10,2.6908778184751356,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,1,25.04883063256676,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,2,22.542995071624674,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,3,25.4437719857859,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,4,19.566309520597358,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,5,19.050109575973035,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,6,12.824805552730965,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,7,12.217177326974664,0.0,10.0,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,8,9.61028658396382,0.0,10.0,True,7200,800
