alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,contamination_fraction,contamination_multiplier,redraw_train_test,n_train,n_test
0.1,10,100,10,Unscaled,Gaussian,absolute_residual,0.92,10827398390719.766,20.11186808007452,0.001001596450805664,0.0,10.0,True,7200,800
0.1,10,100,10,Empirical_copula,Gaussian,absolute_residual,0.77875,17199348879.748455,22.109216545437523,0.0010159015655517578,0.0,10.0,True,7200,800
0.1,10,100,11,TSCP_R,Gaussian,absolute_residual,0.945,105385547665.3482,27.10317609918592,0.004000663757324219,0.0,10.0,True,7200,800
0.1,10,100,11,Point_CHR,Gaussian,absolute_residual,0.93875,95986368432.49133,25.30422425897442,0.0,0.0,10.0,True,7200,800
0.1,10,100,11,Unscaled,Gaussian,absolute_residual,0.9025,7053379265472.537,19.268136916327233,0.0,0.0,10.0,True,7200,800
0.1,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.8725,36153576595.79316,25.5690771655496,0.002000570297241211,0.0,10.0,True,7200,800
0.1,10,100,12,TSCP_R,Gaussian,absolute_residual,0.89,44709199298.01145,25.19239916751743,0.0029976367950439453,0.0,10.0,True,7200,800
0.1,10,100,12,Point_CHR,Gaussian,absolute_residual,0.9225,98811244020.78362,27.660994346111405,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,12,Unscaled,Gaussian,absolute_residual,0.90875,9612497555497.969,19.87392397884413,0.0,0.0,10.0,True,7200,800
0.1,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.7125,10704145045.949476,24.663310297139567,0.0009944438934326172,0.0,10.0,True,7200,800
0.1,10,100,13,TSCP_R,Gaussian,absolute_residual,0.89125,59244602609.411224,26.283387845846566,0.00500798225402832,0.0,10.0,True,7200,800
0.1,10,100,13,Point_CHR,Gaussian,absolute_residual,0.91,109432193030.87561,28.240575638390467,0.0,0.0,10.0,True,7200,800
0.1,10,100,13,Unscaled,Gaussian,absolute_residual,0.91375,12812537027735.955,20.453305882695265,0.0,0.0,10.0,True,7200,800
0.1,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.8175,24595834272.203903,26.26959740300354,0.001996755599975586,0.0,10.0,True,7200,800
0.1,10,100,14,TSCP_R,Gaussian,absolute_residual,0.925,101296369120.32529,28.032245679201296,0.0029981136322021484,0.0,10.0,True,7200,800
0.1,10,100,14,Point_CHR,Gaussian,absolute_residual,0.89125,90388361005.72989,28.63550972180211,0.0010013580322265625,0.0,10.0,True,7200,800
0.1,10,100,14,Unscaled,Gaussian,absolute_residual,0.94125,14234057988622.861,20.669638116553028,0.0,0.0,10.0,True,7200,800
0.1,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.84875,26974213556.049854,24.871141563318524,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,15,TSCP_R,Gaussian,absolute_residual,0.88625,64214645738.39573,31.366172125729136,0.004007816314697266,0.0,10.0,True,7200,800
0.1,10,100,15,Point_CHR,Gaussian,absolute_residual,0.90375,86235069278.91434,33.90407747547815,0.0,0.0,10.0,True,7200,800
0.1,10,100,15,Unscaled,Gaussian,absolute_residual,0.96,42553894789499.37,23.06183876878963,0.0,0.0,10.0,True,7200,800
0.1,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.7875,20635810129.621838,29.287821840892267,0.001999378204345703,0.0,10.0,True,7200,800
0.1,10,100,16,TSCP_R,Gaussian,absolute_residual,0.905,51313636242.313644,27.906246699681905,0.002998828887939453,0.0,10.0,True,7200,800
0.1,10,100,16,Point_CHR,Gaussian,absolute_residual,0.87,30005408591.411884,24.994341993801843,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,16,Unscaled,Gaussian,absolute_residual,0.875,6055965671608.728,18.97659725129734,0.0,0.0,10.0,True,7200,800
0.1,10,100,16,Empirical_copula,Gaussian,absolute_residual,0.8125,19930585279.512093,22.515127240797714,0.0009944438934326172,0.0,10.0,True,7200,800
0.1,10,100,17,TSCP_R,Gaussian,absolute_residual,0.95375,119344022774.8935,29.430878072886998,0.0030145645141601562,0.0,10.0,True,7200,800
0.1,10,100,17,Point_CHR,Gaussian,absolute_residual,0.9525,124234450600.16255,32.0631560709723,0.0,0.0,10.0,True,7200,800
0.1,10,100,17,Unscaled,Gaussian,absolute_residual,0.95375,22754769114964.55,21.6624335403441,0.0,0.0,10.0,True,7200,800
0.1,10,100,17,Empirical_copula,Gaussian,absolute_residual,0.89125,34814286344.931816,25.4269004493554,0.0010004043579101562,0.0,10.0,True,7200,800
0.1,10,100,18,TSCP_R,Gaussian,absolute_residual,0.9325,71411623983.44788,25.4763822448874,0.004005908966064453,0.0,10.0,True,7200,800
0.1,10,100,18,Point_CHR,Gaussian,absolute_residual,0.9775,231038860787.7054,26.884891694341633,0.0,0.0,10.0,True,7200,800
0.1,10,100,18,Unscaled,Gaussian,absolute_residual,0.91125,5595490939093.731,18.827116920659257,0.0,0.0,10.0,True,7200,800
0.1,10,100,18,Empirical_copula,Gaussian,absolute_residual,0.80625,25248363666.087803,25.168818591018077,0.0009942054748535156,0.0,10.0,True,7200,800
0.1,10,100,19,TSCP_R,Gaussian,absolute_residual,0.925,84758423070.71588,30.11441711493,0.004007577896118164,0.0,10.0,True,7200,800
0.1,10,100,19,Point_CHR,Gaussian,absolute_residual,0.9475,263657290823.28778,33.22416054048677,0.00099945068359375,0.0,10.0,True,7200,800
0.1,10,100,19,Unscaled,Gaussian,absolute_residual,0.95,26416101500205.47,21.988057928541565,0.0,0.0,10.0,True,7200,800
0.1,10,100,19,Empirical_copula,Gaussian,absolute_residual,0.8825,40338985310.87768,30.54235197276119,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,20,TSCP_R,Gaussian,absolute_residual,0.86,24572905387.95654,26.305248959477296,0.0030066967010498047,0.0,10.0,True,7200,800
0.1,10,100,20,Point_CHR,Gaussian,absolute_residual,0.7725,13549203793.125647,24.44054082877179,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,20,Unscaled,Gaussian,absolute_residual,0.9375,13097704647812.395,20.49837902990132,0.0,0.0,10.0,True,7200,800
0.1,10,100,20,Empirical_copula,Gaussian,absolute_residual,0.825,16537349137.355629,25.329907307039544,0.0009937286376953125,0.0,10.0,True,7200,800
0.1,10,100,21,TSCP_R,Gaussian,absolute_residual,0.965,187053487673.13788,31.696772018263907,0.00400996208190918,0.0,10.0,True,7200,800
0.1,10,100,21,Point_CHR,Gaussian,absolute_residual,0.96125,180770518962.44366,32.87534301008935,0.0,0.0,10.0,True,7200,800
0.1,10,100,21,Unscaled,Gaussian,absolute_residual,0.94375,20591657261950.75,21.447127326675332,0.0,0.0,10.0,True,7200,800
0.1,10,100,21,Empirical_copula,Gaussian,absolute_residual,0.90375,60387344062.681404,29.229484971985045,0.0009965896606445312,0.0,10.0,True,7200,800
0.1,10,100,22,TSCP_R,Gaussian,absolute_residual,0.87875,44416405427.47145,24.87486867842441,0.004007577896118164,0.0,10.0,True,7200,800
0.1,10,100,22,Point_CHR,Gaussian,absolute_residual,0.9175,80229767714.8514,24.99134359996755,0.0,0.0,10.0,True,7200,800
0.1,10,100,22,Unscaled,Gaussian,absolute_residual,0.8675,3761455236222.7524,18.094041821304042,0.0,0.0,10.0,True,7200,800
0.1,10,100,22,Empirical_copula,Gaussian,absolute_residual,0.7475,15059035354.30359,20.978167892178384,0.0019948482513427734,0.0,10.0,True,7200,800
0.1,10,100,23,TSCP_R,Gaussian,absolute_residual,0.87,29455772469.655445,26.515421983470965,0.003998994827270508,0.0,10.0,True,7200,800
0.1,10,100,23,Point_CHR,Gaussian,absolute_residual,0.87375,33389558852.981228,25.25596210635031,0.0010080337524414062,0.0,10.0,True,7200,800
0.1,10,100,23,Unscaled,Gaussian,absolute_residual,0.95875,26826279108438.53,22.021963773488505,0.0,0.0,10.0,True,7200,800
0.1,10,100,23,Empirical_copula,Gaussian,absolute_residual,0.7825,14395122528.628246,25.567696036777573,0.00099945068359375,0.0,10.0,True,7200,800
0.1,10,100,24,TSCP_R,Gaussian,absolute_residual,0.9075,45203606368.48906,25.618015075831202,0.0029990673065185547,0.0,10.0,True,7200,800
0.1,10,100,24,Point_CHR,Gaussian,absolute_residual,0.90625,43954380419.65783,23.220257589950606,0.00099945068359375,0.0,10.0,True,7200,800
0.1,10,100,24,Unscaled,Gaussian,absolute_residual,0.9275,17207764637223.025,21.06553268996578,0.0,0.0,10.0,True,7200,800
0.1,10,100,24,Empirical_copula,Gaussian,absolute_residual,0.8625,32924567140.6227,24.990991880234038,0.0010001659393310547,0.0,10.0,True,7200,800
0.1,10,100,25,TSCP_R,Gaussian,absolute_residual,0.9275,85291728756.9085,25.50000505152007,0.005008220672607422,0.0,10.0,True,7200,800
0.1,10,100,25,Point_CHR,Gaussian,absolute_residual,0.96,276244567962.019,26.79729015563576,0.0,0.0,10.0,True,7200,800
0.1,10,100,25,Unscaled,Gaussian,absolute_residual,0.86125,4113817089442.7153,18.256793266830638,0.0,0.0,10.0,True,7200,800
0.1,10,100,25,Empirical_copula,Gaussian,absolute_residual,0.84125,30334680879.54255,23.302640350979114,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,26,TSCP_R,Gaussian,absolute_residual,0.89375,43475033263.72403,25.016952820578815,0.003007650375366211,0.0,10.0,True,7200,800
0.1,10,100,26,Point_CHR,Gaussian,absolute_residual,0.865,30887546469.498455,26.19910984462287,0.0009992122650146484,0.0,10.0,True,7200,800
0.1,10,100,26,Unscaled,Gaussian,absolute_residual,0.93875,14464211089676.441,20.70281851943316,0.0,0.0,10.0,True,7200,800
0.1,10,100,26,Empirical_copula,Gaussian,absolute_residual,0.775,16244562889.835207,21.946794079606136,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,27,TSCP_R,Gaussian,absolute_residual,0.8975,44855331136.37604,26.43812419063189,0.00400090217590332,0.0,10.0,True,7200,800
0.1,10,100,27,Point_CHR,Gaussian,absolute_residual,0.91,66395722992.33927,28.2133276436546,0.0,0.0,10.0,True,7200,800
0.1,10,100,27,Unscaled,Gaussian,absolute_residual,0.93625,11206865683957.553,20.18126646522055,0.0,0.0,10.0,True,7200,800
0.1,10,100,27,Empirical_copula,Gaussian,absolute_residual,0.8175,17970501330.7343,24.42027706639514,0.0009984970092773438,0.0,10.0,True,7200,800
0.1,10,100,28,TSCP_R,Gaussian,absolute_residual,0.945,88195295528.28996,25.407630893890456,0.0030057430267333984,0.0,10.0,True,7200,800
0.1,10,100,28,Point_CHR,Gaussian,absolute_residual,0.95375,255365566407.61264,33.17346967827626,0.0,0.0,10.0,True,7200,800
0.1,10,100,28,Unscaled,Gaussian,absolute_residual,0.91,9968827198011.658,19.94639461574323,0.0,0.0,10.0,True,7200,800
0.1,10,100,28,Empirical_copula,Gaussian,absolute_residual,0.89125,39782402021.504585,24.46626127042311,0.0010037422180175781,0.0,10.0,True,7200,800
0.1,10,100,29,TSCP_R,Gaussian,absolute_residual,0.91125,70911193188.56972,27.721088204195073,0.0039997100830078125,0.0,10.0,True,7200,800
0.1,10,100,29,Point_CHR,Gaussian,absolute_residual,0.94125,208174421569.73404,36.7400049961045,0.0,0.0,10.0,True,7200,800
0.1,10,100,29,Unscaled,Gaussian,absolute_residual,0.9375,22708378031211.387,21.658013073914027,0.0,0.0,10.0,True,7200,800
0.1,10,100,29,Empirical_copula,Gaussian,absolute_residual,0.8375,30058861478.077843,23.603967240035637,0.00099945068359375,0.0,10.0,True,7200,800
0.1,10,100,30,TSCP_R,Gaussian,absolute_residual,0.895,53433632581.77079,28.9056540201872,0.004006624221801758,0.0,10.0,True,7200,800
0.1,10,100,30,Point_CHR,Gaussian,absolute_residual,0.86875,47977072025.8273,29.93698937074192,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,30,Unscaled,Gaussian,absolute_residual,0.95375,18884705471742.254,21.262338190584128,0.0,0.0,10.0,True,7200,800
0.1,10,100,30,Empirical_copula,Gaussian,absolute_residual,0.82625,23203127719.08365,25.593925490961063,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,31,TSCP_R,Gaussian,absolute_residual,0.8575,27702197828.473446,24.171175581377728,0.00400090217590332,0.0,10.0,True,7200,800
0.1,10,100,31,Point_CHR,Gaussian,absolute_residual,0.9075,43500043472.13028,25.49832396244358,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,31,Unscaled,Gaussian,absolute_residual,0.8925,5162639752199.524,18.676142635518406,0.0,0.0,10.0,True,7200,800
0.1,10,100,31,Empirical_copula,Gaussian,absolute_residual,0.7925,16114951902.344843,24.072302502889656,0.0010063648223876953,0.0,10.0,True,7200,800
0.1,10,100,32,TSCP_R,Gaussian,absolute_residual,0.92875,129685151743.85876,25.86726378085431,0.004006862640380859,0.0,10.0,True,7200,800
0.1,10,100,32,Point_CHR,Gaussian,absolute_residual,0.875,54785545255.766624,24.32042840068641,0.0010001659393310547,0.0,10.0,True,7200,800
0.1,10,100,32,Unscaled,Gaussian,absolute_residual,0.8875,9252808168014.525,19.798275158743376,0.0,0.0,10.0,True,7200,800
0.1,10,100,32,Empirical_copula,Gaussian,absolute_residual,0.85,40716681476.862854,25.744375160300656,0.0009996891021728516,0.0,10.0,True,7200,800
0.1,10,100,33,TSCP_R,Gaussian,absolute_residual,0.945,124549202873.03278,28.540108608365927,0.0040013790130615234,0.0,10.0,True,7200,800
0.1,10,100,33,Point_CHR,Gaussian,absolute_residual,0.9175,127481561584.61064,30.20921871161731,0.0010080337524414062,0.0,10.0,True,7200,800
0.1,10,100,33,Unscaled,Gaussian,absolute_residual,0.9325,14656795807983.191,20.730219650096785,0.0,0.0,10.0,True,7200,800
0.1,10,100,33,Empirical_copula,Gaussian,absolute_residual,0.84875,30532955429.113472,25.672814780853457,0.000997781753540039,0.0,10.0,True,7200,800
0.1,10,100,34,TSCP_R,Gaussian,absolute_residual,0.86,53626211838.92532,29.682957727761092,0.0029976367950439453,0.0,10.0,True,7200,800
0.1,10,100,34,Point_CHR,Gaussian,absolute_residual,0.8025,34401534646.03212,31.840805322028885,0.0010013580322265625,0.0,10.0,True,7200,800
0.1,10,100,34,Unscaled,Gaussian,absolute_residual,0.91125,14555891668876.797,20.71590360383974,0.0,0.0,10.0,True,7200,800
0.1,10,100,34,Empirical_copula,Gaussian,absolute_residual,0.75625,24455987513.917774,25.99534120211124,0.001001119613647461,0.0,10.0,True,7200,800
0.1,10,100,35,TSCP_R,Gaussian,absolute_residual,0.895,36158527495.31089,24.782017573299633,0.004001140594482422,0.0,10.0,True,7200,800
0.1,10,100,35,Point_CHR,Gaussian,absolute_residual,0.8825,33299068274.376617,26.918061472389738,0.0,0.0,10.0,True,7200,800
0.1,10,100,35,Unscaled,Gaussian,absolute_residual,0.92,9079716023773.941,19.760923030800495,0.0,0.0,10.0,True,7200,800
0.1,10,100,35,Empirical_copula,Gaussian,absolute_residual,0.83375,19991444811.31668,23.737362670511025,0.0020058155059814453,0.0,10.0,True,7200,800
0.1,10,100,36,TSCP_R,Gaussian,absolute_residual,0.92125,66568793633.05904,27.07190085218896,0.002997875213623047,0.0,10.0,True,7200,800
0.1,10,100,36,Point_CHR,Gaussian,absolute_residual,0.905,77443821979.51399,26.996201461517686,0.001001596450805664,0.0,10.0,True,7200,800
0.1,10,100,36,Unscaled,Gaussian,absolute_residual,0.92,12471349396196.871,20.398176469748034,0.0,0.0,10.0,True,7200,800
0.1,10,100,36,Empirical_copula,Gaussian,absolute_residual,0.81375,24724760236.451878,25.772510414145223,0.0010001659393310547,0.0,10.0,True,7200,800
0.1,10,100,37,TSCP_R,Gaussian,absolute_residual,0.92625,91028365785.06252,27.322394115395365,0.002998828887939453,0.0,10.0,True,7200,800
0.1,10,100,37,Point_CHR,Gaussian,absolute_residual,0.88,66009839805.85025,27.09285130125268,0.0010111331939697266,0.0,10.0,True,7200,800
0.1,10,100,37,Unscaled,Gaussian,absolute_residual,0.88375,6336620630991.397,19.06275958553451,0.0,0.0,10.0,True,7200,800
0.1,10,100,37,Empirical_copula,Gaussian,absolute_residual,0.83625,27968778078.396675,27.124721733187215,0.0009927749633789062,0.0,10.0,True,7200,800
0.1,10,100,38,TSCP_R,Gaussian,absolute_residual,0.9275,77833688965.91595,29.107086281569025,0.005007266998291016,0.0,10.0,True,7200,800
0.1,10,100,38,Point_CHR,Gaussian,absolute_residual,0.9275,81434451475.45195,29.67826344518489,0.0,0.0,10.0,True,7200,800
0.1,10,100,38,Unscaled,Gaussian,absolute_residual,0.93375,22740710557562.95,21.661094800026184,0.0,0.0,10.0,True,7200,800
0.1,10,100,38,Empirical_copula,Gaussian,absolute_residual,0.84125,31416190406.917557,25.91056916865633,0.0009999275207519531,0.0,10.0,True,7200,800
0.1,10,100,39,TSCP_R,Gaussian,absolute_residual,0.925,84905667716.12317,26.278214213359426,0.004001140594482422,0.0,10.0,True,7200,800
0.1,10,100,39,Point_CHR,Gaussian,absolute_residual,0.9,81047136783.48097,28.403023246570502,0.0,0.0,10.0,True,7200,800
0.1,10,100,39,Unscaled,Gaussian,absolute_residual,0.86,4835260724018.146,18.554189577159026,0.0,0.0,10.0,True,7200,800
0.1,10,100,39,Empirical_copula,Gaussian,absolute_residual,0.85125,29194377308.346565,25.62851598779938,0.0010080337524414062,0.0,10.0,True,7200,800
0.1,10,100,40,TSCP_R,Gaussian,absolute_residual,0.93625,71676538252.4191,25.11083811717353,0.0039997100830078125,0.0,10.0,True,7200,800
0.1,10,100,40,Point_CHR,Gaussian,absolute_residual,0.9,51237124760.92013,21.375713156397868,0.0,0.0,10.0,True,7200,800
0.1,10,100,40,Unscaled,Gaussian,absolute_residual,0.865,3175957286189.5874,17.79047178551499,0.0,0.0,10.0,True,7200,800
0.1,10,100,40,Empirical_copula,Gaussian,absolute_residual,0.8325,21026052878.777348,26.83302445999368,0.0009992122650146484,0.0,10.0,True,7200,800
0.1,10,100,41,TSCP_R,Gaussian,absolute_residual,0.88,46078320155.827576,29.48500125930159,0.0039997100830078125,0.0,10.0,True,7200,800
0.1,10,100,41,Point_CHR,Gaussian,absolute_residual,0.81625,22895810581.73509,25.832862621739785,0.0,0.0,10.0,True,7200,800
0.1,10,100,41,Unscaled,Gaussian,absolute_residual,0.905,8848354520009.365,19.709983081086236,0.0,0.0,10.0,True,7200,800
0.1,10,100,41,Empirical_copula,Gaussian,absolute_residual,0.83625,24379483408.834652,25.192607325729124,0.0020074844360351562,0.0,10.0,True,7200,800
0.1,10,100,42,TSCP_R,Gaussian,absolute_residual,0.95,97452865436.45149,28.48469450218878,0.004005908966064453,0.0,10.0,True,7200,800
0.1,10,100,42,Point_CHR,Gaussian,absolute_residual,0.94375,110386467970.29509,31.079267220535257,0.0,0.0,10.0,True,7200,800
0.1,10,100,42,Unscaled,Gaussian,absolute_residual,0.92625,10811108678900.064,20.108840219290016,0.0,0.0,10.0,True,7200,800
0.1,10,100,42,Empirical_copula,Gaussian,absolute_residual,0.87625,32612089247.930412,23.573810171237753,0.0010044574737548828,0.0,10.0,True,7200,800
0.1,10,100,43,TSCP_R,Gaussian,absolute_residual,0.93125,103506261504.65642,27.617890955537074,0.004000186920166016,0.0,10.0,True,7200,800
0.1,10,100,43,Point_CHR,Gaussian,absolute_residual,0.88,57972437431.374374,27.051831777672664,0.0,0.0,10.0,True,7200,800
0.1,10,100,43,Unscaled,Gaussian,absolute_residual,0.91,11765507309698.639,20.279678504103348,0.001001596450805664,0.0,10.0,True,7200,800
0.1,10,100,43,Empirical_copula,Gaussian,absolute_residual,0.85125,29395777324.774612,26.14974132890897,0.0009992122650146484,0.0,10.0,True,7200,800
0.1,10,100,44,TSCP_R,Gaussian,absolute_residual,0.84375,30827287633.4493,25.234355937216293,0.003998994827270508,0.0,10.0,True,7200,800
0.1,10,100,44,Point_CHR,Gaussian,absolute_residual,0.8825,59160925003.230286,24.564548883669886,0.0,0.0,10.0,True,7200,800
0.1,10,100,44,Unscaled,Gaussian,absolute_residual,0.89625,6957913071981.139,19.241897632719986,0.0,0.0,10.0,True,7200,800
0.1,10,100,44,Empirical_copula,Gaussian,absolute_residual,0.78875,17178208394.815805,24.711057206170917,0.0020012855529785156,0.0,10.0,True,7200,800
0.1,10,100,45,TSCP_R,Gaussian,absolute_residual,0.88375,42678288119.286766,26.331097501611886,0.003996610641479492,0.0,10.0,True,7200,800
0.1,10,100,45,Point_CHR,Gaussian,absolute_residual,0.88375,48759406022.55703,29.98079289199832,0.0,0.0,10.0,True,7200,800
0.1,10,100,45,Unscaled,Gaussian,absolute_residual,0.88625,7209285474794.454,19.310308954631697,0.0,0.0,10.0,True,7200,800
0.1,10,100,45,Empirical_copula,Gaussian,absolute_residual,0.81875,21940484299.753025,24.67402985046474,0.0010046958923339844,0.0,10.0,True,7200,800
0.1,10,100,46,TSCP_R,Gaussian,absolute_residual,0.91625,71454142004.74898,27.240327398139588,0.004006862640380859,0.0,10.0,True,7200,800
