alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,4,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,5,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,6,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,7,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,8,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,9,2.582899581049953,True,7200,800,1
0.1,10,100,1,Unscaled,Gaussian,absolute_residual,10,2.582899581049953,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,1,2.615264136944962,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,2,2.565422819328237,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,3,1.9953273844471173,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,4,2.323711771782147,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,2.3140131400238015,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,2.17704049137207,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,2.6702325092736263,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,2.5828995810173705,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,2.0686261289054144,True,7200,800,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.319868326366489,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,1,2.5632430830134645,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,2,2.585323544164705,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,3,2.5657256880901524,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,4,2.6838716970303036,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,5,2.345010423801814,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,6,2.924365201340138,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,7,2.617629425855026,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,8,2.708756595336224,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,9,2.6363646262798195,True,7200,800,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,10,2.7304034463161932,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,1,2.8785075601873884,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,2,2.3240178878462174,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,3,2.460546815994337,True,7200,800,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,4,2.7820416345011476,True,7200,800,1
