alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,0.8875,19165693412.34732,24.2850534592771,0.0039937496185302734,0.6,equicorrelated,True,7200,800
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,0.865,14915505011.02127,25.48436341698615,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,0.9025,4873044677501.367,18.568637558829263,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.84125,11154926056.891687,22.993949850095404,0.00099945068359375,0.6,equicorrelated,True,7200,800
0.2,10,100,3,TSCP_R,Gaussian,absolute_residual,0.705,2099142033.2201834,19.4248601552585,0.0019998550415039062,0.6,equicorrelated,True,7200,800
0.2,10,100,3,Point_CHR,Gaussian,absolute_residual,0.82625,9595347931.497486,24.936136878937027,0.0009951591491699219,0.6,equicorrelated,True,7200,800
0.2,10,100,3,Unscaled,Gaussian,absolute_residual,0.81625,1284173743172.0413,16.250337253207327,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.6775,1872064584.279287,18.568637558732192,0.0009992122650146484,0.6,equicorrelated,True,7200,800
0.05,10,100,4,TSCP_R,Gaussian,absolute_residual,0.9575,117099864701.98532,25.976024809840467,0.00400543212890625,0.6,equicorrelated,True,7200,800
0.05,10,100,4,Point_CHR,Gaussian,absolute_residual,0.96875,329251575591.6203,29.247512170057483,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,4,Unscaled,Gaussian,absolute_residual,0.94125,18089610287069.324,21.171075506997983,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.93,103100458797.1032,23.600060457924734,0.0019996166229248047,0.6,equicorrelated,True,7200,800
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,0.925,47567598555.54055,23.68415962661496,0.0030059814453125,0.6,equicorrelated,True,7200,800
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,0.9475,84689854306.01285,25.384128247277502,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,0.905,5852330065632.664,18.911800644839712,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.91,38433769013.21921,22.34278564526523,0.0009984970092773438,0.6,equicorrelated,True,7200,800
0.2,10,100,4,TSCP_R,Gaussian,absolute_residual,0.87375,14565487099.354359,21.202629559229255,0.002996206283569336,0.6,equicorrelated,True,7200,800
0.2,10,100,4,Point_CHR,Gaussian,absolute_residual,0.89375,26720935605.013695,26.647400575798162,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,4,Unscaled,Gaussian,absolute_residual,0.84875,1902358729069.0085,16.901655350243377,0.0009992122650146484,0.6,equicorrelated,True,7200,800
0.2,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.85,12181318515.339918,20.23977750013919,0.0009963512420654297,0.6,equicorrelated,True,7200,800
0.05,10,100,5,TSCP_R,Gaussian,absolute_residual,0.9475,58615563842.75212,27.67031974579816,0.004012107849121094,0.6,equicorrelated,True,7200,800
0.05,10,100,5,Point_CHR,Gaussian,absolute_residual,0.98375,502937691444.27594,32.00081834601175,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,5,Unscaled,Gaussian,absolute_residual,0.9175,7801660764147.352,19.463399915889717,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.9325,101655198548.80682,35.95586366491174,0.0019893646240234375,0.6,equicorrelated,True,7200,800
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,0.895,21411580594.009132,24.960335318481274,0.003012418746948242,0.6,equicorrelated,True,7200,800
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,0.90625,27030223715.88097,26.5882944705343,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,0.8725,3216283587044.651,17.812932961444577,0.000982046127319336,0.6,equicorrelated,True,7200,800
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.88125,17477753143.034515,25.390920800936243,0.0010094642639160156,0.6,equicorrelated,True,7200,800
0.2,10,100,5,TSCP_R,Gaussian,absolute_residual,0.79125,4357564743.352064,21.12362972912476,0.0019981861114501953,0.6,equicorrelated,True,7200,800
0.2,10,100,5,Point_CHR,Gaussian,absolute_residual,0.82625,9263859468.17494,22.78877523862523,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,5,Unscaled,Gaussian,absolute_residual,0.805,1071608765055.0492,15.958924705331967,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.77,3729405176.2540584,19.2531088127627,0.0009992122650146484,0.6,equicorrelated,True,7200,800
0.05,10,100,6,TSCP_R,Gaussian,absolute_residual,0.96125,94046738535.97032,29.915594479790922,0.00400090217590332,0.6,equicorrelated,True,7200,800
0.05,10,100,6,Point_CHR,Gaussian,absolute_residual,0.97375,226232762957.308,34.05202425255759,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,6,Unscaled,Gaussian,absolute_residual,0.95875,36123515085039.086,22.687100785988704,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.93625,50543139880.557365,28.80681709480098,0.000997304916381836,0.6,equicorrelated,True,7200,800
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,0.90875,33350350873.736008,26.83745062207853,0.004995107650756836,0.6,equicorrelated,True,7200,800
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,0.93875,62035497974.62236,29.43345715067973,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,0.90375,5628741531424.262,18.838274923840743,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.8675,21029669491.981266,25.557309734269914,0.0010120868682861328,0.6,equicorrelated,True,7200,800
0.2,10,100,6,TSCP_R,Gaussian,absolute_residual,0.85125,11706494419.635735,24.274815719838546,0.002993345260620117,0.6,equicorrelated,True,7200,800
0.2,10,100,6,Point_CHR,Gaussian,absolute_residual,0.905,28606061404.97843,25.557309734269914,0.0010025501251220703,0.6,equicorrelated,True,7200,800
0.2,10,100,6,Unscaled,Gaussian,absolute_residual,0.86,2597458453431.779,17.43632121104554,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.7925,6640222713.694235,22.28818576675084,0.0009946823120117188,0.6,equicorrelated,True,7200,800
0.05,10,100,7,TSCP_R,Gaussian,absolute_residual,0.97875,120771268673.5336,29.810095859426603,0.004008769989013672,0.6,equicorrelated,True,7200,800
0.05,10,100,7,Point_CHR,Gaussian,absolute_residual,0.97625,121156252327.7851,27.53840409758557,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,7,Unscaled,Gaussian,absolute_residual,0.99,78857106210633.8,24.529239497715075,0.0009975433349609375,0.6,equicorrelated,True,7200,800
0.05,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.975,169919707387.50748,27.874599018694695,0.0009996891021728516,0.6,equicorrelated,True,7200,800
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,0.965,73734228833.36107,28.331281712813414,0.0030138492584228516,0.6,equicorrelated,True,7200,800
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,0.91125,27812743460.450047,27.83808642575841,0.000980377197265625,0.6,equicorrelated,True,7200,800
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,0.98375,45127721147053.81,23.197668624955334,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.94375,50763469353.05252,25.353632417981206,0.0010075569152832031,0.6,equicorrelated,True,7200,800
0.2,10,100,7,TSCP_R,Gaussian,absolute_residual,0.90875,21534797233.4098,24.953027857577226,0.00299835205078125,0.6,equicorrelated,True,7200,800
0.2,10,100,7,Point_CHR,Gaussian,absolute_residual,0.88375,16073537327.062038,26.109510938331397,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,7,Unscaled,Gaussian,absolute_residual,0.90625,4514836447176.18,18.427405903904546,0.0,0.6,equicorrelated,True,7200,800
0.2,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.86,12307188782.96466,23.63942980559581,0.0019958019256591797,0.6,equicorrelated,True,7200,800
0.05,10,100,8,TSCP_R,Gaussian,absolute_residual,0.92875,48659297234.330475,23.66043692328853,0.004003047943115234,0.6,equicorrelated,True,7200,800
0.05,10,100,8,Point_CHR,Gaussian,absolute_residual,0.94625,87579142241.52692,25.799767294158176,0.0010008811950683594,0.6,equicorrelated,True,7200,800
0.05,10,100,8,Unscaled,Gaussian,absolute_residual,0.8975,7040525027581.786,19.26462256443001,0.0,0.6,equicorrelated,True,7200,800
0.05,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.905,33982446621.12199,23.65920644068362,0.0009999275207519531,0.6,equicorrelated,True,7200,800
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,0.895,27515738840.79919,22.406167184991222,0.003996849060058594,0.6,equicorrelated,True,7200,800
0.1,10,100,8,Point_CHR,Gaussian,absolute_residual,0.9175,44508559275.82912,24.44837943204685,0.0,0.6,equicorrelated,True,7200,800
0.1,10,100,8,Unscaled,Gaussian,absolute_residual,0.86125,2769963823090.235,17.548799404619746,0.0,0.6,equicorrelated,True,7200,800
