alpha,n_dim,n_cal,trial,method,noise_type,score_type,redraw_train_test,n_train,n_test,test_coverage,coverage_volume,runtime,n_shapes,grid_size,template_calibration_size
0.1,2,30,39,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8966666666666666,11.662397119893528,0.12409529997967184,3,20,15
0.1,2,30,40,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9966666666666667,37.03415587544645,0.11064169998280704,2,20,15
0.1,2,30,41,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9816666666666667,18.280751514181503,0.09855250001419336,2,20,15
0.1,2,30,42,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9566666666666667,16.814769502627357,0.12558180000633,3,20,15
0.1,2,30,43,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9066666666666666,8.755115376297733,0.16063840000424534,3,20,15
0.1,2,30,44,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9916666666666667,49.21805456112362,0.10007310006767511,2,20,15
0.1,2,30,45,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9666666666666667,20.006779452591577,0.1004016000078991,2,20,15
0.1,2,30,46,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8316666666666667,7.454260678858156,0.12289909995160997,2,20,15
0.1,2,30,47,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9983333333333333,26.34579211226639,0.12711920007131994,2,20,15
0.1,2,30,48,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9933333333333333,42.93395808727449,0.10234679991845042,2,20,15
0.1,2,30,49,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7633333333333333,5.092024295072836,0.11548959999345243,1,20,15
0.1,2,30,50,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9666666666666667,13.572739984080869,0.12093380000442266,2,20,15
0.1,2,30,51,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.97,24.426410766271495,0.10765320004429668,1,20,15
0.1,2,30,52,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9383333333333334,12.603563299380607,0.137163000064902,2,20,15
0.1,2,30,53,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9033333333333333,11.888718039614167,0.07348359993193299,2,20,15
0.1,2,30,54,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9316666666666666,9.616677005554564,0.12485409993678331,2,20,15
0.1,2,30,55,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9866666666666667,22.636391341048906,0.11212239996530116,2,20,15
0.1,2,30,56,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9933333333333333,27.38063789261232,0.11971510003786534,1,20,15
0.1,2,30,57,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9266666666666666,13.950859382333853,0.12346929998602718,2,20,15
0.1,2,30,58,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9,10.936283400540106,0.12255059997551143,2,20,15
0.1,2,30,59,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.87,8.93938047047922,0.10367630003020167,2,20,15
0.1,2,30,60,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.935,12.627383393667426,0.12975369999185205,2,20,15
0.1,2,30,61,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9716666666666667,13.678113787744207,0.13207420008257031,1,20,15
0.1,2,30,62,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8016666666666666,8.0136677616743,0.10918250004760921,3,20,15
0.1,2,30,63,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9366666666666666,10.743402883088548,0.11940850003156811,1,20,15
0.1,2,30,64,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9483333333333334,11.383160156207127,0.10010519996285439,1,20,15
0.1,2,30,65,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8916666666666667,9.769825889240774,0.11188539990689605,1,20,15
0.1,2,30,66,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8966666666666666,9.513770315449024,0.09902179997880012,1,20,15
0.1,2,30,67,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.94,15.61637428432813,0.12242790008895099,2,20,15
0.1,2,30,68,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9983333333333333,45.47553325021835,0.11438809998799115,2,20,15
0.1,2,30,69,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,1.0,61.844898231840105,0.1060036999406293,1,20,15
0.1,2,30,70,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.7016666666666667,5.766277741142029,0.13228739995975047,2,20,15
0.1,2,30,71,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9966666666666667,96.70945752265283,0.0814134000102058,2,20,15
0.1,2,30,72,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.8883333333333333,9.675477124785758,0.12377640011254698,2,20,15
0.1,2,30,73,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.97,15.857854040438646,0.06514740001875907,2,20,15
0.1,2,30,74,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,1.0,135.62357442317554,0.08141999994404614,2,20,15
0.1,2,30,75,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.935,11.029232050282676,0.10579209995921701,2,20,15
0.1,2,30,76,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9333333333333333,17.10969870454274,0.09409789997152984,2,20,15
0.1,2,30,77,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9816666666666667,22.280211571246024,0.11021090007852763,2,20,15
0.1,2,30,78,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.98,16.183960744331927,0.12213549995794892,2,20,15
0.1,2,30,79,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9116666666666666,12.51818450930815,0.12609959999099374,2,20,15
0.1,2,30,80,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9866666666666667,15.93080819236567,0.14566170005127788,2,20,15
0.1,2,30,81,ShapeTemplate,Gaussian,absolute_residual,True,2400,600,0.9516666666666667,11.550272731073623,0.07425579999107867,2,20,15
