alpha,n_dim,n_cal,method,noise_type,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,30,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.7416375,0.07172841344422816,37304631813.173515,41002814774.81506,29.394188484812837,0.0005553150177001953
0.1,10,30,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9367624999999999,0.05966683963905381,517135915184865.4,3608203830603731.5,46.510204082873294,0.0005050480365753173
0.1,10,30,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.91593125,0.050423613415610496,634149914237.6296,1515680315881.0422,33.96223377110083,0.002951841354370117
0.1,10,30,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9077937500000001,0.049900808881949636,68886534514708.96,134686888815261.52,21.726375468381256,8.503437042236329e-05
0.1,10,50,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.8323937499999999,0.055587143758188094,112841963240.78001,122834295652.69193,33.40986697333713,0.0006953930854797363
0.1,10,50,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9184874999999999,0.05418140680127109,4885745493057.757,28583582983254.188,36.0771202973824,0.0004553532600402832
0.1,10,50,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9077187499999999,0.043317847250174485,271079342218.5943,349743088622.5388,31.108089664425357,0.0032544910907745363
0.1,10,50,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9023687499999999,0.04330805089471236,40370541393198.95,73416308698581.64,21.086400180570333,7.997274398803711e-05
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.8298687499999999,0.032874102558589566,53314877579.65106,27682869474.40855,29.742237095663555,0.0011460602283477784
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.90185625,0.04320323769317951,294099890554.3372,542072123732.51746,30.290270170425515,0.0004497838020324707
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9039875,0.028595798506267575,139618673292.94046,97185130035.93607,29.80486493051007,0.0035944545269012453
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9004062500000001,0.03196725552131942,23259591559146.766,25536156646763.95,20.84497507772158,5.5037736892700195e-05
0.1,10,300,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.8840062500000001,0.020829341221365576,88623801927.80852,30465848636.55603,30.47617508487253,0.0038212692737579347
0.1,10,300,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.90294375,0.02600580285915522,125001089853.97601,79374809048.99677,27.711541249737493,0.00043500065803527834
0.1,10,300,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.90269375,0.019069965689388967,100330890372.99713,38281628300.20252,28.320012159429847,0.004546347856521606
0.1,10,300,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.8994875,0.01951484021695969,15034947278540.926,7736176307353.819,20.53670368053063,8.99958610534668e-05
0.1,10,500,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.89168125,0.0178498753831355,93998587327.75186,26161839824.492363,30.505884184338342,0.007734330892562866
0.1,10,500,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.89949375,0.020205872534038435,98913784137.12411,38057654468.33533,27.306290028660168,0.0005498182773590088
0.1,10,500,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.89961875,0.01641666440812338,89345988998.83975,23372733909.35211,28.2623878700672,0.00559188961982727
0.1,10,500,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.8998375,0.017259797123189733,14794771746736.182,6341181047212.659,20.51668120908023,7.492780685424804e-05
