alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test,noise_ratio
0.1,10,100,11,Point_CHR,Gaussian,absolute_residual,0.805,6497.433169020689,3.1299572135114064,0.001008749008178711,True,7200,800,1
0.1,10,100,11,Unscaled,Gaussian,absolute_residual,0.88625,12525.613934517047,2.5690934516956423,0.0,True,7200,800,1
0.1,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.80625,6539.938818465944,3.0083317428368623,0.0009946823120117188,True,7200,800,1
0.1,10,100,12,TSCP_R,Gaussian,absolute_residual,0.91875,17328.63671415345,2.8868437134954275,0.004000186920166016,True,7200,800,1
0.1,10,100,12,Point_CHR,Gaussian,absolute_residual,0.9575,55503.43383764029,3.4886132991882475,0.0,True,7200,800,1
0.1,10,100,12,Unscaled,Gaussian,absolute_residual,0.91125,11804.91316721836,2.553914063890791,0.0,True,7200,800,1
0.1,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.85625,6842.904914194927,2.6856530264750855,0.0019998550415039062,True,7200,800,1
0.1,10,100,13,TSCP_R,Gaussian,absolute_residual,0.85875,8274.014796793917,2.763672564433953,0.00500035285949707,True,7200,800,1
0.1,10,100,13,Point_CHR,Gaussian,absolute_residual,0.89625,18276.313864776046,3.637639997753281,0.0,True,7200,800,1
0.1,10,100,13,Unscaled,Gaussian,absolute_residual,0.87125,8359.158583590219,2.4672676044880646,0.0,True,7200,800,1
0.1,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.775,3840.0234928861732,2.583201712684597,0.0009968280792236328,True,7200,800,1
0.1,10,100,14,TSCP_R,Gaussian,absolute_residual,0.94375,29831.12616512433,3.2781683672417072,0.00400543212890625,True,7200,800,1
0.1,10,100,14,Point_CHR,Gaussian,absolute_residual,0.93625,35712.44338973388,3.7098994941134684,0.0,True,7200,800,1
0.1,10,100,14,Unscaled,Gaussian,absolute_residual,0.92875,18624.572818136243,2.673059537856304,0.0,True,7200,800,1
0.1,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.80625,5794.579101510893,2.9108963580399205,0.0019943714141845703,True,7200,800,1
0.1,10,100,15,TSCP_R,Gaussian,absolute_residual,0.96,31882.78546521561,3.101838936590738,0.00400233268737793,True,7200,800,1
0.1,10,100,15,Point_CHR,Gaussian,absolute_residual,0.9375,38111.69500165797,3.746239940771761,0.0010077953338623047,True,7200,800,1
0.1,10,100,15,Unscaled,Gaussian,absolute_residual,0.9525,23040.889646848173,2.7305486855515992,0.0,True,7200,800,1
0.1,10,100,15,Empirical_copula,Gaussian,absolute_residual,0.915,13404.09472027552,2.904706970493277,0.0009982585906982422,True,7200,800,1
0.1,10,100,16,TSCP_R,Gaussian,absolute_residual,0.935,26499.663294978538,3.1535435998059955,0.0030045509338378906,True,7200,800,1
0.1,10,100,16,Point_CHR,Gaussian,absolute_residual,0.95875,68056.04811798854,3.6112246848730543,0.0,True,7200,800,1
0.1,10,100,16,Unscaled,Gaussian,absolute_residual,0.915,16183.829519946894,2.635773756168986,0.0,True,7200,800,1
0.1,10,100,16,Empirical_copula,Gaussian,absolute_residual,0.83375,6193.8385426980985,2.6372407594362475,0.0009949207305908203,True,7200,800,1
0.1,10,100,17,TSCP_R,Gaussian,absolute_residual,0.9175,18819.81143731237,2.9520140523883183,0.004000186920166016,True,7200,800,1
0.1,10,100,17,Point_CHR,Gaussian,absolute_residual,0.9175,19207.15036033088,3.094821464923908,0.0,True,7200,800,1
0.1,10,100,17,Unscaled,Gaussian,absolute_residual,0.92375,14883.081165468342,2.613781531664188,0.0,True,7200,800,1
0.1,10,100,17,Empirical_copula,Gaussian,absolute_residual,0.8725,9863.38227628364,3.0289472152701866,0.002006053924560547,True,7200,800,1
0.1,10,100,18,TSCP_R,Gaussian,absolute_residual,0.9375,20152.048159633116,3.3000004676405874,0.002995729446411133,True,7200,800,1
0.1,10,100,18,Point_CHR,Gaussian,absolute_residual,0.9575,37590.790656926394,3.1470298924219917,0.001001119613647461,True,7200,800,1
0.1,10,100,18,Unscaled,Gaussian,absolute_residual,0.92625,15297.520533964887,2.6209703289360604,0.0,True,7200,800,1
0.1,10,100,18,Empirical_copula,Gaussian,absolute_residual,0.865,8571.436168853705,3.1738425492654625,0.0010042190551757812,True,7200,800,1
0.1,10,100,19,TSCP_R,Gaussian,absolute_residual,0.94625,29110.783557379058,3.1476251362517886,0.003998756408691406,True,7200,800,1
