alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,df,redraw_train_test,n_train,n_test
0.1,10,30,2,TSCP_R,t,absolute_residual,7,45.81976359036715,1.5,True,7200,800
0.1,10,30,2,TSCP_R,t,absolute_residual,8,43.43544560288624,1.5,True,7200,800
0.1,10,30,2,TSCP_R,t,absolute_residual,9,9.451448206443372,1.5,True,7200,800
0.1,10,30,2,TSCP_R,t,absolute_residual,10,28.288021430533878,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,1,99.50162812777256,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,2,57.79755521789621,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,3,104.72472430968399,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,4,26.931240184853607,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,5,115.50276390492056,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,6,41.529189836963624,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,7,234.07049579569667,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,8,20.531814173656276,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,9,24.801279926817607,1.5,True,7200,800
0.1,10,30,2,Point_CHR,t,absolute_residual,10,132.84158961966384,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,1,10.237340725409744,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,2,5.9465686842981,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,3,10.774725050288842,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,4,5.36749072722336,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,5,17.43190422006583,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,6,9.195480218494993,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,7,24.08261517237726,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,8,20.531814173656276,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,9,3.163887156549669,1.5,True,7200,800
0.1,10,30,2,Empirical_copula,t,absolute_residual,10,13.667561436233118,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,1,48.35368997944833,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,2,105.15487342524169,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,3,20.380416450398556,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,4,73.45225566182512,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,5,18.212383007753616,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,6,36.87211786277144,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,7,61.04069540434029,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,8,14.044166677686908,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,9,48.26420752120226,1.5,True,7200,800
0.1,10,30,3,TSCP_R,t,absolute_residual,10,39.96806637571242,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,1,524.5943619025377,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,2,53.06441837433946,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,3,247.819308062395,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,4,954.9793104763064,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,5,137.531914356593,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,6,494.72012090820033,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,7,612.5780155834477,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,8,124.51506283005172,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,9,170.159477434551,1.5,True,7200,800
0.1,10,30,3,Point_CHR,t,absolute_residual,10,325.4945018165438,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,1,18.65672431226481,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,2,53.06441837433945,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,3,8.813469693056495,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,4,33.96297599321759,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,5,7.688866435618525,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,6,17.594273933941718,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,7,21.785783429021933,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,8,4.649447931563294,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,9,22.541127724268616,1.5,True,7200,800
0.1,10,30,3,Empirical_copula,t,absolute_residual,10,11.5759177500986,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,1,24.05836654566106,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,2,74.59100011072714,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,3,301.1169272914716,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,4,25.45435512193722,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,5,186.43234563966502,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,6,26.73606121911255,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,7,41.77095952071643,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,8,202.47706859435687,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,9,42.65677859836444,1.5,True,7200,800
0.1,10,30,4,TSCP_R,t,absolute_residual,10,27.601836854631554,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,1,81.7985158167572,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,2,63.131015819863556,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,3,113.06171327116257,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,4,107.07076805259655,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,5,1048.8561200983627,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,6,103.1562728178368,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,7,152.42164740698084,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,8,58.85428528979132,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,9,135.37558663431633,1.5,True,7200,800
0.1,10,30,4,Point_CHR,t,absolute_residual,10,56.631862926519446,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,1,4.74822615313829,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,2,22.808820416717033,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,3,92.08287090540745,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,4,5.616481544416615,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,5,55.018574615875394,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,6,5.41114361099547,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,7,8.947325310764146,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,8,58.854285289791314,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,9,7.101233116425483,1.5,True,7200,800
0.1,10,30,4,Empirical_copula,t,absolute_residual,10,7.5719105223444485,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,1,73.09959673143646,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,2,21.372332191992733,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,3,81.5832629777112,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,4,10.320264097360706,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,5,19.608646555322636,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,6,34.280897875400605,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,7,56.78027338360298,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,8,33.53068056937122,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,9,38.33662532161844,1.5,True,7200,800
0.1,10,30,5,TSCP_R,t,absolute_residual,10,18.982563290654536,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,1,201.21870653300556,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,2,17.307365125016226,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,3,318.22739503818843,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,4,25.104796098883767,1.5,True,7200,800
0.1,10,30,5,Point_CHR,t,absolute_residual,5,26.80627574770135,1.5,True,7200,800
