alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,20,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,31.48781459712607,10.591230358610243,28.89687689522896
0.1,10,20,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,28.412713881556638,10.487092234339158,27.124630872766197
0.1,10,20,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,25.436027486778425,8.56318868291659,24.538296973207313
0.1,10,20,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,21.051775277752235,7.859116147061797,19.300147983305493
0.1,10,20,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,17.62726582520095,6.242670914522327,16.382748927027315
0.1,10,20,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,13.451335824140992,5.0985216903137465,12.232194361592136
0.1,10,20,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,10.654126984621582,3.528164442540496,10.11818809823908
0.1,10,20,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,7.107869741601418,2.562968665949731,6.593756298207033
0.1,10,20,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,3.582722409881245,1.2664569151645262,3.3328736238450962
0.1,10,20,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,30.37272517459298,6.277958721037553,29.65543174065503
0.1,10,20,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,27.39180404156088,5.733541522699387,26.785766183772047
0.1,10,20,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,24.43825873030151,5.161327245360107,24.350105627471137
0.1,10,20,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,21.95150418288788,4.527363340851442,21.629178187961433
0.1,10,20,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,18.685269026946187,4.219989485693257,17.930468258316996
0.1,10,20,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,15.347109558491296,3.3788779883251387,15.002460271306521
0.1,10,20,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,12.169553243028005,2.5975391375062182,12.140047914950003
0.1,10,20,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,9.399387858641099,2.0761955926108904,9.152567022589757
0.1,10,20,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,6.127621726749388,1.389850534823568,5.912103185793862
0.1,10,20,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,3.1328133588752722,0.6360443054810611,3.0811778581527896
0.1,10,20,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,20,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,20.354813656139367,2.928305058069483,19.985147209714576
0.1,10,30,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,23.298846756239442,4.423592654766946,22.69160393707254
0.1,10,30,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,20.988089083510275,3.9006152194000436,21.33736540563382
0.1,10,30,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,19.094148237222857,3.7713196902670996,18.715647948296457
0.1,10,30,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,16.159504184370796,3.3093646369419085,15.963063325806615
0.1,10,30,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,13.937290221896783,2.921433091909477,13.82720499270374
0.1,10,30,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,11.531103728320359,2.3115207867015646,11.064551752671036
0.1,10,30,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.303625243928085,1.825411612380183,9.126588990841684
0.1,10,30,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,6.850342856804922,1.3974081808271144,6.693132576138977
0.1,10,30,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,4.73467221210257,0.9570634194352691,4.6602968149303
0.1,10,30,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.321929322445916,0.4436105455476816,2.2324645483290024
0.1,10,30,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,35.767610722027634,11.924723427281572,32.724185355657525
0.1,10,30,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,31.239736696080673,9.897121000960347,28.562507535110676
0.1,10,30,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,29.0774180382962,8.7819344249684,27.600976242899108
0.1,10,30,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,24.375675804139355,7.614770130074343,22.95723643271018
0.1,10,30,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,21.192843249801072,6.914338803013921,19.790310745506233
0.1,10,30,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,17.56826480633041,5.802653339645829,16.591272967399767
0.1,10,30,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,14.15520425761137,4.269126608579848,13.592140564667968
0.1,10,30,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,10.580800729240831,3.1624098118895665,10.200809695031047
0.1,10,30,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,7.193490166545982,2.1924997865686713,6.879443776950432
