alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,100,Empirical_copula,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,21.483965442401683,2.3084082744599264,21.561536558229115
0.1,10,100,Empirical_copula,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,19.085517272622255,2.021434895200913,19.0469135710255
0.1,10,100,Empirical_copula,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,16.7103000126687,1.8873295020052443,16.330788681603963
0.1,10,100,Empirical_copula,Gaussian,5,0.6,equicorrelated,absolute_residual,True,7200,800,200,14.376453099573924,1.778653370620225,14.138352600541776
0.1,10,100,Empirical_copula,Gaussian,6,0.6,equicorrelated,absolute_residual,True,7200,800,200,11.926767417604735,1.419706800940252,11.742369114790854
0.1,10,100,Empirical_copula,Gaussian,7,0.6,equicorrelated,absolute_residual,True,7200,800,200,9.469707320876234,1.1176717917085806,9.375491870787249
0.1,10,100,Empirical_copula,Gaussian,8,0.6,equicorrelated,absolute_residual,True,7200,800,200,7.19006395377697,0.8715714105087771,7.065029405167301
0.1,10,100,Empirical_copula,Gaussian,9,0.6,equicorrelated,absolute_residual,True,7200,800,200,4.774601179765071,0.5174473227919344,4.682966349398758
0.1,10,100,Empirical_copula,Gaussian,10,0.6,equicorrelated,absolute_residual,True,7200,800,200,2.4013434313130713,0.28153539480202794,2.3750297986622284
0.1,10,100,Point_CHR,Gaussian,1,0.6,equicorrelated,absolute_residual,True,7200,800,200,25.379897442705698,3.321261429842722,25.05924093968494
0.1,10,100,Point_CHR,Gaussian,2,0.6,equicorrelated,absolute_residual,True,7200,800,200,23.044209358036902,3.1087498689580655,22.895780374288925
0.1,10,100,Point_CHR,Gaussian,3,0.6,equicorrelated,absolute_residual,True,7200,800,200,20.56602413633204,2.760281217462694,20.415949900741936
0.1,10,100,Point_CHR,Gaussian,4,0.6,equicorrelated,absolute_residual,True,7200,800,200,17.878184053820675,2.246750833461896,17.752405894997715
