dataset,trial,n_cal,n_test,n_dim,coordinate,target,branch,binary_candidates,backward_candidates
stock,19,15,64,6,1,Annual Return,binary,5,0
stock,19,15,64,6,2,Excess Return,binary,4,0
stock,19,15,64,6,3,Systematic Risk,binary,5,0
stock,19,15,64,6,4,Total Risk,binary,4,0
stock,19,15,64,6,5,Abs. Win Rate,binary,4,0
stock,19,15,64,6,6,Rel. Win Rate,binary,4,0
stock,20,15,64,6,1,Annual Return,binary,5,0
stock,20,15,64,6,2,Excess Return,binary,3,0
stock,20,15,64,6,3,Systematic Risk,binary,3,0
stock,20,15,64,6,4,Total Risk,binary,4,0
stock,20,15,64,6,5,Abs. Win Rate,binary,4,0
stock,20,15,64,6,6,Rel. Win Rate,binary,4,0
stock,21,15,64,6,1,Annual Return,binary,4,0
stock,21,15,64,6,2,Excess Return,binary,4,0
stock,21,15,64,6,3,Systematic Risk,binary,4,0
stock,21,15,64,6,4,Total Risk,binary,4,0
stock,21,15,64,6,5,Abs. Win Rate,binary,4,0
stock,21,15,64,6,6,Rel. Win Rate,binary,4,0
stock,22,15,64,6,1,Annual Return,binary,4,0
stock,22,15,64,6,2,Excess Return,binary,4,0
stock,22,15,64,6,3,Systematic Risk,binary,4,0
stock,22,15,64,6,4,Total Risk,binary,4,0
stock,22,15,64,6,5,Abs. Win Rate,binary,4,0
stock,22,15,64,6,6,Rel. Win Rate,binary,4,0
stock,23,15,64,6,1,Annual Return,binary,4,0
stock,23,15,64,6,2,Excess Return,binary,4,0
stock,23,15,64,6,3,Systematic Risk,binary,4,0
stock,23,15,64,6,4,Total Risk,binary,3,0
stock,23,15,64,6,5,Abs. Win Rate,binary,4,0
stock,23,15,64,6,6,Rel. Win Rate,binary,4,0
stock,24,15,64,6,1,Annual Return,binary,4,0
stock,24,15,64,6,2,Excess Return,binary,4,0
stock,24,15,64,6,3,Systematic Risk,binary,4,0
stock,24,15,64,6,4,Total Risk,binary,4,0
stock,24,15,64,6,5,Abs. Win Rate,binary,4,0
stock,24,15,64,6,6,Rel. Win Rate,binary,4,0
stock,25,15,64,6,1,Annual Return,binary,5,0
stock,25,15,64,6,2,Excess Return,binary,3,0
stock,25,15,64,6,3,Systematic Risk,binary,4,0
stock,25,15,64,6,4,Total Risk,binary,4,0
stock,25,15,64,6,5,Abs. Win Rate,binary,4,0
stock,25,15,64,6,6,Rel. Win Rate,binary,4,0
stock,26,15,64,6,1,Annual Return,binary,4,0
stock,26,15,64,6,2,Excess Return,binary,4,0
stock,26,15,64,6,3,Systematic Risk,binary,4,0
stock,26,15,64,6,4,Total Risk,binary,4,0
stock,26,15,64,6,5,Abs. Win Rate,binary,4,0
stock,26,15,64,6,6,Rel. Win Rate,binary,4,0
stock,27,15,64,6,1,Annual Return,binary,4,0
stock,27,15,64,6,2,Excess Return,binary,4,0
stock,27,15,64,6,3,Systematic Risk,binary,3,0
stock,27,15,64,6,4,Total Risk,binary,4,0
stock,27,15,64,6,5,Abs. Win Rate,binary,4,0
stock,27,15,64,6,6,Rel. Win Rate,binary,4,0
stock,28,15,64,6,1,Annual Return,binary,4,0
stock,28,15,64,6,2,Excess Return,binary,4,0
stock,28,15,64,6,3,Systematic Risk,binary,4,0
stock,28,15,64,6,4,Total Risk,binary,4,0
stock,28,15,64,6,5,Abs. Win Rate,binary,4,0
stock,28,15,64,6,6,Rel. Win Rate,binary,4,0
stock,29,15,64,6,1,Annual Return,binary,4,0
stock,29,15,64,6,2,Excess Return,binary,3,0
stock,29,15,64,6,3,Systematic Risk,binary,4,0
stock,29,15,64,6,4,Total Risk,binary,4,0
stock,29,15,64,6,5,Abs. Win Rate,binary,4,0
stock,29,15,64,6,6,Rel. Win Rate,binary,3,0
stock,30,15,64,6,1,Annual Return,binary,4,0
stock,30,15,64,6,2,Excess Return,binary,4,0
stock,30,15,64,6,3,Systematic Risk,binary,4,0
stock,30,15,64,6,4,Total Risk,binary,4,0
stock,30,15,64,6,5,Abs. Win Rate,binary,3,0
stock,30,15,64,6,6,Rel. Win Rate,binary,4,0
stock,31,15,64,6,1,Annual Return,binary,4,0
stock,31,15,64,6,2,Excess Return,binary,4,0
stock,31,15,64,6,3,Systematic Risk,binary,4,0
stock,31,15,64,6,4,Total Risk,binary,4,0
stock,31,15,64,6,5,Abs. Win Rate,binary,5,0
stock,31,15,64,6,6,Rel. Win Rate,binary,4,0
stock,32,15,64,6,1,Annual Return,binary,4,0
stock,32,15,64,6,2,Excess Return,binary,4,0
stock,32,15,64,6,3,Systematic Risk,binary,4,0
stock,32,15,64,6,4,Total Risk,binary,4,0
stock,32,15,64,6,5,Abs. Win Rate,binary,4,0
stock,32,15,64,6,6,Rel. Win Rate,binary,4,0
stock,33,15,64,6,1,Annual Return,binary,4,0
stock,33,15,64,6,2,Excess Return,binary,4,0
stock,33,15,64,6,3,Systematic Risk,binary,4,0
stock,33,15,64,6,4,Total Risk,binary,4,0
stock,33,15,64,6,5,Abs. Win Rate,binary,4,0
stock,33,15,64,6,6,Rel. Win Rate,binary,4,0
stock,34,15,64,6,1,Annual Return,binary,4,0
stock,34,15,64,6,2,Excess Return,binary,4,0
stock,34,15,64,6,3,Systematic Risk,binary,4,0
stock,34,15,64,6,4,Total Risk,binary,4,0
stock,34,15,64,6,5,Abs. Win Rate,binary,4,0
stock,34,15,64,6,6,Rel. Win Rate,binary,4,0
stock,35,15,64,6,1,Annual Return,binary,5,0
stock,35,15,64,6,2,Excess Return,binary,4,0
stock,35,15,64,6,3,Systematic Risk,binary,4,0
stock,35,15,64,6,4,Total Risk,binary,4,0
stock,35,15,64,6,5,Abs. Win Rate,binary,4,0
stock,35,15,64,6,6,Rel. Win Rate,binary,4,0
stock,36,15,64,6,1,Annual Return,binary,4,0
stock,36,15,64,6,2,Excess Return,binary,4,0
stock,36,15,64,6,3,Systematic Risk,binary,4,0
stock,36,15,64,6,4,Total Risk,binary,4,0
stock,36,15,64,6,5,Abs. Win Rate,binary,4,0
stock,36,15,64,6,6,Rel. Win Rate,binary,4,0
stock,37,15,64,6,1,Annual Return,binary,5,0
stock,37,15,64,6,2,Excess Return,binary,4,0
stock,37,15,64,6,3,Systematic Risk,binary,4,0
stock,37,15,64,6,4,Total Risk,binary,4,0
stock,37,15,64,6,5,Abs. Win Rate,binary,4,0
stock,37,15,64,6,6,Rel. Win Rate,binary,4,0
stock,38,15,64,6,1,Annual Return,binary,4,0
stock,38,15,64,6,2,Excess Return,binary,4,0
stock,38,15,64,6,3,Systematic Risk,binary,4,0
stock,38,15,64,6,4,Total Risk,binary,4,0
stock,38,15,64,6,5,Abs. Win Rate,binary,4,0
stock,38,15,64,6,6,Rel. Win Rate,binary,4,0
stock,39,15,64,6,1,Annual Return,binary,5,0
stock,39,15,64,6,2,Excess Return,binary,4,0
stock,39,15,64,6,3,Systematic Risk,binary,4,0
stock,39,15,64,6,4,Total Risk,binary,4,0
stock,39,15,64,6,5,Abs. Win Rate,binary,4,0
stock,39,15,64,6,6,Rel. Win Rate,binary,4,0
stock,40,15,64,6,1,Annual Return,binary,4,0
stock,40,15,64,6,2,Excess Return,binary,4,0
stock,40,15,64,6,3,Systematic Risk,binary,4,0
stock,40,15,64,6,4,Total Risk,binary,4,0
stock,40,15,64,6,5,Abs. Win Rate,binary,4,0
stock,40,15,64,6,6,Rel. Win Rate,binary,4,0
stock,41,15,64,6,1,Annual Return,binary,4,0
stock,41,15,64,6,2,Excess Return,binary,4,0
stock,41,15,64,6,3,Systematic Risk,binary,4,0
stock,41,15,64,6,4,Total Risk,binary,4,0
stock,41,15,64,6,5,Abs. Win Rate,binary,4,0
stock,41,15,64,6,6,Rel. Win Rate,binary,4,0
stock,42,15,64,6,1,Annual Return,binary,4,0
stock,42,15,64,6,2,Excess Return,binary,4,0
stock,42,15,64,6,3,Systematic Risk,binary,4,0
stock,42,15,64,6,4,Total Risk,binary,4,0
stock,42,15,64,6,5,Abs. Win Rate,binary,4,0
stock,42,15,64,6,6,Rel. Win Rate,binary,4,0
stock,43,15,64,6,1,Annual Return,binary,5,0
stock,43,15,64,6,2,Excess Return,binary,3,0
stock,43,15,64,6,3,Systematic Risk,binary,4,0
stock,43,15,64,6,4,Total Risk,binary,4,0
stock,43,15,64,6,5,Abs. Win Rate,binary,5,0
stock,43,15,64,6,6,Rel. Win Rate,binary,4,0
stock,44,15,64,6,1,Annual Return,binary,4,0
stock,44,15,64,6,2,Excess Return,binary,4,0
stock,44,15,64,6,3,Systematic Risk,binary,3,0
stock,44,15,64,6,4,Total Risk,binary,4,0
stock,44,15,64,6,5,Abs. Win Rate,binary,4,0
stock,44,15,64,6,6,Rel. Win Rate,binary,4,0
stock,45,15,64,6,1,Annual Return,binary,4,0
stock,45,15,64,6,2,Excess Return,binary,3,0
stock,45,15,64,6,3,Systematic Risk,binary,4,0
stock,45,15,64,6,4,Total Risk,binary,4,0
stock,45,15,64,6,5,Abs. Win Rate,binary,4,0
stock,45,15,64,6,6,Rel. Win Rate,binary,4,0
stock,46,15,64,6,1,Annual Return,binary,4,0
stock,46,15,64,6,2,Excess Return,binary,4,0
stock,46,15,64,6,3,Systematic Risk,binary,4,0
stock,46,15,64,6,4,Total Risk,binary,4,0
stock,46,15,64,6,5,Abs. Win Rate,binary,4,0
stock,46,15,64,6,6,Rel. Win Rate,binary,4,0
stock,47,15,64,6,1,Annual Return,binary,4,0
stock,47,15,64,6,2,Excess Return,binary,4,0
stock,47,15,64,6,3,Systematic Risk,binary,4,0
stock,47,15,64,6,4,Total Risk,binary,4,0
stock,47,15,64,6,5,Abs. Win Rate,binary,4,0
stock,47,15,64,6,6,Rel. Win Rate,binary,4,0
stock,48,15,64,6,1,Annual Return,binary,4,0
stock,48,15,64,6,2,Excess Return,binary,4,0
stock,48,15,64,6,3,Systematic Risk,binary,4,0
stock,48,15,64,6,4,Total Risk,binary,4,0
stock,48,15,64,6,5,Abs. Win Rate,binary,4,0
stock,48,15,64,6,6,Rel. Win Rate,binary,5,0
stock,49,15,64,6,1,Annual Return,binary,4,0
stock,49,15,64,6,2,Excess Return,binary,4,0
stock,49,15,64,6,3,Systematic Risk,binary,4,0
stock,49,15,64,6,4,Total Risk,binary,4,0
stock,49,15,64,6,5,Abs. Win Rate,binary,4,0
stock,49,15,64,6,6,Rel. Win Rate,binary,3,0
stock,50,15,64,6,1,Annual Return,binary,4,0
stock,50,15,64,6,2,Excess Return,binary,4,0
stock,50,15,64,6,3,Systematic Risk,binary,4,0
stock,50,15,64,6,4,Total Risk,binary,4,0
stock,50,15,64,6,5,Abs. Win Rate,binary,4,0
stock,50,15,64,6,6,Rel. Win Rate,binary,4,0
stock,51,15,64,6,1,Annual Return,binary,4,0
stock,51,15,64,6,2,Excess Return,binary,4,0
stock,51,15,64,6,3,Systematic Risk,binary,4,0
stock,51,15,64,6,4,Total Risk,binary,4,0
stock,51,15,64,6,5,Abs. Win Rate,binary,4,0
stock,51,15,64,6,6,Rel. Win Rate,binary,4,0
stock,52,15,64,6,1,Annual Return,binary,4,0
stock,52,15,64,6,2,Excess Return,binary,4,0
stock,52,15,64,6,3,Systematic Risk,binary,4,0
stock,52,15,64,6,4,Total Risk,binary,4,0
stock,52,15,64,6,5,Abs. Win Rate,binary,4,0
stock,52,15,64,6,6,Rel. Win Rate,binary,3,0
stock,53,15,64,6,1,Annual Return,binary,4,0
stock,53,15,64,6,2,Excess Return,binary,4,0
stock,53,15,64,6,3,Systematic Risk,binary,4,0
stock,53,15,64,6,4,Total Risk,binary,4,0
stock,53,15,64,6,5,Abs. Win Rate,binary,4,0
stock,53,15,64,6,6,Rel. Win Rate,binary,4,0
stock,54,15,64,6,1,Annual Return,binary,4,0
stock,54,15,64,6,2,Excess Return,binary,4,0
stock,54,15,64,6,3,Systematic Risk,binary,4,0
stock,54,15,64,6,4,Total Risk,binary,4,0
stock,54,15,64,6,5,Abs. Win Rate,binary,4,0
stock,54,15,64,6,6,Rel. Win Rate,binary,4,0
stock,55,15,64,6,1,Annual Return,binary,4,0
stock,55,15,64,6,2,Excess Return,binary,4,0
stock,55,15,64,6,3,Systematic Risk,binary,4,0
stock,55,15,64,6,4,Total Risk,binary,4,0
stock,55,15,64,6,5,Abs. Win Rate,binary,4,0
stock,55,15,64,6,6,Rel. Win Rate,binary,4,0
stock,56,15,64,6,1,Annual Return,binary,4,0
stock,56,15,64,6,2,Excess Return,binary,4,0
stock,56,15,64,6,3,Systematic Risk,binary,4,0
stock,56,15,64,6,4,Total Risk,binary,3,0
stock,56,15,64,6,5,Abs. Win Rate,binary,4,0
stock,56,15,64,6,6,Rel. Win Rate,binary,5,0
stock,57,15,64,6,1,Annual Return,binary,4,0
stock,57,15,64,6,2,Excess Return,binary,4,0
stock,57,15,64,6,3,Systematic Risk,binary,4,0
stock,57,15,64,6,4,Total Risk,binary,4,0
stock,57,15,64,6,5,Abs. Win Rate,binary,4,0
stock,57,15,64,6,6,Rel. Win Rate,binary,4,0
stock,58,15,64,6,1,Annual Return,binary,4,0
stock,58,15,64,6,2,Excess Return,binary,4,0
stock,58,15,64,6,3,Systematic Risk,binary,4,0
stock,58,15,64,6,4,Total Risk,binary,4,0
stock,58,15,64,6,5,Abs. Win Rate,binary,4,0
stock,58,15,64,6,6,Rel. Win Rate,binary,4,0
stock,59,15,64,6,1,Annual Return,binary,4,0
stock,59,15,64,6,2,Excess Return,binary,4,0
stock,59,15,64,6,3,Systematic Risk,binary,4,0
stock,59,15,64,6,4,Total Risk,binary,4,0
stock,59,15,64,6,5,Abs. Win Rate,binary,4,0
stock,59,15,64,6,6,Rel. Win Rate,binary,4,0
stock,60,15,64,6,1,Annual Return,binary,4,0
stock,60,15,64,6,2,Excess Return,binary,4,0
stock,60,15,64,6,3,Systematic Risk,binary,4,0
stock,60,15,64,6,4,Total Risk,binary,4,0
stock,60,15,64,6,5,Abs. Win Rate,binary,5,0
stock,60,15,64,6,6,Rel. Win Rate,binary,4,0
stock,61,15,64,6,1,Annual Return,binary,4,0
stock,61,15,64,6,2,Excess Return,binary,3,0
stock,61,15,64,6,3,Systematic Risk,binary,4,0
stock,61,15,64,6,4,Total Risk,binary,4,0
stock,61,15,64,6,5,Abs. Win Rate,binary,4,0
stock,61,15,64,6,6,Rel. Win Rate,binary,4,0
stock,62,15,64,6,1,Annual Return,binary,4,0
stock,62,15,64,6,2,Excess Return,binary,3,0
stock,62,15,64,6,3,Systematic Risk,binary,5,0
stock,62,15,64,6,4,Total Risk,binary,4,0
stock,62,15,64,6,5,Abs. Win Rate,binary,4,0
stock,62,15,64,6,6,Rel. Win Rate,binary,3,0
stock,63,15,64,6,1,Annual Return,binary,4,0
stock,63,15,64,6,2,Excess Return,binary,4,0
stock,63,15,64,6,3,Systematic Risk,binary,4,0
stock,63,15,64,6,4,Total Risk,binary,4,0
stock,63,15,64,6,5,Abs. Win Rate,binary,4,0
stock,63,15,64,6,6,Rel. Win Rate,binary,4,0
stock,64,15,64,6,1,Annual Return,binary,4,0
stock,64,15,64,6,2,Excess Return,binary,4,0
stock,64,15,64,6,3,Systematic Risk,binary,4,0
stock,64,15,64,6,4,Total Risk,binary,5,0
stock,64,15,64,6,5,Abs. Win Rate,binary,4,0
stock,64,15,64,6,6,Rel. Win Rate,binary,4,0
stock,65,15,64,6,1,Annual Return,binary,4,0
stock,65,15,64,6,2,Excess Return,binary,4,0
stock,65,15,64,6,3,Systematic Risk,binary,4,0
stock,65,15,64,6,4,Total Risk,binary,4,0
stock,65,15,64,6,5,Abs. Win Rate,binary,4,0
stock,65,15,64,6,6,Rel. Win Rate,binary,4,0
stock,66,15,64,6,1,Annual Return,binary,4,0
stock,66,15,64,6,2,Excess Return,binary,4,0
stock,66,15,64,6,3,Systematic Risk,binary,4,0
stock,66,15,64,6,4,Total Risk,binary,4,0
stock,66,15,64,6,5,Abs. Win Rate,binary,4,0
stock,66,15,64,6,6,Rel. Win Rate,binary,4,0
stock,67,15,64,6,1,Annual Return,binary,4,0
stock,67,15,64,6,2,Excess Return,binary,4,0
stock,67,15,64,6,3,Systematic Risk,binary,4,0
stock,67,15,64,6,4,Total Risk,binary,4,0
stock,67,15,64,6,5,Abs. Win Rate,binary,4,0
stock,67,15,64,6,6,Rel. Win Rate,binary,4,0
stock,68,15,64,6,1,Annual Return,binary,4,0
stock,68,15,64,6,2,Excess Return,binary,4,0
stock,68,15,64,6,3,Systematic Risk,binary,4,0
stock,68,15,64,6,4,Total Risk,binary,4,0
stock,68,15,64,6,5,Abs. Win Rate,binary,4,0
stock,68,15,64,6,6,Rel. Win Rate,binary,4,0
stock,69,15,64,6,1,Annual Return,binary,4,0
stock,69,15,64,6,2,Excess Return,binary,4,0
stock,69,15,64,6,3,Systematic Risk,binary,3,0
stock,69,15,64,6,4,Total Risk,binary,4,0
stock,69,15,64,6,5,Abs. Win Rate,binary,5,0
stock,69,15,64,6,6,Rel. Win Rate,binary,3,0
stock,70,15,64,6,1,Annual Return,binary,4,0
stock,70,15,64,6,2,Excess Return,binary,4,0
stock,70,15,64,6,3,Systematic Risk,binary,4,0
stock,70,15,64,6,4,Total Risk,binary,4,0
stock,70,15,64,6,5,Abs. Win Rate,binary,4,0
stock,70,15,64,6,6,Rel. Win Rate,binary,4,0
stock,71,15,64,6,1,Annual Return,binary,5,0
stock,71,15,64,6,2,Excess Return,binary,3,0
stock,71,15,64,6,3,Systematic Risk,binary,4,0
stock,71,15,64,6,4,Total Risk,binary,4,0
stock,71,15,64,6,5,Abs. Win Rate,binary,4,0
stock,71,15,64,6,6,Rel. Win Rate,binary,4,0
stock,72,15,64,6,1,Annual Return,binary,4,0
stock,72,15,64,6,2,Excess Return,binary,4,0
stock,72,15,64,6,3,Systematic Risk,binary,4,0
stock,72,15,64,6,4,Total Risk,binary,4,0
stock,72,15,64,6,5,Abs. Win Rate,binary,4,0
stock,72,15,64,6,6,Rel. Win Rate,binary,4,0
stock,73,15,64,6,1,Annual Return,binary,5,0
stock,73,15,64,6,2,Excess Return,binary,4,0
stock,73,15,64,6,3,Systematic Risk,binary,3,0
stock,73,15,64,6,4,Total Risk,binary,3,0
stock,73,15,64,6,5,Abs. Win Rate,binary,4,0
stock,73,15,64,6,6,Rel. Win Rate,binary,4,0
stock,74,15,64,6,1,Annual Return,binary,4,0
stock,74,15,64,6,2,Excess Return,binary,4,0
stock,74,15,64,6,3,Systematic Risk,binary,4,0
stock,74,15,64,6,4,Total Risk,binary,4,0
stock,74,15,64,6,5,Abs. Win Rate,binary,5,0
stock,74,15,64,6,6,Rel. Win Rate,binary,4,0
stock,75,15,64,6,1,Annual Return,binary,4,0
stock,75,15,64,6,2,Excess Return,binary,4,0
stock,75,15,64,6,3,Systematic Risk,binary,4,0
stock,75,15,64,6,4,Total Risk,binary,3,0
stock,75,15,64,6,5,Abs. Win Rate,binary,4,0
stock,75,15,64,6,6,Rel. Win Rate,binary,4,0
stock,76,15,64,6,1,Annual Return,binary,5,0
stock,76,15,64,6,2,Excess Return,binary,3,0
stock,76,15,64,6,3,Systematic Risk,binary,4,0
stock,76,15,64,6,4,Total Risk,binary,4,0
stock,76,15,64,6,5,Abs. Win Rate,binary,4,0
stock,76,15,64,6,6,Rel. Win Rate,binary,4,0
stock,77,15,64,6,1,Annual Return,binary,4,0
stock,77,15,64,6,2,Excess Return,binary,4,0
stock,77,15,64,6,3,Systematic Risk,binary,4,0
stock,77,15,64,6,4,Total Risk,binary,4,0
stock,77,15,64,6,5,Abs. Win Rate,binary,4,0
stock,77,15,64,6,6,Rel. Win Rate,binary,4,0
stock,78,15,64,6,1,Annual Return,binary,4,0
stock,78,15,64,6,2,Excess Return,binary,4,0
stock,78,15,64,6,3,Systematic Risk,binary,4,0
stock,78,15,64,6,4,Total Risk,binary,4,0
stock,78,15,64,6,5,Abs. Win Rate,binary,4,0
stock,78,15,64,6,6,Rel. Win Rate,binary,4,0
stock,79,15,64,6,1,Annual Return,binary,4,0
stock,79,15,64,6,2,Excess Return,binary,4,0
stock,79,15,64,6,3,Systematic Risk,binary,4,0
stock,79,15,64,6,4,Total Risk,binary,4,0
stock,79,15,64,6,5,Abs. Win Rate,binary,4,0
stock,79,15,64,6,6,Rel. Win Rate,binary,5,0
stock,80,15,64,6,1,Annual Return,binary,4,0
stock,80,15,64,6,2,Excess Return,binary,4,0
stock,80,15,64,6,3,Systematic Risk,binary,4,0
stock,80,15,64,6,4,Total Risk,binary,4,0
stock,80,15,64,6,5,Abs. Win Rate,binary,4,0
stock,80,15,64,6,6,Rel. Win Rate,binary,4,0
stock,81,15,64,6,1,Annual Return,binary,4,0
stock,81,15,64,6,2,Excess Return,binary,4,0
stock,81,15,64,6,3,Systematic Risk,binary,4,0
stock,81,15,64,6,4,Total Risk,binary,4,0
stock,81,15,64,6,5,Abs. Win Rate,binary,4,0
stock,81,15,64,6,6,Rel. Win Rate,binary,4,0
stock,82,15,64,6,1,Annual Return,binary,4,0
stock,82,15,64,6,2,Excess Return,binary,4,0
stock,82,15,64,6,3,Systematic Risk,binary,4,0
stock,82,15,64,6,4,Total Risk,binary,4,0
stock,82,15,64,6,5,Abs. Win Rate,binary,4,0
stock,82,15,64,6,6,Rel. Win Rate,binary,4,0
stock,83,15,64,6,1,Annual Return,binary,4,0
stock,83,15,64,6,2,Excess Return,binary,4,0
stock,83,15,64,6,3,Systematic Risk,binary,3,0
stock,83,15,64,6,4,Total Risk,binary,4,0
