,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,runtime_avg
0,Scaling-based (F),"(38, 2)","(154, 2)",0.9235064935064935,0.047713602507739004,7.149040841727328,4.808625859524525,0.003122168779373169
1,Point CHR,"(38, 2)","(154, 2)",0.8991233766233766,0.0691721996935488,8.809925431130834,24.232682664043992,0.0005698323249816895
2,Splitting baseline,"(38, 2)","(154, 2)",0.8978571428571428,0.07028689568508287,8.319183184538257,15.840163428241974,0.0007555747032165528
3,Unscaled,"(38, 2)","(154, 2)",0.9166233766233767,0.04878634702288082,15.787016575562483,6.795290871618289,4.5818090438842776e-05
4,Empirical copula,"(38, 2)","(154, 2)",0.8865259740259739,0.061136488795624215,5.405213774012533,4.491861642564181,0.0012182092666625976
