,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(95, 18)","(381, 18)",0.9067585301837271,0.03761497407649434,1.385008716821699e+61,1.3232191263878183e+62,52.657196444812634,3.112452756715026,0.0042843496799469
1,Scaled (Data Splitting),"(95, 18)","(381, 18)",0.9166535433070868,0.04562900639192087,7.593735572391967e+63,1.0725990249910133e+65,53.41348803715416,3.2649207272434175,0.0005482995510101319
2,Standardized (Shortcut),"(95, 18)","(381, 18)",0.9077427821522309,0.03702765736416741,5.7975132600553965e+60,5.696218673392633e+61,52.21782099008273,3.0030240557448913,0.004004894495010376
3,Standardized (Data Splitting),"(95, 18)","(381, 18)",0.9166797900262469,0.04506216912581773,3.544755259659042e+63,5.011056336250212e+64,53.10478044796022,3.2560377680649104,0.00046808362007141115
4,Point CHR,"(95, 18)","(381, 18)",0.8945538057742783,0.051405547084938795,1.3293198271916786e+56,1.814220193689285e+57,50.46093857985079,2.6067189207630883,0.0004100227355957031
5,Empirical copula,"(95, 18)","(381, 18)",0.862992125984252,0.04564759204895294,3.862094292344761e+54,2.81092331667949e+55,50.68010474527289,2.2743033140279563,0.003704763650894165
6,Unscaled,"(95, 18)","(381, 18)",0.9085170603674542,0.03762827946911869,3.4724717538327857e+65,2.679231265450134e+66,63.24249415758524,1.5129760474668308,7.021307945251465e-05
7,Bonferroni,"(95, 18)","(381, 18)",1.0,0.0,inf,,inf,,4.492402076721192e-05
