,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(490, 16)","(1961, 16)",0.9015196328403874,0.015078717406401335,1.6754908900921972e+39,2.977190115790622e+39,39.068985390743904,0.32642203376371226,0.007655980587005615
1,Scaled (Data Splitting),"(490, 16)","(1961, 16)",0.9035033146353902,0.01982161578195309,3.9790236640289507e+39,1.0234909454351507e+40,39.24288005850795,0.502391466607061,0.0005766940116882324
2,Standardized (Shortcut),"(490, 16)","(1961, 16)",0.9014737378888321,0.015185456110403884,1.5230136331938687e+39,2.6088790241901662e+39,39.02612497928571,0.33183825225314484,0.007457307577133179
3,Standardized (Data Splitting),"(490, 16)","(1961, 16)",0.9037837837837839,0.01968162662787526,3.6485645227021186e+39,1.0628922105322395e+40,39.18796849786261,0.5031189830752628,0.000565183162689209
4,Point CHR,"(490, 16)","(1961, 16)",0.9046685364609894,0.019821120511301738,2.842829916948872e+39,5.4281831111846623e+39,39.13308394047486,0.49399090547922025,0.0004929077625274659
5,Empirical copula,"(490, 16)","(1961, 16)",0.8930545639979601,0.01644067966545469,1.0878396401906082e+39,1.3388832673285035e+39,38.886014287984764,0.34712688790185225,0.11801568150520325
6,Unscaled,"(490, 16)","(1961, 16)",0.8998521162672106,0.015704450976206635,2.7373316570908475e+39,4.0201783725498696e+39,39.28266291864709,0.3520114823457197,0.0001075148582458496
7,Bonferroni,"(490, 16)","(1961, 16)",0.959107598164202,0.011487796438826837,2.876673875207122e+42,1.4397451834285048e+43,41.61947401103875,0.7379712641567698,0.00032797932624816894
