,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(347, 4)","(1389, 4)",0.9036213102951764,0.01727353847584212,19859.492943173835,6062.345282674251,4.27855630468906,0.13009733116261177,0.0015316641330718995
1,Scaled (Data Splitting),"(347, 4)","(1389, 4)",0.9020950323974083,0.02268818876877738,20672.847233143475,9663.376831008287,4.278593962909183,0.17266982246352314,0.000660327672958374
2,Standardized (Shortcut),"(347, 4)","(1389, 4)",0.9036141108711303,0.017499037258636763,18818.121294617482,5402.8185921809145,4.257168861056905,0.12367043174423482,0.001275162696838379
3,Standardized (Data Splitting),"(347, 4)","(1389, 4)",0.9022030237580995,0.02302814250651343,19727.73479232151,8841.164102073715,4.259476181425644,0.170963335525137,0.0005522453784942627
4,Point CHR,"(347, 4)","(1389, 4)",0.8970122390208783,0.022885107381095185,17310.48427283205,7205.892397958961,4.2084548900257435,0.15697529308093697,0.0003174912929534912
5,Empirical copula,"(347, 4)","(1389, 4)",0.8968898488120949,0.0179395162663865,16537.57064317455,4345.832843558688,4.204073054097736,0.11204795635874014,0.011397100687026977
6,Unscaled,"(347, 4)","(1389, 4)",0.9019258459323254,0.018891557038220264,73953351.54966947,28626817.2924862,7.839931196083528,0.15842563664434314,8.248686790466309e-05
7,Bonferroni,"(347, 4)","(1389, 4)",0.92508279337653,0.015444356877347068,28619.560036670802,9530.853443694377,4.436267818580905,0.12987842990918444,5.9963464736938475e-05
