,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,runtime_avg
0,Scaling-based (F),"(32, 3)","(131, 3)",0.9131297709923664,0.05701453212913291,226.68101540879275,195.1708087891785,0.005412660837173462
1,Point CHR,"(32, 3)","(131, 3)",0.9382824427480917,0.060086356097182096,697.5307531496532,1115.1726359827169,0.0007052969932556152
2,Splitting baseline,"(32, 3)","(131, 3)",0.9370992366412213,0.06118482189675309,639.0454034717839,973.7281738469962,0.0008471667766571045
3,Unscaled,"(32, 3)","(131, 3)",0.9046564885496182,0.057776896625836294,150.12032445499997,118.76604928264705,8.998513221740723e-05
4,Empirical copula,"(32, 3)","(131, 3)",0.8612977099236642,0.07132303681602144,107.212012191875,71.7369624550452,0.0012259364128112793
