,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(15, 6)","(64, 6)",0.955390625,0.06352020478607337,inf,,inf,,0.0007637858390808106
1,Scaled (Data Splitting),"(15, 6)","(64, 6)",1.0,0.0,inf,,inf,,0.0004350507259368896
2,Standardized (Shortcut),"(15, 6)","(64, 6)",0.956015625,0.05892486530737116,0.0018623921361478537,0.0085542650361957,-3.8816894069066183,0.7973933906853775,0.0008599555492401123
3,Standardized (Data Splitting),"(15, 6)","(64, 6)",1.0,0.0,inf,,inf,,0.00042042016983032224
4,Point CHR,"(15, 6)","(64, 6)",0.0,0.0,,,,,0.00041841983795166016
5,Empirical copula,"(15, 6)","(64, 6)",0.726875,0.11271658729533793,1.0069720722312351e-05,9.802416952151156e-06,-5.135602204528915,0.3239021837691848,0.00028502821922302243
6,Unscaled,"(15, 6)","(64, 6)",0.93984375,0.057163635113017176,0.06024702294219465,0.15736633665232527,-2.2046355093750343,0.8622716088331891,3.0024051666259767e-05
7,Bonferroni,"(15, 6)","(64, 6)",1.0,0.0,inf,,inf,,9.971857070922852e-06
