,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(448, 16)","(1794, 16)",0.9013489409141583,0.015778308827141523,1.6763148827102672e+40,1.6831203524463575e+40,40.073078861972114,0.3628632303215492,0.007186366319656372
1,Scaled (Data Splitting),"(448, 16)","(1794, 16)",0.9013433667781494,0.02277480913392909,3.726944332702163e+40,9.458417055315818e+40,40.18280428209982,0.5536503200031284,0.0005933046340942383
2,Standardized (Shortcut),"(448, 16)","(1794, 16)",0.9011120401337793,0.015857289460954185,1.5262699855628247e+40,1.4949424665539724e+40,40.03574761967058,0.361937302037485,0.006341236829757691
3,Standardized (Data Splitting),"(448, 16)","(1794, 16)",0.9014464882943145,0.02253051538626761,3.009377211637015e+40,5.903894438005967e+40,40.13434878080171,0.5364896973602022,0.0005127811431884766
4,Point CHR,"(448, 16)","(1794, 16)",0.9022408026755854,0.022651869191183772,3.000823649658e+40,8.001944204873653e+40,40.10553079128982,0.5435852484659532,0.0005046665668487549
5,Empirical copula,"(448, 16)","(1794, 16)",0.8921544035674471,0.017099379268246773,1.1778833680423108e+40,1.189996784156911e+40,39.9110202149196,0.3716694467839223,0.09462113857269287
6,Unscaled,"(448, 16)","(1794, 16)",0.9006661092530658,0.015703651824669682,2.6966358143221947e+40,2.9210966567282845e+40,40.27396016690237,0.3690401045671155,9.021639823913574e-05
7,Bonferroni,"(448, 16)","(1794, 16)",0.9677257525083612,0.01147961682239287,4.044440054441543e+43,1.0866464850231778e+44,43.02651328046535,0.7448023896221901,0.0002726602554321289
