,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(384, 8)","(1536, 8)",0.9014518229166667,0.01694661463989133,893.5573795558219,2852.207841825475,2.320456076361975,0.6909284525153262,0.002999075651168823
1,Scaled (Data Splitting),"(384, 8)","(1536, 8)",0.9005045572916667,0.02243518285778818,1111.210246866878,7022.879585155585,2.2598323762643617,0.6929996821070424,0.0005079102516174316
2,Standardized (Shortcut),"(384, 8)","(1536, 8)",0.9014029947916665,0.016618850781793208,542.1050978486472,1495.400034890269,2.183041853608883,0.640790023216714,0.002446686029434204
3,Standardized (Data Splitting),"(384, 8)","(1536, 8)",0.9004231770833334,0.022083660603264086,698.6467074357356,4041.934094012397,2.1378966384569265,0.6522491741666511,0.00048517227172851563
4,Point CHR,"(384, 8)","(1536, 8)",0.9012109375,0.02236965691886748,68.50908344673917,75.5411509154929,1.6323018089955696,0.42325264666631063,0.00045334339141845704
5,Empirical copula,"(384, 8)","(1536, 8)",0.8931640625,0.015980287678329656,53.53717822343112,46.87479877957982,1.6048067200683027,0.3256040906454606,0.030618830919265747
6,Unscaled,"(384, 8)","(1536, 8)",0.900185546875,0.016498180177194698,4143.761779739136,2900.7301694932216,3.544421906840307,0.24093936934771382,9.010672569274902e-05
7,Bonferroni,"(384, 8)","(1536, 8)",0.9401822916666666,0.014737688015162422,1866.1467626115984,4760.781808849421,2.870847342142994,0.5549912054926118,8.761048316955566e-05
