,Methods,cal_size,test_size,test_coverage_avg,test_coverage_1std,coverage_vol,coverage_vol_1std,coverage_vol_log,coverage_vol_log_1std,runtime_avg
0,Scaled (Shortcut),"(32, 3)","(131, 3)",0.90793893129771,0.059914873722226335,215.29748093615433,188.5345322139953,2.217831409375067,0.3066617663048082,0.0012018775939941406
1,Scaled (Data Splitting),"(32, 3)","(131, 3)",0.9392366412213741,0.05659326794620809,627.5093473587692,904.9917002789826,2.520440156295263,0.46624875307794394,0.0004620635509490967
2,Standardized (Shortcut),"(32, 3)","(131, 3)",0.9121374045801528,0.056256723228107215,198.43177537543176,176.7079688128232,2.1882462284567947,0.2936902202669441,0.0008518660068511963
3,Standardized (Data Splitting),"(32, 3)","(131, 3)",0.9386641221374046,0.05772815840298483,592.3725840000321,849.4101225735276,2.489822765226261,0.47108141796964587,0.0004961955547332764
4,Point CHR,"(32, 3)","(131, 3)",0.9388167938931298,0.05712698788563245,688.464686795859,1070.043634503075,2.5409608703478437,0.4784383917328858,0.0003452277183532715
5,Empirical copula,"(32, 3)","(131, 3)",0.861145038167939,0.07260590670668533,108.21878054437501,71.90805466806857,1.95535782358509,0.2577949518850281,0.0005001640319824219
6,Unscaled,"(32, 3)","(131, 3)",0.9041221374045801,0.05497014270923622,150.6919895456034,127.31781026137006,2.0910704838866034,0.2579423779547764,4.000544548034668e-05
7,Bonferroni,"(32, 3)","(131, 3)",0.9354580152671755,0.05181194259460384,380.7456637665159,380.0441225030565,2.4209603427287054,0.36504337448057833,3.5064220428466795e-05
