alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,1,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,2,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,3,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,4,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,5,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,6,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,7,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,8,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,9,23.460879851625418,True,7200,800
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,10,23.460879851625418,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,1,21.592297453844868,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,2,23.46087985158153,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,3,17.386443721228027,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,4,13.688850722979335,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,5,11.147858186535448,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,6,9.571173101765423,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,7,4.575086341071878,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,8,8.18730094738361,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,9,4.501259548918057,True,7200,800
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,10,1.5086459823122986,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,1,43.48182224334534,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,2,44.47654310809045,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,3,35.516122402874934,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,4,47.338401064005936,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,5,36.368890451192144,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,6,29.557327851780773,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,7,22.52168619538396,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,8,20.820309327183185,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,9,11.051959959659102,True,7200,800
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,10,6.102098711071735,True,7200,800
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
