alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,26.33309064006378,7.762835099600909,25.250088794573948
0.1,10,30,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,23.597380777759057,6.709413843367286,22.679741732016844
0.1,10,30,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,22.003391192069085,7.8282069820587425,20.835075278172148
0.1,10,30,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,19.395124517650466,6.762375922961446,17.56422893826035
0.1,10,30,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,16.160959409895533,5.5241621753465715,14.97906201303286
0.1,10,30,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,11.757084656283967,2.274712310092479,11.492087140639386
0.1,10,30,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.22096620755946,1.6313160387839027,8.92533673892615
0.1,10,30,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,7.005538482160224,1.400216739237984,6.876663276717965
0.1,10,30,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,4.641041077043818,0.8741934165532148,4.5413767145129675
0.1,10,30,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.3224598816216364,0.46419387581789545,2.24901883716236
0.1,10,30,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,42.26669721863403,17.961803490239486,38.681224038747814
0.1,10,30,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,38.66925308332757,17.965485757917943,33.87360209433091
0.1,10,30,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,35.92289603408145,18.263948884183826,32.207771999362095
0.1,10,30,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,30.27641734609861,12.864075917701886,27.890479966375494
0.1,10,30,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,27.452925869587197,15.420136440014405,23.401389781916937
0.1,10,30,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,20.731536318387146,9.755629742229821,18.171765410535677
0.1,10,30,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,16.36013119127984,6.577995909131482,14.686912391706095
0.1,10,30,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,12.12078533462397,5.503465652052443,10.64272089133522
0.1,10,30,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,8.289383198034422,3.8757313574761243,7.40906842840108
0.1,10,30,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,4.155645725910468,1.7066727914449085,3.7700733838392875
0.1,10,30,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,32.12502958219888,7.290674329956829,30.969903938318442
0.1,10,30,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,28.418098325430766,6.464588718324188,27.588466555071626
0.1,10,30,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,25.45649251512433,6.334381393214415,24.4546037878719
0.1,10,30,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,22.76187403216661,5.42454182755326,21.711347903805745
0.1,10,30,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,18.997434041410713,4.911329447635962,18.19479129910855
0.1,10,30,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,15.359922867813784,2.6815592764581915,15.013064097361003
0.1,10,30,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,12.258046953033194,2.0214376597375776,11.98194811740491
0.1,10,30,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,9.163628559649148,1.5527557516289436,9.055234290369189
0.1,10,30,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,6.177770278220335,1.1060018927016395,6.083585418464915
0.1,10,30,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,3.0774144478439247,0.5601735590720875,3.062920477024366
0.1,10,30,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,30,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,21.89697497653699,3.525274405082298,21.726375468381256
0.1,10,50,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,30.386461648478583,9.727470889384302,28.21512931682168
0.1,10,50,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,27.845756069398185,8.464392571352406,25.872169245729665
0.1,10,50,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,23.931668431596268,7.132748734150626,22.476807774278186
0.1,10,50,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,21.83456615661208,5.952715533655097,20.801036240058522
0.1,10,50,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,18.21287045280205,5.199308609520171,17.19194316247437
0.1,10,50,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,12.646166741604189,2.147644507521431,12.430643105284839
0.1,10,50,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.956664721037976,1.7062700295956645,9.890225585862082
0.1,10,50,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,7.49071699222698,1.2104743953318844,7.339091508991147
0.1,10,50,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,4.980460709404683,0.8661949591693826,4.887382770795446
0.1,10,50,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.5590677039477083,0.44901809186387154,2.5106305861524376
0.1,10,50,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,33.33842994845016,10.67611919565217,31.179914009676963
0.1,10,50,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,31.464275153986726,9.243815835967688,30.234828806706158
0.1,10,50,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,27.73029698803713,8.126114357619267,25.88171156754395
0.1,10,50,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,24.415361521163632,7.937800662848786,23.13111286403049
0.1,10,50,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,20.793035679324706,5.80068698185837,19.797013636609634
0.1,10,50,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,17.222035189770004,4.935234112468043,16.081629550275792
0.1,10,50,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,13.254943786292689,3.320215703358055,12.70886392531963
0.1,10,50,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,10.199393802396443,2.64703552492604,9.795542484089145
0.1,10,50,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,6.76161680024986,1.9485210158662802,6.29054363617184
0.1,10,50,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,3.3248263746054336,0.9972672075612901,3.0829832169947196
0.1,10,50,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,29.994215700537147,6.114784029269227,28.832051984488444
0.1,10,50,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,27.692978720289346,5.317210182301669,27.300247240895224
0.1,10,50,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,24.07384435989876,4.692358866667833,23.094047777708305
0.1,10,50,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,21.370030070622512,4.068317348269672,20.89873434714122
0.1,10,50,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,18.271935259126575,3.541675159434026,17.890398006632793
0.1,10,50,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,14.52807865158959,1.7392974093497633,14.549888136321966
0.1,10,50,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,11.437109376500706,1.4424857695042725,11.517656215666761
0.1,10,50,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,8.725931633913914,1.106065503534798,8.550668068231893
0.1,10,50,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,5.7141471026996395,0.7548087598638191,5.65113259974428
0.1,10,50,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.9049673280792563,0.38758862752033985,2.8904518267924613
0.1,10,50,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,50,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,21.261120705690963,2.798070718963048,21.086400180570333
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,28.58551422851774,5.500389593790131,28.282158663221377
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,25.649671862844407,4.862892356474706,25.05732296070769
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,21.85014941262078,3.810054583948787,21.23652859117536
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,19.804036490442776,3.9802245179087583,19.563524207991613
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,16.989743733773395,3.5950884319749865,16.41820615738999
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,12.100155585166766,1.519466304264332,12.09474436800808
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,9.596076720374704,1.0498799658540174,9.54398480271779
