alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure,redraw_train_test,n_train,n_test
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,4,22.867893497493267,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,5,42.381133177517384,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,6,30.195926172397158,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,7,35.72905956798041,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,8,17.385433088385465,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,9,11.27791558065189,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,10,4.164301757503658,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,1,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,2,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,3,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,4,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,5,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,6,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,7,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,8,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,9,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,10,16.88301089080949,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,1,18.35858676833943,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,2,16.97596824195608,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,3,16.88301089076515,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,4,22.867893497493263,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,5,14.37736899085084,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,6,10.242577517409364,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,7,12.11943823679457,0.0,equicorrelated,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,8,5.897207625454505,0.0,equicorrelated,True,7200,800
