alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,100,0,CQHR,Gaussian,cqr,native,0.9,0.0,0.9133333333333333,8085968599.972337,929.2907507782058,87.78518710983882,0.0,True,2400,600
0.1,3,100,0,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9216666666666666,30058.901908515356,41.57237141959782,,0.0009949207305908203,True,2400,600
0.1,3,100,0,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.9216666666666666,36979.053004423346,33.68088495184507,,0.0,True,2400,600
0.1,3,100,0,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8266666666666667,18516.71291422589,41.44505973220708,,0.0009989738464355469,True,2400,600
0.1,3,100,1,CQHR,Gaussian,cqr,native,0.9,0.0,0.9283333333333333,603189670.3683501,894.149924222177,103.74434072893892,0.0,True,2400,600
0.1,3,100,1,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.9,25943.843828175497,36.18501490122343,,0.00099945068359375,True,2400,600
0.1,3,100,1,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8966666666666666,32559.410841611054,32.30746050598056,,0.0,True,2400,600
0.1,3,100,1,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.88,23031.343948066253,33.80803827969453,,0.001001596450805664,True,2400,600
0.1,3,100,2,CQHR,Gaussian,cqr,native,0.9,0.0,0.8783333333333333,112555147.70620215,387.1560606940598,54.55167198573675,0.0010094642639160156,True,2400,600
0.1,3,100,2,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8966666666666666,25774.526595851818,35.66982875994569,,0.00099945068359375,True,2400,600
0.1,3,100,2,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8816666666666667,28259.531817349234,30.82880212062326,,0.0,True,2400,600
0.1,3,100,2,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.885,23131.810564886884,35.20025565410215,,0.0009980201721191406,True,2400,600
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.9,0.0,0.88,275716352.01608986,459.43122796008333,49.76399335033241,0.0,True,2400,600
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8616666666666667,20549.35258147513,34.978412734694395,,0.0009996891021728516,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8533333333333334,23075.394162255747,28.980776163941247,,0.0,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.845,18467.861144611463,31.728656170512714,,0.0009984970092773438,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,0.8983333333333333,595791461.582887,633.1784772053772,67.57511879290392,0.0,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,0.8933333333333333,26323.396671585888,33.74115552577618,,0.000989675521850586,True,2400,600
0.1,3,100,4,Unscaled,Gaussian,cqr,raw,0.9,0.0,0.8433333333333334,24967.514834943086,29.656790331816342,,0.0,True,2400,600
0.1,3,100,4,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,0.8566666666666667,22352.997024226956,32.06726623871378,,0.0009989738464355469,True,2400,600
0.1,3,100,5,CQHR,Gaussian,cqr,native,0.9,0.0,0.955,13254137643.995266,1412.325000535591,175.40121464366064,0.0,True,2400,600
