alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,1,TSCP_R,Gaussian,absolute_residual,10,3.081961187013241,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,1,28.5326904297442,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,2,18.861438520573085,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,3,26.208579552922227,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,4,18.89436148101125,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,5,14.483279064924988,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,6,11.557162868648433,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,7,9.402196306392678,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,8,6.911793888243764,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,9,4.205538409260271,0.5,1.5,True,7200,800
0.1,10,30,1,Point_CHR,Gaussian,absolute_residual,10,2.258234003418764,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,1,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,2,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,3,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,4,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,5,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,6,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,7,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,8,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,9,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Unscaled,Gaussian,absolute_residual,10,23.087752354231412,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,1,28.169295235973483,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,2,18.621217356611872,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,3,25.874784467297882,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,4,18.65372100693915,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,5,14.356480842935971,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,6,11.409969688585957,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,7,9.28244899560035,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,8,6.823764591269258,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,9,4.151976252235283,0.5,1.5,True,7200,800
0.1,10,30,1,Empirical_copula,Gaussian,absolute_residual,10,2.258234003418764,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,1,29.360012885839488,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,2,35.74937751171585,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,3,31.307514265533307,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,4,25.799785895563286,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,5,24.08354575085523,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,6,20.053116887653182,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,7,13.796912533397578,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,8,9.310703014866071,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,9,7.477157735525899,0.5,1.5,True,7200,800
0.1,10,30,2,TSCP_R,Gaussian,absolute_residual,10,3.5839055683389915,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,1,54.79253342320918,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,2,54.1749533507805,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,3,56.28124099330434,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,4,41.20617142852021,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,5,34.191060224902046,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,6,23.273578257215373,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,7,16.6609846408677,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,8,7.76266525329433,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,9,7.273043829565223,0.5,1.5,True,7200,800
0.1,10,30,2,Point_CHR,Gaussian,absolute_residual,10,5.49229504082229,0.5,1.5,True,7200,800
