dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,19,15,64,6,Point_CHR,64,1.0,inf,1
stock,19,15,64,6,TSCP_R,41,0.640625,8.332834378277122e-06,0
stock,20,15,64,6,Empirical_copula,45,0.703125,5.299849067095509e-06,0
stock,20,15,64,6,Unscaled,60,0.9375,0.002692383142008331,0
stock,20,15,64,6,Point_CHR,64,1.0,inf,1
stock,20,15,64,6,TSCP_R,61,0.953125,7.605168024308761e-05,0
stock,21,15,64,6,Empirical_copula,40,0.625,3.4644273867780144e-06,0
stock,21,15,64,6,Unscaled,57,0.890625,0.0011124909244642131,0
stock,21,15,64,6,Point_CHR,64,1.0,inf,1
stock,21,15,64,6,TSCP_R,63,0.984375,4.624772262764207e-05,0
stock,22,15,64,6,Empirical_copula,48,0.75,6.6180787492049406e-06,0
stock,22,15,64,6,Unscaled,60,0.9375,0.0014079763540525438,0
stock,22,15,64,6,Point_CHR,64,1.0,inf,1
stock,22,15,64,6,TSCP_R,61,0.953125,7.228435631511133e-05,0
stock,23,15,64,6,Empirical_copula,36,0.5625,4.259610192621761e-06,0
stock,23,15,64,6,Unscaled,58,0.90625,0.002087705734519918,0
stock,23,15,64,6,Point_CHR,64,1.0,inf,1
stock,23,15,64,6,TSCP_R,60,0.9375,5.371109722481148e-05,0
stock,24,15,64,6,Empirical_copula,53,0.828125,4.3068473173324194e-05,0
stock,24,15,64,6,Unscaled,64,1.0,0.6850551053248222,0
stock,24,15,64,6,Point_CHR,64,1.0,inf,1
stock,24,15,64,6,TSCP_R,64,1.0,0.062070020784057815,0
stock,25,15,64,6,Empirical_copula,33,0.515625,3.106373117265447e-06,0
stock,25,15,64,6,Unscaled,58,0.90625,0.0013693441095922658,0
stock,25,15,64,6,Point_CHR,64,1.0,inf,1
stock,25,15,64,6,TSCP_R,58,0.90625,9.366082407839855e-05,0
stock,26,15,64,6,Empirical_copula,43,0.671875,2.874704128342948e-06,0
stock,26,15,64,6,Unscaled,58,0.90625,0.0006995969556217146,0
stock,26,15,64,6,Point_CHR,64,1.0,inf,1
stock,26,15,64,6,TSCP_R,59,0.921875,7.639339885013324e-05,0
stock,27,15,64,6,Empirical_copula,39,0.609375,4.401587370109991e-06,0
stock,27,15,64,6,Unscaled,60,0.9375,0.002151980020174396,0
