alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,30,3,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.745312830823632,16.9263104230797,39.597933676983054,True,2400,600
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,10.450974080776348,11.12518289189172,32.70133986455975,True,2400,600
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,10.593951904169986,11.304655196410792,33.20326229699156,True,2400,600
0.1,3,30,3,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,5.745312830823632,8.030951845219704,21.807216521263044,True,2400,600
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,10.450974080776348,11.001427866273767,32.45382981332384,True,2400,600
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.593951904169986,11.001427866273767,32.596807636717536,True,2400,600
0.1,3,30,3,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.745312830823632,11.001427866273767,27.748168563371152,True,2400,600
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,10.450974080776348,8.87632400854411,28.203622097864535,True,2400,600
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.593951904169986,11.001427866229879,32.59680763662978,True,2400,600
0.1,3,30,3,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,5.745312830823632,7.106485854067703,19.95828453895903,True,2400,600
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,1,9.953865399393093,25.270923796137108,60.495712991667034,True,2400,600
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.509023580517459,42.048386967659084,94.60579751583568,True,2400,600
0.1,3,30,4,CQHR,Gaussian,cqr,native,0.5,0.0,3,5.7002646788900675,25.958019134946664,57.61630294878348,True,2400,600
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,9.953865399393093,13.098484438587203,36.150834276567494,True,2400,600
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,10.509023580517459,14.765200394600207,40.039424369717864,True,2400,600
0.1,3,30,4,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,5.7002646788900675,7.8282990854891095,21.356862849868296,True,2400,600
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,9.953865399393093,13.400774595193077,36.75541458977926,True,2400,600
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.509023580517459,13.400774595193077,37.310572770903576,True,2400,600
0.1,3,30,4,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,5.7002646788900675,13.400774595193077,32.501813869276205,True,2400,600
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,9.953865399393093,11.25772097549019,32.46930735037349,True,2400,600
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.509023580517459,13.400774595110802,37.31057277073907,True,2400,600
0.1,3,30,4,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,5.7002646788900675,7.085279011833748,19.870822702557575,True,2400,600
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,1,9.887878745662498,20.650759913284364,51.18939857223177,True,2400,600
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,2,10.646546618692966,37.26924875246119,85.18504412361526,True,2400,600
0.1,3,30,5,CQHR,Gaussian,cqr,native,0.5,0.0,3,6.100198454791715,20.615693217427303,47.331584889646365,True,2400,600
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,1,9.887878745662498,17.002401711822333,43.89268216930712,True,2400,600
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,2,10.646546618692966,19.035848063168515,48.71824274502999,True,2400,600
0.1,3,30,5,TSCP_R,Gaussian,cqr,capped,0.5,0.0,3,6.100198454791715,8.93838006384631,23.97695858248433,True,2400,600
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,1,9.887878745662498,14.190938353728814,38.26975545312009,True,2400,600
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,2,10.646546618692966,14.190938353728814,39.02842332615059,True,2400,600
0.1,3,30,5,Unscaled,Gaussian,cqr,raw,0.5,0.0,3,6.100198454791715,14.190938353728814,34.48207516224934,True,2400,600
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,1,9.887878745662498,14.190938353636138,38.269755452934724,True,2400,600
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,2,10.646546618692966,19.685012687872412,50.016571994437754,True,2400,600
0.1,3,30,5,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,3,6.100198454791715,7.72131916004,21.54283677487173,True,2400,600
