alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,30,CQHR,Gaussian,1,cqr,native,0.5,0.0,True,2400,600,30,50.728192199161434,17.592185824027823,48.22943532738296,10.07137623783137,20.328407980664988
0.1,3,30,CQHR,Gaussian,2,cqr,native,0.5,0.0,True,2400,600,30,93.04773008288387,39.33902038001134,87.1334317630263,10.659675539210493,41.194027271836696
0.1,3,30,CQHR,Gaussian,3,cqr,native,0.5,0.0,True,2400,600,30,48.81044960351681,19.218162413706064,43.7655385631799,5.891519821964393,21.45946489077621
0.1,3,30,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,31.680625107190174,5.3364835755918385,31.02168174633845,10.07137623783137,10.8046244346794
0.1,3,30,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,33.5451522974279,5.182600031055196,32.412576891577636,10.659675539210493,11.442738379108702
0.1,3,30,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,18.92105755174622,3.3294741768921337,18.447989963291008,5.891519821964393,6.514768864890914
0.1,3,30,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,True,2400,600,30,38.315450832566164,6.404188172569357,39.26491909157795,10.07137623783137,14.122037297367397
0.1,3,30,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,True,2400,600,30,40.53059560266604,6.310172845325642,39.33797423612762,10.659675539210493,14.935460031727773
0.1,3,30,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,True,2400,600,30,22.133550890334252,3.692616145714685,21.761408221090882,5.891519821964393,8.121015534184927
0.1,3,30,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,33.93280116894884,4.148581548110127,33.79395558486957,10.07137623783137,11.930712465558736
0.1,3,30,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,34.52110047032796,4.110064473965396,34.322436657418315,10.659675539210493,11.930712465558736
0.1,3,30,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,29.75294475308186,4.070909771799934,29.586256100380872,5.891519821964393,11.930712465558736
0.1,3,50,CQHR,Gaussian,1,cqr,native,0.5,0.0,True,2400,600,30,55.334749650884945,22.207658695629238,47.66289430589987,10.133006548136626,22.60087155137421
0.1,3,50,CQHR,Gaussian,2,cqr,native,0.5,0.0,True,2400,600,30,190.5098312030182,248.05609559545326,84.63311015836148,10.6212321393329,89.94429953184263
0.1,3,50,CQHR,Gaussian,3,cqr,native,0.5,0.0,True,2400,600,30,95.56568317875637,130.7422298849752,47.10160980633286,5.939348441158575,44.8131673687989
0.1,3,50,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,True,2400,600,30,32.12574131173088,4.312993086199842,32.15700028217296,10.133006548136626,10.996367381797132
0.1,3,50,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,True,2400,600,30,35.48354958237534,5.492358825389947,35.07360861306213,10.6212321393329,12.431158721521223
0.1,3,50,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,19.664106396221875,2.5552167873841065,19.10407482310341,5.939348441158575,6.862378977531651
0.1,3,50,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,True,2400,600,30,35.39951144597588,4.643418149431238,36.32756922570225,10.133006548136626,12.633252448919627
0.1,3,50,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,True,2400,600,30,37.23746276017611,5.284415049460741,36.655241141955365,10.6212321393329,13.308115310421604
0.1,3,50,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,True,2400,600,30,21.35970922737538,3.122291116151497,20.642454643749918,5.939348441158575,7.710180393108402
