alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,100,7,CQHR,Gaussian,cqr,native,0.5,0.0,0.9166666666666666,502881.5367625578,76.47224859202574,18.7003917880667,0.0,True,2400,600
0.1,3,100,7,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.93,28062.842477896833,38.081240340017665,,0.0010008811950683594,True,2400,600
0.1,3,100,7,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.93,28062.842477896833,38.081240340017665,,0.0,True,2400,600
0.1,3,100,7,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8816666666666667,25540.656495685238,30.72675294685437,,0.0,True,2400,600
0.1,3,100,7,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.895,23906.144356423607,35.838473141903926,,0.0010001659393310547,True,2400,600
0.1,3,100,8,CQHR,Gaussian,cqr,native,0.5,0.0,0.8983333333333333,315808.5433425546,69.23901320820413,18.0037572209605,0.0,True,2400,600
0.1,3,100,8,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9216666666666666,29779.91005941077,39.16073953850028,,0.0,True,2400,600
0.1,3,100,8,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.9216666666666666,29779.91005941077,39.16073953850028,,0.0,True,2400,600
0.1,3,100,8,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9283333333333333,42781.49297528209,36.54447889682264,,0.0,True,2400,600
0.1,3,100,8,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9083333333333333,27425.10413857642,38.511771076860185,,0.0010023117065429688,True,2400,600
0.1,3,100,9,CQHR,Gaussian,cqr,native,0.5,0.0,0.9,445411912.93308234,324.4249916477242,18.971005519844926,0.0,True,2400,600
0.1,3,100,9,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.9466666666666667,40078.193284423476,43.0387467538993,,0.0009882450103759766,True,2400,600
0.1,3,100,9,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.9466666666666667,40078.193284423476,43.0387467538993,,0.0,True,2400,600
0.1,3,100,9,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.955,60792.56172058196,40.82657341369054,,0.0,True,2400,600
0.1,3,100,9,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8966666666666666,31771.917848606012,45.14786981152668,,0.0010073184967041016,True,2400,600
0.1,3,100,10,CQHR,Gaussian,cqr,native,0.5,0.0,0.9483333333333334,2652837.8276078184,99.12077038378675,23.683735724189326,0.0,True,2400,600
0.1,3,100,10,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.895,28844.02299156822,38.82026433106584,,0.0,True,2400,600
0.1,3,100,10,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.895,28844.02299156822,38.82026433106584,,0.0,True,2400,600
0.1,3,100,10,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8983333333333333,36345.03816126456,34.39671348651636,,0.0,True,2400,600
0.1,3,100,10,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.88,25386.446230441717,38.31052329685545,,0.0010001659393310547,True,2400,600
0.1,3,100,11,CQHR,Gaussian,cqr,native,0.5,0.0,0.895,736750446.2544969,464.21751215562534,18.166517483363773,0.0010077953338623047,True,2400,600
0.1,3,100,11,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.93,35060.51640755431,41.53573087919152,,0.0009996891021728516,True,2400,600
0.1,3,100,11,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.93,35060.51640755431,41.53573087919152,,0.0,True,2400,600
0.1,3,100,11,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9183333333333333,40212.29263584623,35.63677000889381,,0.0,True,2400,600
0.1,3,100,11,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.92,29528.13311223245,38.1234291760866,,0.0009992122650146484,True,2400,600
0.1,3,100,12,CQHR,Gaussian,cqr,native,0.5,0.0,0.8733333333333333,128711.34004370622,61.244403826260104,15.216118002574555,0.0,True,2400,600
0.1,3,100,12,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.915,28134.248250461736,38.86844885421994,,0.0009999275207519531,True,2400,600
0.1,3,100,12,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.915,28134.248250461736,38.86844885421994,,0.0,True,2400,600
0.1,3,100,12,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9133333333333333,34332.491169095614,34.400344043234014,,0.0,True,2400,600
0.1,3,100,12,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9016666666666666,25923.096170181354,36.912229182053466,,0.0009999275207519531,True,2400,600
0.1,3,100,13,CQHR,Gaussian,cqr,native,0.5,0.0,0.825,181672.14733438825,56.50465513103291,13.826676434364664,0.0,True,2400,600
0.1,3,100,13,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.86,19583.36325092018,32.89442172617506,,0.001001596450805664,True,2400,600
0.1,3,100,13,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.86,19583.36325092018,32.89442172617506,,0.0,True,2400,600
0.1,3,100,13,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.86,23576.429513167433,30.343312757578733,,0.0,True,2400,600
0.1,3,100,13,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.84,17834.054960377365,31.339803271424188,,0.0010001659393310547,True,2400,600
0.1,3,100,14,CQHR,Gaussian,cqr,native,0.5,0.0,0.9033333333333333,215918.27189403062,61.88819289748167,16.692709659533897,0.0,True,2400,600
0.1,3,100,14,TSCP_R,Gaussian,cqr,shifted,0.5,100.0,0.87,25055.598481383386,36.384504196429525,,0.0010066032409667969,True,2400,600
0.1,3,100,14,TSCP_GWC,Gaussian,cqr,shifted,0.5,100.0,0.87,25055.598481383386,36.384504196429525,,0.0,True,2400,600
0.1,3,100,14,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.87,33683.00433121668,33.88290832773892,,0.0,True,2400,600
0.1,3,100,14,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8216666666666667,19739.312873234452,33.928202402689564,,0.0009999275207519531,True,2400,600
