alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.9,0.0,100,59.481451916368826,19.717645200512703,56.92212484831305,1.1702036008499683,29.15562415775943
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.9,0.0,100,423.67688800532414,1014.1413228263825,260.44306095635767,1.1165269299695448,211.28018053767727
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.9,0.0,100,268.12421431673187,180.422192089119,223.39092513439385,0.9438336435381823,133.59019033659686
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.9,0.0,100,14.916391901910481,1.560752695576323,14.712970301751197,1.1702036008499683,6.873094150530255
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.9,0.0,100,14.381032167460877,2.0119959498672526,14.190374390817848,1.1165269299695448,6.632252618745665
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.9,0.0,100,10.161894561485814,1.9914369036508446,9.989693258901372,0.9438336435381823,4.609030458973816
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.9,0.0,100,15.787048575888717,1.5996367653030794,15.440357069048328,1.1702036008499683,7.308422487519374
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.9,0.0,100,14.949108723780709,1.8472305894759267,14.997173878908466,1.1165269299695448,6.916290896905582
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.9,0.0,100,10.385482280656834,1.5827411905184139,10.284086516043146,0.9438336435381823,4.720824318559326
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.9,0.0,100,14.31834784034674,1.1254903040684847,14.23620826866399,1.1702036008499683,6.5740721197483865
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.9,0.0,100,14.264671169466322,1.1210583503911449,14.216373881611228,1.1165269299695448,6.5740721197483865
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.9,0.0,100,14.091977883034959,1.1203868141399,14.024548524416346,0.9438336435381823,6.5740721197483865
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.7,0.0,100,43.0698069611811,12.54341919303188,42.432069865197306,2.6400776830264308,20.21486463907734
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.7,0.0,100,258.5448625281376,779.1623065728849,132.37101661436265,2.477459643021069,128.03370144255837
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.7,0.0,100,243.92907255004604,769.1526090089149,90.77941676901142,1.9811234624076448,120.97397454381921
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.7,0.0,100,15.212209719932153,1.535175063160734,15.049398244011277,2.6400776830264308,6.286066018452861
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.7,0.0,100,14.302797388802851,1.781903506687549,14.01388551956614,2.477459643021069,5.912668872890891
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.7,0.0,100,9.6461695147404,1.6435463692424306,9.369777703357034,1.9811234624076448,3.8325230261663785
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.7,0.0,100,15.872174761714662,1.517006230717908,15.692340741364305,2.6400776830264308,6.616048539344115
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.7,0.0,100,14.814845189986517,1.731249655385804,14.736372685407897,2.477459643021069,6.168692773482725
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.7,0.0,100,10.10941964771974,1.377111603657243,10.068634215444902,1.9811234624076448,4.064148092656048
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.7,0.0,100,14.4699982553354,1.097363483942739,14.385343784790471,2.6400776830264308,5.914960286154485
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.7,0.0,100,14.307380215330038,1.115072914675649,14.267271590889862,2.477459643021069,5.914960286154485
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.7,0.0,100,13.811044034716614,1.111293847479058,13.738347732247822,1.9811234624076448,5.914960286154485
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.5,0.0,100,30.77763098950977,7.998329003442445,29.710845283971718,4.740969271164555,13.018330859172622
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.5,0.0,100,43.04369158549352,18.171727184654966,39.17579430410113,4.4146887098601475,19.314501437816688
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.5,0.0,100,31.995770603024006,18.265330825611308,28.617881834490937,3.460634540294441,14.267568031364782
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.5,0.0,100,15.801152027847488,1.8057440447069077,15.518607990564025,4.740969271164555,5.530091378341467
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.5,0.0,100,14.570431987248739,1.417920390564406,14.422901855946627,4.4146887098601475,5.077871638694296
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.5,0.0,100,10.118821736345293,1.4255291865721151,9.95228687297271,3.460634540294441,3.329093598025427
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.5,0.0,100,16.36732757594954,1.8320372315261435,16.121900039800476,4.740969271164555,5.813179152392492
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.5,0.0,100,15.218201301236865,1.634116843770352,15.136419721772047,4.4146887098601475,5.401756295688359
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.5,0.0,100,10.675623642885823,1.3246242207834762,10.541570034804458,3.460634540294441,3.6074945512956917
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.5,0.0,100,14.986080882328965,1.1123760842120503,14.860369741287842,4.740969271164555,5.122555805582206
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.5,0.0,100,14.659800321024559,1.0999295684026813,14.55029726017027,4.4146887098601475,5.122555805582206
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,100,13.705746151458852,1.1194274207853416,13.53604625512053,3.460634540294441,5.122555805582206
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.3,0.0,100,19.403542155852985,1.3871048372388695,19.22724415127061,7.960065069393215,5.721738543229897
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.3,0.0,100,19.317412864924012,1.370562964240398,19.07693548889246,7.58101820044099,5.868197332241511
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.3,0.0,100,15.550198983697937,1.0734234414224346,15.452965328775152,6.229887504763124,4.660155739467407
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.3,0.0,100,16.893379181624674,1.9532880911612065,16.568977798617382,7.960065069393215,4.4666570561157295
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.3,0.0,100,16.03488241453829,1.687862531332616,15.784586606322776,7.58101820044099,4.2269321070486505
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.3,0.0,100,11.692668458476502,1.2850945158750677,11.459791919850879,6.229887504763124,2.73139047685669
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.3,0.0,100,17.40124913396239,1.996593389110298,17.18724303682867,7.960065069393215,4.720592032284588
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.3,0.0,100,16.80285056832003,1.8045856768677568,16.76372103973061,7.58101820044099,4.610916183939519
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.3,0.0,100,12.215164639621351,1.3193991731430295,12.205789375449715,6.229887504763124,2.9926385674291116
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.3,0.0,100,16.236461168069898,1.1623736416679167,16.083117946673944,7.960065069393215,4.138198049338342
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.3,0.0,100,15.857414299117677,1.1639136040026712,15.713055888253132,7.58101820044099,4.138198049338342
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.3,0.0,100,14.50628360343981,1.1483489913769294,14.380502250033103,6.229887504763124,4.138198049338342
