alpha,n_dim,n_cal,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,3,100,CQHR,Gaussian,cqr,native,0.9,0.0,100,0.9045000000000001,0.030174855186427738,4967208236.581272,42967309482.017006,282.5009610171352,4.982471466064453e-05
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,100,0.8702666666666667,0.03724047494576711,2203.6747414995157,671.0250121581769,15.530536503351833,0.0008201098442077637
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.9,0.0,100,0.88925,0.03607680966058661,2496.5158412927735,731.7461812282462,16.085743069676802,0.001032094955444336
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.9,0.0,100,0.8891666666666667,0.032138082413076155,2933.469646600579,690.3612168233482,14.255015445294863,1.9919872283935546e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.7,0.0,100,0.9037666666666666,0.030222352198175626,8455297715.831439,60570108867.49934,132.37101661436265,0.00013982295989990235
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.7,0.0,100,0.87215,0.0337883879866811,2143.5348607309415,572.6436763230022,15.601761219110088,0.0009421706199645996
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.7,0.0,100,0.8909666666666667,0.03160341014999592,2443.49516657359,674.382228768713,16.128039521605064,0.0010416889190673828
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.7,0.0,100,0.8932833333333333,0.028126552831555945,2946.507055336493,694.5407156579499,14.401678131053998,3.0155181884765626e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,100,0.9056000000000001,0.03208392473983755,2592288.0357654816,13716283.10919177,39.17579430410113,0.00011000871658325196
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,100,0.8721333333333334,0.03669655959311198,2480.183406811893,558.8950232546823,16.083649362315477,0.0008205914497375488
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.5,0.0,100,0.89205,0.037184780656310375,2838.783147859156,723.0352028852936,16.45514548365218,0.0009802603721618653
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,100,0.8933,0.032024804499868074,3211.571607988131,746.7996542548128,14.860369741287842,4.0175914764404295e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.3,0.0,100,0.9014333333333333,0.02750167834894771,7235.602563739475,2366.0199266502345,19.34343822480578,8.001327514648438e-05
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.3,0.0,100,0.873,0.037129766072782205,3609.2178481430306,760.1738515077898,17.223018494287714,0.0007963752746582031
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.3,0.0,100,0.8923166666666666,0.03419007984847203,4037.988497401494,887.7455292979993,17.904710622255017,0.0009925723075866698
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.3,0.0,100,0.8936666666666666,0.0334375475287326,4228.369569449665,896.4893066544329,16.083117946673944,1.992940902709961e-05
