alpha,n_dim,n_cal,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,3,30,CQHR,Gaussian,cqr,native,0.5,0.0,100,0.9004666666666666,0.05718621010578182,14458006.519552851,55539237.67893834,43.86235463202364,4.0040016174316406e-05
0.1,3,30,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,100,0.8172166666666666,0.07625495328983269,2098.1858086980506,861.7160260338222,15.578760694441153,0.0004099535942077637
0.1,3,30,TSCP_R,Gaussian,cqr,capped,0.5,0.0,100,0.8948166666666667,0.06309760089779357,3519.6392190858187,1748.2101430628134,18.81253313652769,0.0009718966484069824
0.1,3,30,Unscaled,Gaussian,cqr,raw,0.5,0.0,100,0.8897833333333334,0.06445082474511463,3562.7930606549553,1622.7780658354957,15.268556134910188,2.986431121826172e-05
0.1,3,50,CQHR,Gaussian,cqr,native,0.5,0.0,100,0.9096666666666667,0.03833443125349088,63122461.07262299,448326686.59492344,44.538081570271714,8.9874267578125e-05
0.1,3,50,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,100,0.8690166666666667,0.050797840454464824,2630.4432794242643,981.8981969757396,16.705936712212626,0.0005196571350097656
0.1,3,50,TSCP_R,Gaussian,cqr,capped,0.5,0.0,100,0.9050166666666667,0.03993224831721587,3366.4134483226476,1457.1251626842434,17.963399909390937,0.0010264039039611817
0.1,3,50,Unscaled,Gaussian,cqr,raw,0.5,0.0,100,0.8932666666666667,0.044225419913828216,3412.3686172511852,1459.8269965363288,15.019831731096291,7.001876831054688e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,100,0.9056000000000001,0.03208392473983755,2592288.0357654816,13716283.10919177,39.17579430410113,0.0001202082633972168
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,100,0.8721333333333334,0.03669655959311198,2480.183406811893,558.8950232546823,16.083649362315477,0.0007986783981323242
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.5,0.0,100,0.89205,0.037184780656310375,2838.783147859156,723.0352028852936,16.45514548365218,0.0010445475578308105
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,100,0.8933,0.032024804499868074,3211.571607988131,746.7996542548128,14.860369741287842,4.0068626403808594e-05
0.1,3,200,CQHR,Gaussian,cqr,native,0.5,0.0,100,0.9045833333333333,0.02216960310668571,114340058.40047395,1097731973.1911314,37.60418372440236,0.00011002540588378907
0.1,3,200,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,100,0.88485,0.02492085676963043,2636.1118860820607,409.1194986702193,16.448430755805152,0.0017309379577636719
0.1,3,200,TSCP_R,Gaussian,cqr,capped,0.5,0.0,100,0.8960166666666667,0.024190479386099254,2853.891446081497,473.32608024395284,16.597556732786835,0.0010917139053344726
0.1,3,200,Unscaled,Gaussian,cqr,raw,0.5,0.0,100,0.8945333333333333,0.025218550883069693,3254.0042146364776,553.3705375845531,15.179455148490892,2.0134449005126954e-05
