figure,source,setting,target,coverage_mean,coverage_1std,n_trials,redraw_train_test,n_train,n_test,one_sd_low,one_sd_high,target_within_one_sd,naive_standard_error,naive_ci95_low,naive_ci95_high
fig_app_heterogeneity_sweep,reviewer_update\data\heterogeneity_sweep_summary.csv,noise_ratio=5,0.9,0.9069875,0.0290187596358635,200,True,7200.0,800.0,0.8779687403641364,0.9360062596358635,True,0.002051936172014155,0.9029657051028522,0.9110092948971477
fig_app_heterogeneity_sweep,reviewer_update\data\heterogeneity_sweep_summary.csv,noise_ratio=10,0.9,0.9069875,0.0290187596358635,200,True,7200.0,800.0,0.8779687403641364,0.9360062596358635,True,0.002051936172014155,0.9029657051028522,0.9110092948971477
fig_app_heterogeneity_sweep,reviewer_update\data\heterogeneity_sweep_summary.csv,noise_ratio=20,0.9,0.9069875,0.0290187596358635,200,True,7200.0,800.0,0.8779687403641364,0.9360062596358635,True,0.002051936172014155,0.9029657051028522,0.9110092948971477
fig_app_alpha_sensitivity,reviewer_update\data\alpha_sensitivity_summary.csv,alpha=0.05,0.95,0.95439375,0.0230886759739194,200,True,7200.0,800.0,0.9313050740260806,0.9774824259739194,True,0.0016326159349777322,0.9511938227674437,0.9575936772325564
fig_app_alpha_sensitivity,reviewer_update\data\alpha_sensitivity_summary.csv,alpha=0.1,0.9,0.90696875,0.0318529612696485,200,True,7200.0,800.0,0.8751157887303515,0.9388217112696485,True,0.002252344491464091,0.9025541547967304,0.9113833452032696
fig_app_alpha_sensitivity,reviewer_update\data\alpha_sensitivity_summary.csv,alpha=0.2,0.8,0.81063125,0.0446632074130329,200,True,7200.0,800.0,0.7659680425869672,0.8552944574130329,True,0.0031581656831296844,0.8044412452610659,0.8168212547389342
fig_app_small_calibration,reviewer_update\data\small_calibration_stress_summary.csv,n_cal=10,0.9,0.93391875,0.090476099517258,200,True,7200.0,800.0,0.843442650482742,1.0243948495172581,True,0.006397626350396205,0.9213794023532235,0.9464580976467766
fig_app_small_calibration,reviewer_update\data\small_calibration_stress_summary.csv,n_cal=20,0.9,0.9255,0.061891637147063,200,True,7200.0,800.0,0.863608362852937,0.987391637147063,True,0.004376399632542547,0.9169222567202165,0.9340777432797834
fig_app_small_calibration,reviewer_update\data\small_calibration_stress_summary.csv,n_cal=30,0.9,0.91129375,0.0573356808622448,200,True,7200.0,800.0,0.8539580691377552,0.9686294308622448,True,0.004054244874164106,0.9033474300466384,0.9192400699533616
fig_app_small_calibration,reviewer_update\data\small_calibration_stress_summary.csv,n_cal=50,0.9,0.90535,0.0447777103223081,200,True,7200.0,800.0,0.8605722896776918,0.9501277103223081,True,0.0031662622614910927,0.8991441259674774,0.9115558740325226
fig_app_small_calibration,reviewer_update\data\small_calibration_stress_summary.csv,n_cal=100,0.9,0.9069875,0.0290187596358635,200,True,7200.0,800.0,0.8779687403641364,0.9360062596358635,True,0.002051936172014155,0.9029657051028522,0.9110092948971477
fig_app_cqr_base_interval,reviewer_update\data\cqr_base_alpha_summary.csv,base_interval_alpha=0.9,0.9,0.9034444444444444,0.0317525554326047,30,True,2400.0,600.0,0.8716918890118397,0.9351969998770491,True,0.005797196956290267,0.8920819384101155,0.9148069504787733
