alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,redraw_train_test,n_train,n_test
0.1,10,10,12,Unscaled,Gaussian,absolute_residual,0.85875,3113352049709.2847,17.755087758239835,0.0,True,7200,800
0.1,10,10,12,Empirical_copula,Gaussian,absolute_residual,0.3375,594787409.602574,17.755087758142274,0.0,True,7200,800
0.1,10,10,13,TSCP_R,Gaussian,absolute_residual,0.955,1481605810363.0376,44.30978275719492,0.002001047134399414,True,7200,800
0.1,10,10,13,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010008811950683594,True,7200,800
0.1,10,10,13,Unscaled,Gaussian,absolute_residual,0.92625,17519995510180.314,21.10344705167216,0.0,True,7200,800
0.1,10,10,13,Empirical_copula,Gaussian,absolute_residual,0.43875,3244570746.3172035,21.103447051574598,0.0,True,7200,800
0.1,10,10,14,TSCP_R,Gaussian,absolute_residual,0.9825,4676348305839.195,50.72453668517704,0.002001523971557617,True,7200,800
0.1,10,10,14,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010013580322265625,True,7200,800
0.1,10,10,14,Unscaled,Gaussian,absolute_residual,0.8625,4985647912338.973,18.611105051320553,0.0,True,7200,800
0.1,10,10,14,Empirical_copula,Gaussian,absolute_residual,0.295,882584738.3413765,18.611105051311135,0.0,True,7200,800
0.1,10,10,15,TSCP_R,Gaussian,absolute_residual,0.9975,1806505028920.9468,40.86738110610633,0.0029993057250976562,True,7200,800
0.1,10,10,15,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,15,Unscaled,Gaussian,absolute_residual,0.905,9645564333485.594,19.88075000456316,0.0,True,7200,800
0.1,10,10,15,Empirical_copula,Gaussian,absolute_residual,0.325,770923094.2900865,19.880750004553743,0.001001596450805664,True,7200,800
0.1,10,10,16,TSCP_R,Gaussian,absolute_residual,0.97,1831902683108.8145,59.0917427588944,0.002006053924560547,True,7200,800
0.1,10,10,16,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,16,Unscaled,Gaussian,absolute_residual,1.0,1373814531052402.5,32.6432063649707,0.0,True,7200,800
0.1,10,10,16,Empirical_copula,Gaussian,absolute_residual,0.355,1873233637.1625137,32.64320636487314,0.0,True,7200,800
0.1,10,10,17,TSCP_R,Gaussian,absolute_residual,0.9125,1645007735183.425,47.764300365454964,0.002007007598876953,True,7200,800
0.1,10,10,17,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,17,Unscaled,Gaussian,absolute_residual,0.97625,42324069926799.41,23.049353167807688,0.0,True,7200,800
0.1,10,10,17,Empirical_copula,Gaussian,absolute_residual,0.50875,4656127271.5941925,23.04935316776265,0.0009996891021728516,True,7200,800
0.1,10,10,18,TSCP_R,Gaussian,absolute_residual,0.91375,6612679751127.526,43.300174206322254,0.0010080337524414062,True,7200,800
0.1,10,10,18,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,18,Unscaled,Gaussian,absolute_residual,0.83625,2868559236788.01,17.610284908301065,0.0,True,7200,800
0.1,10,10,18,Empirical_copula,Gaussian,absolute_residual,0.255,707096373.2581989,17.610284908256027,0.0,True,7200,800
0.1,10,10,19,TSCP_R,Gaussian,absolute_residual,0.86,136045004105.42729,32.11334396579104,0.0020067691802978516,True,7200,800
0.1,10,10,19,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,19,Unscaled,Gaussian,absolute_residual,0.91,11533932372561.225,20.239404960033607,0.0,True,7200,800
0.1,10,10,19,Empirical_copula,Gaussian,absolute_residual,0.285,455167904.9358095,20.23940495998972,0.0009999275207519531,True,7200,800
0.1,10,10,20,TSCP_R,Gaussian,absolute_residual,0.98125,1604449541551.299,44.58821529745387,0.0019948482513427734,True,7200,800
0.1,10,10,20,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009996891021728516,True,7200,800
0.1,10,10,20,Unscaled,Gaussian,absolute_residual,0.98625,160163235215582.62,26.330328853502714,0.0,True,7200,800
0.1,10,10,20,Empirical_copula,Gaussian,absolute_residual,0.485,3804705900.8099656,26.330328853405153,0.0,True,7200,800
0.1,10,10,21,TSCP_R,Gaussian,absolute_residual,0.92375,230838937526.2292,38.29933654096764,0.001999378204345703,True,7200,800
0.1,10,10,21,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010068416595458984,True,7200,800
0.1,10,10,21,Unscaled,Gaussian,absolute_residual,0.94,13116031883947.184,20.50124550382259,0.0,True,7200,800
0.1,10,10,21,Empirical_copula,Gaussian,absolute_residual,0.255,499151941.4394009,20.501245503736733,0.0,True,7200,800
0.1,10,10,22,TSCP_R,Gaussian,absolute_residual,0.9925,1172072859743.7942,42.99738081618838,0.002003908157348633,True,7200,800
0.1,10,10,22,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0009877681732177734,True,7200,800
0.1,10,10,22,Unscaled,Gaussian,absolute_residual,0.98625,123312859401252.48,25.650795413948693,0.0,True,7200,800
0.1,10,10,22,Empirical_copula,Gaussian,absolute_residual,0.53125,3885307878.9653707,25.65079541393588,0.0,True,7200,800
0.1,10,10,23,TSCP_R,Gaussian,absolute_residual,0.65125,40408690279.37638,27.478933119660887,0.0020072460174560547,True,7200,800
0.1,10,10,23,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,23,Unscaled,Gaussian,absolute_residual,0.85875,2714964584312.282,17.513639939989943,0.0,True,7200,800
0.1,10,10,23,Empirical_copula,Gaussian,absolute_residual,0.2525,710440271.7706661,17.513639939911336,0.0010001659393310547,True,7200,800
0.1,10,10,24,TSCP_R,Gaussian,absolute_residual,0.9,505485739932.39813,35.656852521988384,0.0019989013671875,True,7200,800
0.1,10,10,24,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,True,7200,800
0.1,10,10,24,Unscaled,Gaussian,absolute_residual,0.88375,4712892470968.429,18.506690119985084,0.0,True,7200,800
