alpha,n_dim,n_cal,method,noise_type,score_type,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,10,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.3774,0.11620310693050125,2005055087.5336013,1903960943.6331458,21.76426720716387,0.0003512763977050781
0.1,10,10,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,1.0,0.0,inf,,inf,0.00045958638191223144
0.1,10,10,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.93391875,0.09047609951725807,221727513659264.2,1981245816022426.0,43.03650316484001,0.0019451439380645751
0.1,10,10,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9148000000000001,0.08531795026951218,144647112440212.34,723099351366506.2,21.764267207251343,2.4964809417724608e-05
0.1,10,20,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.6249687500000001,0.09348303173329232,8954844051.838673,6396999398.411121,22.80678709615252,0.0005246865749359131
0.1,10,20,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9091125,0.09021362749985956,4297851896990.8076,13018977660166.256,38.302310101016914,0.0004156398773193359
0.1,10,20,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9255,0.06189163714706308,566338366613.1461,978683269909.867,31.586599319910846,0.0026929783821105957
0.1,10,20,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.90083125,0.0687294141747295,31776506445003.75,70248456262728.59,19.985147209714576,9.511947631835937e-05
0.1,10,30,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.7165375,0.0822036429443159,17290645848.688046,11961785448.214922,24.655587102604002,0.00046621441841125487
0.1,10,30,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.93969375,0.0600841507746348,15280332475719.312,165483324238893.78,37.63083101759183,0.0004198753833770752
0.1,10,30,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.91129375,0.05733568086224482,194946357055.07098,238776479634.8938,29.142505123505742,0.002675215005874634
0.1,10,30,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.90481875,0.048402624217008756,17573219841232.158,26789539370490.984,20.055701773341163,6.011366844177246e-05
0.1,10,50,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.8155374999999999,0.05376723604678367,35417605912.29341,21792408885.540863,25.84094495133535,0.0006817543506622315
0.1,10,50,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9181625,0.05568186142911399,538879372892.4833,1615865530900.2153,31.340210836750533,0.00042065143585205076
0.1,10,50,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.90535,0.04477771032230817,93719985617.83958,74520200731.67627,27.203889957054496,0.0033025157451629637
0.1,10,50,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9012,0.04257140764343736,13049528366178.307,14319218794615.238,19.758354702810443,4.998207092285156e-05
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,True,7200,800,200,0.82079375,0.036417839979622724,25002821437.697403,9347184710.980968,24.725385875613856,0.0011300194263458253
0.1,10,100,Point_CHR,Gaussian,absolute_residual,True,7200,800,200,0.9039625,0.03951299600150658,98900416666.25609,130285786319.254,27.661044784801778,0.0004152989387512207
0.1,10,100,TSCP_R,Gaussian,absolute_residual,True,7200,800,200,0.9069875000000001,0.029018759635863502,65172369291.593796,30099030898.042007,26.60287110654046,0.003641047477722168
0.1,10,100,Unscaled,Gaussian,absolute_residual,True,7200,800,200,0.9020937499999999,0.030331330277777114,10253301392944.746,6751490343401.24,19.626234489077326,4.9958229064941404e-05
