alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,test_coverage,coverage_volume,coverage_max_length,reference_adjustment,runtime,redraw_train_test,n_train,n_test
0.1,3,30,8,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.93,31977.163067594294,39.52789827252298,,0.000993967056274414,True,2400,600
0.1,3,30,9,CQHR,Gaussian,cqr,native,0.5,0.0,0.895,3993326.139776439,88.67609956850657,14.902517815682822,0.0,True,2400,600
0.1,3,30,9,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9633333333333334,44414.14131599458,45.91866467562907,,0.0009999275207519531,True,2400,600
0.1,3,30,9,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9583333333333334,59450.26254697912,40.482448970156085,,0.0,True,2400,600
0.1,3,30,9,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9133333333333333,27818.82564003937,40.44425890080408,,0.0009996891021728516,True,2400,600
0.1,3,30,10,CQHR,Gaussian,cqr,native,0.5,0.0,0.8516666666666667,155057.95030697188,57.999432984681164,14.96707260284053,0.0,True,2400,600
0.1,3,30,10,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.865,17919.72874378319,35.09440425969617,,0.0,True,2400,600
0.1,3,30,10,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.885,26375.510601701437,31.360092824404266,,0.0009999275207519531,True,2400,600
0.1,3,30,10,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7083333333333334,9973.649387788213,31.667188293556308,,0.0,True,2400,600
0.1,3,30,11,CQHR,Gaussian,cqr,native,0.5,0.0,0.9333333333333333,2557706.9058006033,104.61659181568004,22.827738497631945,0.0,True,2400,600
0.1,3,30,11,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9116666666666666,29389.936150708087,38.50029635193091,,0.0,True,2400,600
0.1,3,30,11,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9116666666666666,38894.723060936056,35.28898601774073,,0.0,True,2400,600
0.1,3,30,11,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.885,22513.01952105642,35.28898601766657,,0.0,True,2400,600
0.1,3,30,12,CQHR,Gaussian,cqr,native,0.5,0.0,0.9066666666666666,1716888.7133997981,103.80902714674397,18.94577723221567,0.0,True,2400,600
0.1,3,30,12,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.935,35286.85255315771,40.60209007317731,,0.0009949207305908203,True,2400,600
0.1,3,30,12,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8966666666666666,31309.07454353672,33.16334534312641,,0.0,True,2400,600
0.1,3,30,12,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8783333333333333,22363.80727175921,32.61083091360249,,0.0010089874267578125,True,2400,600
0.1,3,30,13,CQHR,Gaussian,cqr,native,0.5,0.0,0.8733333333333333,498802.5152079979,71.64717059791722,16.75406594846321,0.0,True,2400,600
0.1,3,30,13,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.81,17018.419033294565,34.27313437997835,,0.0009984970092773438,True,2400,600
0.1,3,30,13,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8266666666666667,20688.01668485784,28.99891148912733,,0.0,True,2400,600
0.1,3,30,13,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7466666666666667,13380.009616173409,32.091033832027726,,0.0,True,2400,600
0.1,3,30,14,CQHR,Gaussian,cqr,native,0.5,0.0,0.9816666666666667,74322090.45967424,261.0011836310932,59.27944957191048,0.0,True,2400,600
0.1,3,30,14,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9633333333333334,56831.760246599166,44.966365164200404,,0.0009963512420654297,True,2400,600
0.1,3,30,14,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9483333333333334,54528.07779206233,39.50985086822944,,0.0,True,2400,600
0.1,3,30,14,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.9316666666666666,34307.781234791655,40.60182562095631,,0.0,True,2400,600
0.1,3,30,15,CQHR,Gaussian,cqr,native,0.5,0.0,0.78,97137.09793410836,49.423185128203905,11.913482113134016,0.0,True,2400,600
0.1,3,30,15,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.955,53937.81410643843,47.68459443681143,,0.0009951591491699219,True,2400,600
0.1,3,30,15,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.91,35745.73668759691,34.610868755272044,,0.0,True,2400,600
0.1,3,30,15,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7966666666666666,16960.004776897378,34.034152248111326,,0.0,True,2400,600
0.1,3,30,16,CQHR,Gaussian,cqr,native,0.5,0.0,0.905,860294.4784328477,87.6438123561597,19.00072489416762,0.0,True,2400,600
0.1,3,30,16,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9316666666666666,39612.513162499454,40.54525038666387,,0.0009186267852783203,True,2400,600
0.1,3,30,16,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9133333333333333,36302.51233959388,34.663440072194284,,0.0,True,2400,600
0.1,3,30,16,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8383333333333334,18160.152612297006,35.465562379779655,,0.0,True,2400,600
0.1,3,30,17,CQHR,Gaussian,cqr,native,0.5,0.0,0.8933333333333333,2501476.6398816123,89.55976770570389,16.966072039033733,0.0,True,2400,600
0.1,3,30,17,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.9283333333333333,37558.56353885173,49.12755492406849,,0.0009942054748535156,True,2400,600
0.1,3,30,17,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.9266666666666666,49282.67348794775,38.14856565493706,,0.0,True,2400,600
0.1,3,30,17,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8433333333333334,20666.774310952627,39.35861004303613,,0.0009984970092773438,True,2400,600
0.1,3,30,18,CQHR,Gaussian,cqr,native,0.5,0.0,0.905,6187961.641073827,101.03775720677841,20.223550095008317,0.0,True,2400,600
0.1,3,30,18,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8733333333333333,18455.74952501671,33.60632619375522,,0.0009996891021728516,True,2400,600
0.1,3,30,18,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.85,20037.105188081685,28.7278868153392,,0.0,True,2400,600
0.1,3,30,18,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.8016666666666666,12181.198138582691,28.063032569256443,,0.0010068416595458984,True,2400,600
0.1,3,30,19,CQHR,Gaussian,cqr,native,0.5,0.0,0.7633333333333333,471709.0350268799,47.60286429888379,10.080012708771537,0.0010051727294921875,True,2400,600
0.1,3,30,19,TSCP_R,Gaussian,cqr,capped,0.5,0.0,0.8833333333333333,25757.05049280908,36.02668238906272,,0.00099945068359375,True,2400,600
0.1,3,30,19,Unscaled,Gaussian,cqr,raw,0.5,0.0,0.8416666666666667,22116.56059997348,29.434175003089432,,0.0,True,2400,600
0.1,3,30,19,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,0.7983333333333333,17936.602081714886,29.434175003000735,,0.0,True,2400,600
