alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,df,redraw_train_test,n_train,n_test
0.1,10,30,13,Point_CHR,t,absolute_residual,0.975,1.5672847102762234e+17,137.56916731403442,0.0010008811950683594,1.5,True,7200,800
0.1,10,30,13,Empirical_copula,t,absolute_residual,0.795,64301738578.58264,41.90748571057412,0.0,1.5,True,7200,800
0.1,10,30,14,TSCP_R,t,absolute_residual,0.965,3.49741547849427e+17,218.41921195056665,0.003009319305419922,1.5,True,7200,800
0.1,10,30,14,Point_CHR,t,absolute_residual,0.96875,1.4499831425241782e+19,695.7965972167,0.0,1.5,True,7200,800
0.1,10,30,14,Empirical_copula,t,absolute_residual,0.81375,1449280399967.0647,74.31156471780841,0.0009999275207519531,1.5,True,7200,800
0.1,10,30,15,TSCP_R,t,absolute_residual,0.95625,749369460216039.6,69.48081748278777,0.001998424530029297,1.5,True,7200,800
0.1,10,30,15,Point_CHR,t,absolute_residual,0.97875,4.138414523641761e+18,214.91950851634053,0.0,1.5,True,7200,800
0.1,10,30,15,Empirical_copula,t,absolute_residual,0.77,61164444465.73451,24.4861673207254,0.0009996891021728516,1.5,True,7200,800
0.1,10,30,16,TSCP_R,t,absolute_residual,0.95375,2.6673575006499856e+16,178.51579137147112,0.0020036697387695312,1.5,True,7200,800
0.1,10,30,16,Point_CHR,t,absolute_residual,0.95125,7.918217404118131e+16,576.9090830732316,0.0009989738464355469,1.5,True,7200,800
0.1,10,30,16,Empirical_copula,t,absolute_residual,0.70125,262262793471.45557,76.82927831306239,0.0,1.5,True,7200,800
0.1,10,30,17,TSCP_R,t,absolute_residual,0.9325,49751786820804.79,84.08762310424312,0.0019931793212890625,1.5,True,7200,800
0.1,10,30,17,Point_CHR,t,absolute_residual,0.9925,3.9166203132938404e+18,300.2165840890188,0.0010089874267578125,1.5,True,7200,800
0.1,10,30,17,Empirical_copula,t,absolute_residual,0.73,15891827553.95772,31.489798739029062,0.0,1.5,True,7200,800
0.1,10,30,18,TSCP_R,t,absolute_residual,0.9575,906200879215849.0,72.61764081907808,0.001990079879760742,1.5,True,7200,800
0.1,10,30,18,Point_CHR,t,absolute_residual,0.96625,1.1473439589868716e+16,164.03500897072067,0.0010132789611816406,1.5,True,7200,800
0.1,10,30,18,Empirical_copula,t,absolute_residual,0.755,30613014271.34226,30.463935816309593,0.0,1.5,True,7200,800
0.1,10,30,19,TSCP_R,t,absolute_residual,0.9225,3242627308837911.5,800.8158632612256,0.003006458282470703,1.5,True,7200,800
0.1,10,30,19,Point_CHR,t,absolute_residual,0.975,2.422194671989487e+19,510.92019691459984,0.0,1.5,True,7200,800
0.1,10,30,19,Empirical_copula,t,absolute_residual,0.70125,437714931388.49347,510.92019691459984,0.0009996891021728516,1.5,True,7200,800
0.1,10,30,20,TSCP_R,t,absolute_residual,0.94125,849401730656758.9,76.053081440153,0.0020067691802978516,1.5,True,7200,800
0.1,10,30,20,Point_CHR,t,absolute_residual,0.9925,1.566518397646286e+21,526.7748690291434,0.0,1.5,True,7200,800
0.1,10,30,20,Empirical_copula,t,absolute_residual,0.75875,138273880105.6469,36.69968568878982,0.0010020732879638672,1.5,True,7200,800
0.1,10,30,21,TSCP_R,t,absolute_residual,0.97625,3.6663494225882317e+18,1856.0217765466941,0.0020067691802978516,1.5,True,7200,800
0.1,10,30,21,Point_CHR,t,absolute_residual,0.97875,9.278638653263766e+19,6787.287402545376,0.0009937286376953125,1.5,True,7200,800
0.1,10,30,21,Empirical_copula,t,absolute_residual,0.74875,2551948963478.705,869.1935186240792,0.0,1.5,True,7200,800
0.1,10,30,22,TSCP_R,t,absolute_residual,0.9375,352068529436314.56,64.45541880300367,0.00200653076171875,1.5,True,7200,800
0.1,10,30,22,Point_CHR,t,absolute_residual,0.975,1.187551023036305e+18,280.090829547375,0.0,1.5,True,7200,800
0.1,10,30,22,Empirical_copula,t,absolute_residual,0.805,177804344129.04004,28.58124674483709,0.00099945068359375,1.5,True,7200,800
0.1,10,30,23,TSCP_R,t,absolute_residual,0.865,2751761066447.564,44.43194873619759,0.002000093460083008,1.5,True,7200,800
0.1,10,30,23,Point_CHR,t,absolute_residual,0.9075,704591914717240.2,97.22266603446363,0.0010068416595458984,1.5,True,7200,800
0.1,10,30,23,Empirical_copula,t,absolute_residual,0.69,15791892877.711956,37.71267536763051,0.0,1.5,True,7200,800
0.1,10,30,24,TSCP_R,t,absolute_residual,0.91125,31037569160574.562,38.111430848707855,0.002007007598876953,1.5,True,7200,800
0.1,10,30,24,Point_CHR,t,absolute_residual,0.95625,2064269001240110.8,138.0176474862008,0.000993967056274414,1.5,True,7200,800
0.1,10,30,24,Empirical_copula,t,absolute_residual,0.77625,67491857572.49501,22.988844058780018,0.0,1.5,True,7200,800
0.1,10,30,25,TSCP_R,t,absolute_residual,0.89,2230812901432.0825,30.729567505358823,0.001998424530029297,1.5,True,7200,800
0.1,10,30,25,Point_CHR,t,absolute_residual,0.87375,2222335751381.789,40.49969769162533,0.0,1.5,True,7200,800
0.1,10,30,25,Empirical_copula,t,absolute_residual,0.67,2272937836.817844,18.19324645662163,0.001001596450805664,1.5,True,7200,800
0.1,10,30,26,TSCP_R,t,absolute_residual,0.8075,104700888375.63382,28.02268277030033,0.003000497817993164,1.5,True,7200,800
0.1,10,30,26,Point_CHR,t,absolute_residual,0.77875,118509383782.65215,45.07234638198473,0.0,1.5,True,7200,800
0.1,10,30,26,Empirical_copula,t,absolute_residual,0.62375,585101852.1448976,22.595771033438716,0.0,1.5,True,7200,800
0.1,10,30,27,TSCP_R,t,absolute_residual,0.71875,3821556681.4622374,21.003775266508956,0.0030031204223632812,1.5,True,7200,800
0.1,10,30,27,Point_CHR,t,absolute_residual,0.785,137453645024.7789,30.68778945576114,0.0,1.5,True,7200,800
0.1,10,30,27,Empirical_copula,t,absolute_residual,0.60375,169580083.69571295,14.012241695152818,0.0009975433349609375,1.5,True,7200,800
0.1,10,30,28,TSCP_R,t,absolute_residual,0.9525,2191119373403236.0,79.97754313581149,0.0030052661895751953,1.5,True,7200,800
0.1,10,30,28,Point_CHR,t,absolute_residual,0.9475,1.1011885190501686e+16,132.7522296284566,0.0,1.5,True,7200,800
0.1,10,30,28,Empirical_copula,t,absolute_residual,0.7925,97060287433.95569,26.210825612880253,0.0009987354278564453,1.5,True,7200,800
0.1,10,30,29,TSCP_R,t,absolute_residual,0.925,58046391221229.53,120.89688524357591,0.0020084381103515625,1.5,True,7200,800
0.1,10,30,29,Point_CHR,t,absolute_residual,0.9725,1.4474106577088574e+16,91.86902969708109,0.0,1.5,True,7200,800
0.1,10,30,29,Empirical_copula,t,absolute_residual,0.72125,91418362730.94965,71.10596172772662,0.0,1.5,True,7200,800
0.1,10,30,30,TSCP_R,t,absolute_residual,0.91125,71961210531616.03,79.4631586335802,0.001994609832763672,1.5,True,7200,800
0.1,10,30,30,Point_CHR,t,absolute_residual,0.8925,57319903621734.195,109.53603447739823,0.0009999275207519531,1.5,True,7200,800
0.1,10,30,30,Empirical_copula,t,absolute_residual,0.745,90630802051.96977,46.92060132857529,0.0009992122650146484,1.5,True,7200,800
0.1,10,30,31,TSCP_R,t,absolute_residual,0.955,916440525643765.9,83.28142285855347,0.00200653076171875,1.5,True,7200,800
0.1,10,30,31,Point_CHR,t,absolute_residual,0.98,2.913019080110824e+17,164.40197180411363,0.0009932518005371094,1.5,True,7200,800
0.1,10,30,31,Empirical_copula,t,absolute_residual,0.8125,222255016476.47757,44.32774995392039,0.0,1.5,True,7200,800
0.1,10,30,32,TSCP_R,t,absolute_residual,0.9125,38265304789138.336,67.81529618538481,0.0030057430267333984,1.5,True,7200,800
0.1,10,30,32,Point_CHR,t,absolute_residual,0.94125,1106890177537439.8,81.30190599380369,0.0,1.5,True,7200,800
0.1,10,30,32,Empirical_copula,t,absolute_residual,0.7275,25349874760.659378,25.666459044939185,0.0010001659393310547,1.5,True,7200,800
0.1,10,30,33,TSCP_R,t,absolute_residual,0.915,1722706171755871.2,172.21704222084935,0.003007173538208008,1.5,True,7200,800
0.1,10,30,33,Point_CHR,t,absolute_residual,0.81,15634670622197.139,172.0124795048887,0.0,1.5,True,7200,800
0.1,10,30,33,Empirical_copula,t,absolute_residual,0.5525,32781989703.431267,79.2911740730026,0.0009989738464355469,1.5,True,7200,800
0.1,10,30,34,TSCP_R,t,absolute_residual,0.91625,89241092076485.3,78.59000958350059,0.0020046234130859375,1.5,True,7200,800
0.1,10,30,34,Point_CHR,t,absolute_residual,0.93125,1.1618946267222936e+16,209.9057335477574,0.0,1.5,True,7200,800
0.1,10,30,34,Empirical_copula,t,absolute_residual,0.775,101369628345.61069,49.769682491781595,0.0,1.5,True,7200,800
0.1,10,30,35,TSCP_R,t,absolute_residual,0.84625,615524148737.328,31.059685953890884,0.0030083656311035156,1.5,True,7200,800
0.1,10,30,35,Point_CHR,t,absolute_residual,0.89875,31713722039636.703,60.73256735909503,0.0,1.5,True,7200,800
0.1,10,30,35,Empirical_copula,t,absolute_residual,0.7175,7802291033.209216,20.43862180767033,0.0009942054748535156,1.5,True,7200,800
0.1,10,30,36,TSCP_R,t,absolute_residual,0.8925,74228426873113.73,252.93201520451575,0.0030050277709960938,1.5,True,7200,800
0.1,10,30,36,Point_CHR,t,absolute_residual,0.97625,2.2374012286680794e+17,169.23063589679566,0.0,1.5,True,7200,800
