alpha,n_dim,n_cal,method,noise_type,coordinate,df,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,30,Empirical_copula,t,1,1.5,absolute_residual,True,7200,800,200,17.455398349448075,35.36281812942815,10.254950012733143
0.1,10,30,Empirical_copula,t,2,1.5,absolute_residual,True,7200,800,200,23.040039682706333,58.97033956428681,10.561008171339045
0.1,10,30,Empirical_copula,t,3,1.5,absolute_residual,True,7200,800,200,22.95758491749175,79.92298071134623,10.707026270425587
0.1,10,30,Empirical_copula,t,4,1.5,absolute_residual,True,7200,800,200,20.797707360402224,49.7962902253418,9.306577899660265
0.1,10,30,Empirical_copula,t,5,1.5,absolute_residual,True,7200,800,200,26.308216083950946,111.56958981499042,10.369186212369218
0.1,10,30,Empirical_copula,t,6,1.5,absolute_residual,True,7200,800,200,18.162349798246993,26.179306130262624,8.925718776686764
0.1,10,30,Empirical_copula,t,7,1.5,absolute_residual,True,7200,800,200,21.10399707135562,33.86409901865304,10.598235165830376
0.1,10,30,Empirical_copula,t,8,1.5,absolute_residual,True,7200,800,200,22.467825638025403,50.50025892092503,10.79427578759674
0.1,10,30,Empirical_copula,t,9,1.5,absolute_residual,True,7200,800,200,17.60300714579689,24.007483953902742,10.952827291800517
0.1,10,30,Empirical_copula,t,10,1.5,absolute_residual,True,7200,800,200,27.726919530048207,88.2367112905748,10.631308154344971
0.1,10,30,Point_CHR,t,1,1.5,absolute_residual,True,7200,800,200,112.00094513053162,228.55255560112644,50.2190175852573
0.1,10,30,Point_CHR,t,2,1.5,absolute_residual,True,7200,800,200,147.51080387444378,442.1931020468776,46.41668801944678
0.1,10,30,Point_CHR,t,3,1.5,absolute_residual,True,7200,800,200,139.06584520422481,433.21943450449965,42.75659837702494
0.1,10,30,Point_CHR,t,4,1.5,absolute_residual,True,7200,800,200,143.74119291846694,478.3018215725684,44.083153256586115
0.1,10,30,Point_CHR,t,5,1.5,absolute_residual,True,7200,800,200,177.44226789037035,955.4509991146874,43.66976872682841
0.1,10,30,Point_CHR,t,6,1.5,absolute_residual,True,7200,800,200,149.45401438974199,655.1848297724123,42.43996781141682
0.1,10,30,Point_CHR,t,7,1.5,absolute_residual,True,7200,800,200,131.9829097051545,293.6063714578633,48.26834422391039
0.1,10,30,Point_CHR,t,8,1.5,absolute_residual,True,7200,800,200,112.40919904316723,223.99713696070816,52.51804229525527
0.1,10,30,Point_CHR,t,9,1.5,absolute_residual,True,7200,800,200,128.08406896441562,366.7925781993135,44.69792929814224
0.1,10,30,Point_CHR,t,10,1.5,absolute_residual,True,7200,800,200,184.88453690131558,586.0832458858808,46.06951485467211
0.1,10,30,TSCP_R,t,1,1.5,absolute_residual,True,7200,800,200,43.845559463747584,109.35012404405059,23.62269703074682
0.1,10,30,TSCP_R,t,2,1.5,absolute_residual,True,7200,800,200,50.986008906392634,107.08781227005313,25.500426710729585
0.1,10,30,TSCP_R,t,3,1.5,absolute_residual,True,7200,800,200,51.89159322991742,146.71462757621555,24.505079056623913
0.1,10,30,TSCP_R,t,4,1.5,absolute_residual,True,7200,800,200,46.32473990345121,89.02266553006552,23.134570783966353
