,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,10,10,Laplace,0.9403750000000001,0.0496770822412106,32.49943699242333,14.154210671525757,7.867574486684713,0.0015016555786132812
1,0.1,3,10,10,Laplace,0.9359375,0.08705653993717723,1090.8720754315905,1274.8277586967238,17.66584094887472,0.019351387023925783
2,0.1,4,10,10,Laplace,0.9035,0.1387938494274472,58408.525877620756,107570.96158325327,27.98280122043954,0.27038638591766356
3,0.1,5,10,10,Laplace,0.9256875000000001,0.07646057558020052,903829.9785871463,1496250.9954965105,26.76201726895671,3.400641393661499
4,0.1,6,10,10,Laplace,0.9505625,0.11734603165779972,587223892.3789012,596440213.4852796,70.87429930438984,40.555851340293884
