,alpha,n_dim,n_cals,df,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,1.5,200,t,0.873128125,0.05960014169707091,48.751546601512,56.28036165971021,7.888325385398996,0.00038166522979736327
1,0.1,2,30,2.0,200,t,0.873,0.05542145229396158,20.93985519469732,17.594861064636238,4.917756279361175,0.0003912043571472168
2,0.1,2,30,3.0,200,t,0.86421875,0.06554671239633103,10.270659522151163,5.986089632591139,3.440808301232989,0.0003808712959289551
3,0.1,2,30,10.0,200,t,0.87999375,0.058300159230218605,4.974107418173418,1.6574350261391635,2.3739789327583045,0.00036094903945922853
4,0.1,2,30,30.0,200,t,0.87494375,0.05949454673660832,4.105855380525984,1.122306058132416,2.2149617498542966,0.000486905574798584
5,0.1,2,30,100.0,200,t,0.873059375,0.06057770578915782,3.8429684637487553,1.0043240094911066,2.129515530099413,0.000391392707824707
6,0.1,2,500,1.5,200,t,0.894640625,0.014781229914091766,35.09001489920479,6.613130420236091,6.318983446629797,0.01544969916343689
7,0.1,2,500,2.0,200,t,0.8975875000000001,0.014149356973510108,18.096485603262558,2.7566398703265076,4.466388671923367,0.015240147113800048
8,0.1,2,500,3.0,200,t,0.8996000000000001,0.01654093540190062,9.856072935618602,1.119758495934395,3.247104827858486,0.015358757972717286
9,0.1,2,500,10.0,200,t,0.90330625,0.014777265649907622,4.874084395599814,0.3475925324294599,2.2671537109272,0.015282860994338988
10,0.1,2,500,30.0,200,t,0.899846875,0.014022888445722618,4.12912937954848,0.2741057771732319,2.076905807134895,0.015311011075973512
11,0.1,2,500,100.0,200,t,0.898203125,0.013127308587947152,3.8866772063487907,0.2264154042950146,2.0213496783935634,0.015231413841247559
12,0.1,10,30,1.5,200,t,0.7144624999999999,0.06982907276533415,2818979964708.11,28030966428234.293,46.06469047988507,0.000547858476638794
13,0.1,10,30,2.0,200,t,0.724659375,0.07220228895531157,4028270067.866544,32175084440.593765,20.058405466807436,0.0006087136268615723
14,0.1,10,30,3.0,200,t,0.7260718750000001,0.06863888283651329,16218822.16313653,49818677.87665538,9.400555792614341,0.0005928933620452881
15,0.1,10,30,10.0,200,t,0.715228125,0.0675187013892881,28841.75037769652,23009.61214230776,4.105374517072006,0.0005739080905914307
16,0.1,10,30,30.0,200,t,0.7213249999999999,0.072516556115166,8109.902185281359,5530.506193022821,3.3702172893668343,0.0005169665813446045
17,0.1,10,30,100.0,200,t,0.7204250000000001,0.07137496094745872,5379.212091303074,3661.608358534891,3.159308799568046,0.0005923581123352051
18,0.1,10,500,1.5,200,t,0.8809125,0.015598135196491923,2620818181961.496,7474419942602.846,25.12226758288758,0.07927530527114868
19,0.1,10,500,2.0,200,t,0.88731875,0.01535547566348105,7044611582.28394,5813724298.917967,13.107587333863254,0.08039800286293029
20,0.1,10,500,3.0,200,t,0.887734375,0.015477562873296923,36918663.35484694,21286730.894901365,7.189298987123909,0.08062490224838256
21,0.1,10,500,10.0,200,t,0.8913187499999999,0.01658120506763531,88229.5832575424,22813.305126555482,3.536846084403356,0.08011305212974548
22,0.1,10,500,30.0,200,t,0.889609375,0.01740827963884704,22068.678169888994,5578.4526604013645,2.9905917990291835,0.07972106337547302
23,0.1,10,500,100.0,200,t,0.8909125,0.015299414339958526,13896.65444748066,3106.4018531978018,2.83028378204612,0.07938980340957641
