alpha,n_dim,n_cal,method,noise_type,score_type,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,200,0.818925,0.0390139917402403,7113.082818449492,2727.36063425226,2.8801996352432893,0.001090167760848999,1
0.1,10,100,Point_CHR,Gaussian,absolute_residual,200,0.901334375,0.041351314474612134,26840.709676344242,25399.230862263903,3.2442386964636025,0.0004249095916748047,1
0.1,10,100,TSCP_R,Gaussian,absolute_residual,200,0.902596875,0.03407190482053907,18167.31589559724,9455.71758488603,2.9372428511240627,0.0037766814231872557,1
0.1,10,100,Unscaled,Gaussian,absolute_residual,200,0.8998999999999999,0.034978818518853295,14976.796532184286,7382.28535369773,2.5876357312032523,5.1524639129638675e-05,1
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,200,0.818925,0.0390139917402403,227618.65019038363,87275.54029607243,5.033162167650554,0.0010872113704681397,2
0.1,10,100,Point_CHR,Gaussian,absolute_residual,200,0.901334375,0.041351314474612134,858902.709643025,812775.3875924558,5.632867005871374,0.0003701663017272949,2
0.1,10,100,TSCP_R,Gaussian,absolute_residual,200,0.902596875,0.03407190482053907,581354.1086591094,302582.9627163519,5.314074640262252,0.0037152457237243654,2
0.1,10,100,Unscaled,Gaussian,absolute_residual,200,0.9048875,0.030532321822609506,1749029.89637967,1079380.8779745393,4.140722788160256,6.50787353515625e-05,2
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,200,0.818925,0.0390139917402403,22228383.80765467,8523001.982038302,12.088470086981427,0.0011270976066589356,5
0.1,10,100,Point_CHR,Gaussian,absolute_residual,200,0.901334375,0.041351314474612134,83877217.7385764,79372596.44457477,13.821667812729183,0.00038516879081726077,5
0.1,10,100,TSCP_R,Gaussian,absolute_residual,200,0.902596875,0.03407190482053907,56772862.17374111,29549117.45276902,13.232414257120148,0.0037370264530181886,5
0.1,10,100,Unscaled,Gaussian,absolute_residual,200,0.907171875,0.026252238590536374,6239561501.9929495,3746895695.859367,9.387792866690912,1.998305320739746e-05,5
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,200,0.818925,0.0390139917402403,711308281.8449501,272736063.4252259,24.081495089282278,0.0010940074920654298,10
0.1,10,100,Point_CHR,Gaussian,absolute_residual,200,0.901334375,0.041351314474612134,2684070967.6344404,2539923086.226392,27.352451517194872,0.0004351365566253662,10
0.1,10,100,TSCP_R,Gaussian,absolute_residual,200,0.902596875,0.03407190482053907,1816731589.5597134,945571758.4886068,26.420740639858955,0.0037626552581787108,10
0.1,10,100,Unscaled,Gaussian,absolute_residual,200,0.9047406250000001,0.029209263115373023,4474743493704.785,3228101365882.1133,17.984901720440295,5.994319915771484e-05,10
0.1,10,100,Empirical_copula,Gaussian,absolute_residual,200,0.818925,0.0390139917402403,22761865019.03838,8727554029.60722,48.16299017856457,0.0010902798175811768,20
0.1,10,100,Point_CHR,Gaussian,absolute_residual,200,0.901334375,0.041351314474612134,85890270964.30205,81277538759.2432,54.52645178594116,0.00032623291015625,20
0.1,10,100,TSCP_R,Gaussian,absolute_residual,200,0.902596875,0.03407190482053907,58135410865.910706,30258296271.635433,52.84148127971794,0.0038063836097717283,20
0.1,10,100,Unscaled,Gaussian,absolute_residual,200,0.902440625,0.029381554484985053,3553366194800256.0,2939043247610643.0,35.065302639704576,4.9952268600463864e-05,20
