alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,4,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,5,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,6,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,7,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,8,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,9,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Unscaled,Gaussian,absolute_residual,10,16.84258282497165,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,1,15.150381428818932,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,2,16.84258282487409,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,3,15.405304790394476,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,4,10.656444488392253,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,5,7.8569380237454505,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,6,8.587368970203924,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,7,7.230325815638453,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,8,8.004362095369576,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,9,5.069862752263435,0.0,equicorrelated
0.1,10,10,1,Empirical_copula,Gaussian,absolute_residual,10,1.6180305958029955,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,1,17.119073099547602,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,2,24.864796083133328,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,3,7.048308727934694,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,4,24.508596563658223,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,5,12.3438682868207,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,6,12.434672007704684,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,7,18.107469366103324,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,8,10.428372609733467,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,9,8.003661478658588,0.0,equicorrelated
0.1,10,10,2,TSCP_R,Gaussian,absolute_residual,10,3.313152346415826,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,1,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,2,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,3,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,4,inf,0.0,equicorrelated
0.1,10,10,2,Point_CHR,Gaussian,absolute_residual,5,inf,0.0,equicorrelated
