alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,correlation,correlation_structure
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,4,16.833912003746097,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,5,16.090286422117053,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,6,11.61322524996622,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,7,9.72145184316816,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,8,8.180360770378746,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,9,4.7108259012764275,0.6,equicorrelated
0.1,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.6515986112859484,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,1,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,2,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,3,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,4,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,5,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,6,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,7,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,8,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,9,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Unscaled,Gaussian,absolute_residual,10,19.531286376904877,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,24.65860188257012,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,24.975328045068796,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,17.45403227492018,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,16.613696235704573,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,14.19672202526176,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,11.22635217543094,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,8.09955797157685,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,7.880532008023234,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,4.121296221488542,0.6,equicorrelated
0.1,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,2.2342106858252997,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,1,22.418891425053275,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,2,21.03299798542757,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,3,16.653669019415208,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,4,15.73572325076654,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,5,14.108449921340803,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,6,10.60461667574593,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,7,8.285539595137866,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,8,7.257684341335439,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,9,4.385946060005712,0.6,equicorrelated
0.2,10,100,0,TSCP_R,Gaussian,absolute_residual,10,2.222347311242773,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,1,21.720650655073108,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,2,21.292368755251864,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,3,19.149915766730597,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,4,17.208012696012688,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,5,17.878973718818045,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,6,10.228916404852637,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,7,7.8346177007356275,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,8,9.087547892170504,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,9,4.4350383250133785,0.6,equicorrelated
0.2,10,100,0,Point_CHR,Gaussian,absolute_residual,10,2.394870617526137,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,1,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,2,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,3,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,4,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,5,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,6,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,7,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,8,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,9,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Unscaled,Gaussian,absolute_residual,10,16.613696235743323,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,1,21.416259626036638,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,2,21.547530600126432,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,3,17.09152790540703,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,4,15.457911839442277,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,5,13.361172207831011,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,6,10.938445396981558,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,7,8.096265618384955,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,8,7.606005686862752,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,9,3.981103017492515,0.6,equicorrelated
0.2,10,100,0,Empirical_copula,Gaussian,absolute_residual,10,2.2191290194463256,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,1,28.0850045134067,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,2,26.58600128295279,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,3,23.15077479511873,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,4,20.722603288095318,0.6,equicorrelated
0.05,10,100,1,TSCP_R,Gaussian,absolute_residual,5,15.057956573353296,0.6,equicorrelated
