alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,noise_ratio
0.1,10,100,11,TSCP_R,Gaussian,absolute_residual,0.9275,20512.85068317698,2.9762876161765934,0.0040073394775390625,1
0.1,10,100,11,Point_CHR,Gaussian,absolute_residual,0.929375,26453.13655575376,3.360534937408548,0.0009980201721191406,1
0.1,10,100,11,Unscaled,Gaussian,absolute_residual,0.933125,19428.760352326008,2.6843831813774557,0.0,1
0.1,10,100,11,Empirical_copula,Gaussian,absolute_residual,0.8425,7120.82240125844,2.850302917752586,0.0009953975677490234,1
0.1,10,100,12,TSCP_R,Gaussian,absolute_residual,0.948125,42842.49396678747,3.347913649677736,0.004000663757324219,1
0.1,10,100,12,Point_CHR,Gaussian,absolute_residual,0.95375,82200.278587524,3.717772561145114,0.0,1
0.1,10,100,12,Unscaled,Gaussian,absolute_residual,0.91125,16702.953491294793,2.644108834208169,0.0,1
0.1,10,100,12,Empirical_copula,Gaussian,absolute_residual,0.859375,10376.330109495033,2.881815349664753,0.00099945068359375,1
0.1,10,100,13,TSCP_R,Gaussian,absolute_residual,0.83375,6270.522894889272,2.728852581496487,0.0040073394775390625,1
0.1,10,100,13,Point_CHR,Gaussian,absolute_residual,0.891875,22532.950474393023,3.307508423777679,0.0,1
0.1,10,100,13,Unscaled,Gaussian,absolute_residual,0.7975,3916.534065306146,2.28712652588766,0.0,1
0.1,10,100,13,Empirical_copula,Gaussian,absolute_residual,0.72875,2698.87546368836,2.439767814485748,0.0009996891021728516,1
0.1,10,100,14,TSCP_R,Gaussian,absolute_residual,0.893125,12620.138106383758,2.8812973438704534,0.003006458282470703,1
0.1,10,100,14,Point_CHR,Gaussian,absolute_residual,0.939375,28421.111917856168,3.0366958913014033,0.0010004043579101562,1
0.1,10,100,14,Unscaled,Gaussian,absolute_residual,0.8975,13313.479061521513,2.5848131589901193,0.0,1
0.1,10,100,14,Empirical_copula,Gaussian,absolute_residual,0.805,5943.653836705147,2.705515755551602,0.0009932518005371094,1
