alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,30,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.724184375,0.07606256819478495,16053026130.602564,11117038920.909542,24.54775721744616,0.0005009877681732178
0.1,10,30,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9412718750000001,0.05381209810882443,3002317033255.612,8406988228794.683,37.20771269611854,0.0003057551383972168
0.1,10,30,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9145062500000001,0.05450542068554318,170074144848.4311,194534843998.52545,28.90250741915244,0.0028903281688690188
0.1,10,30,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.901428125,0.0519785352597408,16575749832512.672,19684327469057.27,19.719591372992795,6.497383117675781e-05
0.1,10,50,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.827746875,0.04796236294906315,38435844648.44158,26525193947.437885,26.39365060381319,0.0005848431587219239
0.1,10,50,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9190312500000001,0.05445491189354886,517995260251.3811,1220429216150.2063,31.741396192551854,0.00035996675491333007
0.1,10,50,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.91311875,0.038057723922857535,101996822478.69983,82807126844.52414,27.809388098371947,0.0032942283153533937
0.1,10,50,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9045156249999999,0.03730410714362818,13499557343551.33,15531603906747.596,19.846999315040648,7.000207901000977e-05
0.1,10,100,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.8230531249999999,0.036296116129550623,24996098268.18561,8765534191.112417,24.70330618766047,0.001140758991241455
0.1,10,100,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9010812500000001,0.04178664880712676,95216671070.07469,81756739576.835,27.3488965289651,0.000325239896774292
0.1,10,100,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9058875000000001,0.027528491407920994,62748196405.04,27557232906.612953,26.495859283993944,0.003884540796279907
0.1,10,100,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9018375000000001,0.030610648108757695,10270246629988.33,7014885064987.102,19.63191915619518,4.4971704483032227e-05
0.1,10,300,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.874053125,0.020217001300074425,36738088096.83375,8957259651.488213,24.95893824294025,0.003803303241729736
0.1,10,300,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.89886875,0.02645828395582251,55457864822.08451,22440955820.067818,26.10052486432648,0.0004000556468963623
0.1,10,300,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.8999812500000001,0.0202899744641604,48513052767.58408,13138497166.508018,25.702096131904774,0.004756292104721069
0.1,10,300,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.899590625,0.018610620724552426,8233213670485.291,2945586094123.727,19.413341124029706,5.4993629455566405e-05
0.1,10,500,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.886971875,0.015599425993156104,40286325847.99251,7600231402.856643,25.34586471974916,0.0075712502002716064
0.1,10,500,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.901525,0.0221270599926786,52226176648.939606,16095697256.705914,25.822420809920825,0.0004547905921936035
0.1,10,500,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9018906250000001,0.015361718726939495,47430239697.13837,9641603314.496103,25.838161437063132,0.005723649263381958
0.1,10,500,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9016625,0.015582724215292046,8385528934395.058,2402547122364.141,19.559685216042368,5.48100471496582e-05
0.1,10,30,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,200,0.746775,0.07479159802024626,16097199160.53625,12342329384.53005,24.201674571067002,0.0005354654788970948
0.1,10,30,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,200,0.935215625,0.05889528163382883,8290300518317.249,42736999478236.984,36.007859999637915,0.0003102314472198486
0.1,10,30,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,200,0.913634375,0.05039000991746069,153232579455.19766,221236750643.28525,29.048238891945704,0.002816368341445923
0.1,10,30,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,200,0.905240625,0.05080479339238164,17639706679138.29,27896064053303.58,19.757235158414886,6.507515907287597e-05
0.1,10,50,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,200,0.8394499999999999,0.05015164503782505,38693351967.61725,31225589739.46505,26.100324226418792,0.0006198155879974366
0.1,10,50,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,200,0.9231374999999999,0.05063242314830831,499542768030.09515,1296926067582.1567,31.140620907916,0.00041484594345092774
0.1,10,50,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,200,0.9088437500000001,0.03829351760927638,81529620086.53134,64626559920.17153,26.958917572731742,0.0032149171829223633
0.1,10,50,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,200,0.907228125,0.03585266655851634,13291018909735.016,18236663045718.168,19.58494138668835,5.507349967956543e-05
0.1,10,100,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,200,0.8339093750000001,0.039201004326232525,24521108105.238903,11809632052.236473,24.58412024288117,0.001077406406402588
0.1,10,100,Point_CHR,Gaussian,0.3,equicorrelated,absolute_residual,200,0.895328125,0.045683536032486954,74617556022.31102,55564522736.923904,27.028244491070303,0.00039606928825378416
0.1,10,100,TSCP_R,Gaussian,0.3,equicorrelated,absolute_residual,200,0.900865625,0.030399008331226614,52972087690.912735,26355737496.55296,26.00130279830601,0.003719191551208496
0.1,10,100,Unscaled,Gaussian,0.3,equicorrelated,absolute_residual,200,0.89940625,0.030580757833741302,8515606703313.7,5478289500098.733,19.374195886371286,4.999160766601563e-05
0.1,10,300,Empirical_copula,Gaussian,0.3,equicorrelated,absolute_residual,200,0.8859625,0.019716290168029824,36749396040.471634,10278468846.297731,25.092392072610274,0.00383111834526062
