alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,20,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,200,15.090249257303476,3.4043085389549494,14.640685614549897
0.1,10,20,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,200,12.82534399188371,2.875848005667023,12.691879461442888
0.1,10,20,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,200,10.7405258492042,2.3839369849712333,10.454128391832606
0.1,10,20,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,200,8.682563799152998,1.8053562352532824,8.56427836122265
0.1,10,20,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,200,6.343844464145478,1.3439103655716493,6.222929175434145
0.1,10,20,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,200,4.328192470108246,1.0246439363593896,4.175027923596383
0.1,10,20,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,200,2.1696423768015958,0.4394315180425969,2.128506050796374
0.1,10,20,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,200,35.810182504987786,13.205680797376703,33.15966807676403
0.1,10,20,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,200,31.565256921849937,11.745096938767288,29.93397800916282
0.1,10,20,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,200,27.763860548487383,9.651907930806944,26.519571948877335
0.1,10,20,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,200,24.15251636829976,8.653725552268327,22.254638814728203
0.1,10,20,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,200,20.330712625986898,7.442938087239027,19.163800305826534
0.1,10,20,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,200,16.969379411134952,6.517048626873608,15.646680105600645
0.1,10,20,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,200,14.056910958985089,5.789096628198824,12.784533840361995
0.1,10,20,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,200,10.760451002439327,3.6694292712825756,9.927832651660456
0.1,10,20,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,200,6.76677936284476,2.3732237284089863,6.440948482950463
0.1,10,20,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,200,3.4074768054711875,1.0864903898619278,3.225192901733366
0.1,10,20,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,200,30.66747882435036,6.61174418482291,29.708026502798443
0.1,10,20,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,200,27.750453720035697,5.855300053116285,27.247687229893756
0.1,10,20,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,200,24.08819949808308,5.233796181148579,23.608357049647633
0.1,10,20,TSCP_R,Gaussian,4,0.0,equicorrelated,absolute_residual,200,21.055582586132264,4.671920716343029,20.427443337372488
0.1,10,20,TSCP_R,Gaussian,5,0.0,equicorrelated,absolute_residual,200,18.064643610786558,3.9978542261581005,17.874572176411426
0.1,10,20,TSCP_R,Gaussian,6,0.0,equicorrelated,absolute_residual,200,15.219967790675959,3.467015778927095,14.844653227296293
0.1,10,20,TSCP_R,Gaussian,7,0.0,equicorrelated,absolute_residual,200,12.108921862062287,2.4633492695938277,11.75353384780161
0.1,10,20,TSCP_R,Gaussian,8,0.0,equicorrelated,absolute_residual,200,9.057905910484166,1.9811508081421518,8.917400942583036
0.1,10,20,TSCP_R,Gaussian,9,0.0,equicorrelated,absolute_residual,200,6.0785421558329755,1.3698575440243639,5.875946095811301
0.1,10,20,TSCP_R,Gaussian,10,0.0,equicorrelated,absolute_residual,200,3.055512974434359,0.6404307476150198,3.02107265141368
0.1,10,20,Unscaled,Gaussian,1,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,2,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,3,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,4,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,5,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,6,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,7,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,8,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,9,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,20,Unscaled,Gaussian,10,0.0,equicorrelated,absolute_residual,200,20.38286270511037,2.787838696747907,20.09694216793312
0.1,10,30,Empirical_copula,Gaussian,1,0.0,equicorrelated,absolute_residual,200,22.92354185327903,4.300190847004989,22.802685463107398
0.1,10,30,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,200,21.017749819123956,3.806658757765464,20.770894368367443
0.1,10,30,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,200,18.36230062607833,4.006633616987763,17.615571278534034
0.1,10,30,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,200,16.326514422762976,3.102625851392368,16.36778485266266
0.1,10,30,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,200,14.037698141118225,2.478289609296025,13.890692600491175
