alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,200,2.426632026303844,0.27452549353083117,2.408149508928202,1
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,200,2.4329856886356755,0.2505210088731501,2.387475200799363,1
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,200,2.4306105375120115,0.2779353707147083,2.4209467578882786,1
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,200,2.424002295142038,0.28138043630369486,2.3806784090027815,1
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,200,2.401885863477251,0.25874516195924896,2.3801288502520874,1
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,200,2.415102478267728,0.29067983094231775,2.3766347177943086,1
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,200,2.4256182487072606,0.3115078091326575,2.3916488618579423,1
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,200,2.43726027588725,0.2864049031439818,2.397887245724869,1
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,200,2.429280246498595,0.3133815114384441,2.3765328697769252,1
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,200,2.432335577182991,0.28167516664775777,2.387080204656253,1
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,200,2.7438936328725507,0.3833354577025685,2.726322589297049,1
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,200,2.7268310239041806,0.35281694644315276,2.7433147178578094,1
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,200,2.741704920784541,0.3721415260024227,2.7524506184017197,1
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,200,2.7034883169181687,0.3931088151093087,2.66568140950452,1
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,200,2.7118809817912553,0.35475271516114243,2.649890085141611,1
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,200,2.750329326936585,0.3811525193695836,2.7371873552268857,1
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,200,2.7501539288744383,0.36678478057107816,2.7412729891181407,1
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,200,2.7486549920738037,0.3627218725469246,2.727325425088284,1
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,200,2.7029408291478516,0.3668182627639788,2.6814613186296232,1
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,200,2.6944523172586456,0.3865209108668507,2.6220804364047305,1
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,200,2.6433994540518904,0.2187196892369157,2.6420740639858895,1
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,200,2.6509758726343695,0.20510648754885424,2.654432138690092,1
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,200,2.663623838797678,0.23074453767248093,2.671226594585481,1
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,200,2.651702379287901,0.22718268250835505,2.646950798720818,1
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,200,2.6173040459646972,0.21655948942419276,2.63000608083918,1
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,200,2.6366473193118924,0.21209046375406157,2.6254635521326843,1
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,200,2.623395615686933,0.23064290905481144,2.6190578216716816,1
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,200,2.6737294075944185,0.23657364117063337,2.660869953553406,1
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,200,2.6409493014288485,0.23950640183961155,2.6307551656357218,1
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,200,2.629627878697782,0.23839663387160712,2.604275976188286,1
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,200,2.5885730397136983,0.1255527419681778,2.5876357312032523,1
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,200,4.853264052607686,0.5490509870616618,4.816299017856441,2
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,200,4.505279848929306,0.46390213402470065,4.421005829266321,2
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,200,4.16725251588289,0.4765168483344431,4.1506840820147595,2
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,200,3.8478637932818014,0.4466636005917564,3.7790914108490288,2
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,200,3.5301345000616755,0.3802866892409448,3.498157467275745,2
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,200,3.2864473018230793,0.39555420719868567,3.2341007580417447,2
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,200,3.0560874905554147,0.3924752459328676,3.0132887450119226,2
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,200,2.8431348888277745,0.3340996365944405,2.797205105767257,2
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,200,2.6237677887295088,0.33847075341788335,2.5667974708002386,2
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,200,2.432335577182991,0.28167516664775777,2.387080204656253,2
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,200,5.487787265745112,0.7666709154051329,5.452645178594095,2
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,200,5.0494077794266845,0.6533285775562713,5.079931450220211,2
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,200,4.700620092202419,0.6380321678706771,4.719043461450286,2
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,200,4.29152019825964,0.6240213466424895,4.23150547365953,2
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,200,3.985745017884824,0.5213923017007509,3.8946348588717443,2
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,200,3.7426206452816375,0.5186685368993986,3.7247371815964563,2
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,200,3.464976825439998,0.46211986582258185,3.453787542498163,2
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,200,3.2063858680299564,0.4231255976154126,3.1815043087398047,2
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,200,2.9193375661707837,0.39618563710179405,2.896138411648957,2
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,200,2.6944523172586488,0.38652091086685153,2.6220804364047092,2
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,200,5.28679890810378,0.43743937847382885,5.284148127971799,2
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,200,4.908943046711791,0.3798058202951054,4.915343185391641,2
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,200,4.566751016786623,0.395608732991896,4.579785850090996,2
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,200,4.209315146388189,0.3606300292027185,4.201772482397509,2
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,200,3.8467420331267954,0.3182849512363287,3.865410651903889,2
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,200,3.5879233061062,0.28861058220887276,3.572704547564455,2
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,200,3.3052713584058866,0.2905918561271438,3.2998060804159666,2
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,200,3.1189829979275356,0.2759700224238039,3.103982071355592,2
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,200,2.852383012929059,0.25868122183392483,2.841372737286126,2
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,200,2.6296278786977805,0.23839663387160714,2.6042759761882897,2
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,200,4.155255809276012,0.2198723767749505,4.140722788160256,2
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,200,12.133160131519208,1.3726274676541523,12.040747544641139,5
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,200,10.172933952045454,1.047492259724497,9.982642990184665,5
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,200,8.4988216018044,0.9718229622066681,8.465031433550902,5
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,200,7.087825708464019,0.8227613869380823,6.961145896904549,5
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,200,5.873122173038787,0.6326869944058757,5.819921644764355,5
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,200,4.93842996151974,0.5943855381924312,4.859770632326066,5
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,200,4.147748861109466,0.5326708608187979,4.089662026673778,5
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,200,3.4852070009171894,0.409550175420245,3.4289047825095675,5
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,200,2.9049653233166044,0.3747457400229396,2.8418893153124873,5
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,200,2.432335577182991,0.28167516664775777,2.387080204656253,5
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,200,13.719468164362773,1.916677288512834,13.631612946485312,5
