alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.1,10,10,11,Empirical_copula,Gaussian,absolute_residual,0.286875,560014241.3329835,25.013127576884386,0.0009984970092773438,0.0,equicorrelated
0.1,10,10,12,TSCP_R,Gaussian,absolute_residual,0.9625,845801368241.4637,41.922145197233036,0.001998424530029297,0.0,equicorrelated
0.1,10,10,12,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,12,Unscaled,Gaussian,absolute_residual,0.994375,509938064759657.9,29.563220535897887,0.0,0.0,equicorrelated
0.1,10,10,12,Empirical_copula,Gaussian,absolute_residual,0.38,1496839231.2182958,29.563220535854,0.0009999275207519531,0.0,equicorrelated
0.1,10,10,13,TSCP_R,Gaussian,absolute_residual,0.955625,2571533424859.555,48.38420091051316,0.0020112991333007812,0.0,equicorrelated
0.1,10,10,13,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,13,Unscaled,Gaussian,absolute_residual,0.978125,62839749475310.02,23.978579099061957,0.0,0.0,equicorrelated
0.1,10,10,13,Empirical_copula,Gaussian,absolute_residual,0.323125,1393094138.5870385,23.978579098985843,0.0009968280792236328,0.0,equicorrelated
0.1,10,10,14,TSCP_R,Gaussian,absolute_residual,0.939375,517298649283.1647,31.917475074017872,0.0019989013671875,0.0,equicorrelated
0.1,10,10,14,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0,0.0,equicorrelated
0.1,10,10,14,Unscaled,Gaussian,absolute_residual,0.8525,3342242293914.0093,17.88149366048819,0.0,0.0,equicorrelated
0.1,10,10,14,Empirical_copula,Gaussian,absolute_residual,0.46375,2342150955.39187,17.88149366044315,0.0,0.0,equicorrelated
0.1,10,10,15,TSCP_R,Gaussian,absolute_residual,0.950625,706812192506.9908,35.02200028666226,0.0015151500701904297,0.0,equicorrelated
0.1,10,10,15,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010106563568115234,0.0,equicorrelated
0.1,10,10,15,Unscaled,Gaussian,absolute_residual,0.9475,29285655140374.25,22.21598095282652,0.0,0.0,equicorrelated
0.1,10,10,15,Empirical_copula,Gaussian,absolute_residual,0.45625,1904147097.0515704,22.21598095272896,0.0,0.0,equicorrelated
0.1,10,10,16,TSCP_R,Gaussian,absolute_residual,0.969375,1424207050597.8962,41.316543371844595,0.0015168190002441406,0.0,equicorrelated
0.1,10,10,16,Point_CHR,Gaussian,absolute_residual,1.0,inf,inf,0.0010023117065429688,0.0,equicorrelated
0.1,10,10,16,Unscaled,Gaussian,absolute_residual,0.97875,99802509904286.28,25.113899174030955,0.0,0.0,equicorrelated
