alpha,n_dim,n_cal,method,noise_type,correlation,correlation_structure,score_type,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,10,10,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.395359375,0.11946512451910894,2116058607.1219418,2078213510.0507073,20.877757067056134,0.00029993295669555664
0.1,10,10,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,1.0,0.0,inf,,inf,0.0003703474998474121
0.1,10,10,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9357968750000001,0.08916208864966786,30068636776318.137,123759556925112.6,40.9955997162685,0.001952749490737915
0.1,10,10,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9086624999999999,0.07864703825882077,118275856543593.05,471818658971601.75,20.87775706713837,5.0100088119506834e-05
0.1,10,20,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.612853125,0.09832895532029862,8119620666.379662,6893140608.104195,23.27818877116234,0.00043509721755981447
0.1,10,20,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9012656250000001,0.08901978858818867,10304698633027.188,60235427194680.34,37.423015120568785,0.00042599081993103025
0.1,10,20,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9174500000000001,0.07199999672843377,554288627848.0409,1381303332611.991,31.18642686737514,0.002494776248931885
0.1,10,20,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9033312499999999,0.06321674790564863,29124539812889.0,60029301637383.766,20.09694216793312,3.002166748046875e-05
0.1,10,30,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.724184375,0.07606256819478495,16053026130.602564,11117038920.909542,24.54775721744616,0.0005501890182495117
0.1,10,30,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9412718750000001,0.05381209810882443,3002317033255.612,8406988228794.683,37.20771269611854,0.00033226609230041504
0.1,10,30,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9145062500000001,0.05450542068554318,170074144848.4311,194534843998.52545,28.90250741915244,0.002828481197357178
0.1,10,30,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.901428125,0.0519785352597408,16575749832512.672,19684327469057.27,19.719591372992795,4.509687423706055e-05
0.1,10,50,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.827746875,0.04796236294906315,38435844648.44158,26525193947.437885,26.39365060381319,0.0006394457817077637
0.1,10,50,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9190312500000001,0.05445491189354886,517995260251.3811,1220429216150.2063,31.741396192551854,0.0003998696804046631
0.1,10,50,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.91311875,0.038057723922857535,101996822478.69983,82807126844.52414,27.809388098371947,0.003340020179748535
0.1,10,50,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9045156249999999,0.03730410714362818,13499557343551.33,15531603906747.596,19.846999315040648,5.0117969512939455e-05
0.1,10,100,Empirical_copula,Gaussian,0.0,equicorrelated,absolute_residual,200,0.8230531249999999,0.036296116129550623,24996098268.18561,8765534191.112417,24.70330618766047,0.0011113381385803223
0.1,10,100,Point_CHR,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9010812500000001,0.04178664880712676,95216671070.07469,81756739576.835,27.3488965289651,0.0003102874755859375
0.1,10,100,TSCP_R,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9058875000000001,0.027528491407920994,62748196405.04,27557232906.612953,26.495859283993944,0.003780773878097534
0.1,10,100,Unscaled,Gaussian,0.0,equicorrelated,absolute_residual,200,0.9018375000000001,0.030610648108757695,10270246629988.33,7014885064987.102,19.63191915619518,7.00533390045166e-05
