alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,correlation,correlation_structure
0.05,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.929375,43444149093.95411,25.808016231664457,0.0010063648223876953,0.6,equicorrelated
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,0.90875,22023819737.947727,23.46917722969836,0.004002571105957031,0.6,equicorrelated
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,0.880625,20456692985.135246,23.083210590088772,0.000990152359008789,0.6,equicorrelated
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,0.914375,6206440608741.974,19.023230070867626,0.0,0.6,equicorrelated
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.886875,19260954827.222054,22.709553935474982,0.0010066032409667969,0.6,equicorrelated
0.2,10,100,3,TSCP_R,Gaussian,absolute_residual,0.829375,6947873369.110078,20.919610018733913,0.0030291080474853516,0.6,equicorrelated
0.2,10,100,3,Point_CHR,Gaussian,absolute_residual,0.8125,7978159470.302188,20.471982676607087,0.0,0.6,equicorrelated
0.2,10,100,3,Unscaled,Gaussian,absolute_residual,0.86125,1921312596273.4023,16.91842003426117,0.0,0.6,equicorrelated
0.2,10,100,3,Empirical_copula,Gaussian,absolute_residual,0.806875,5717894467.718684,21.2007710970544,0.0010097026824951172,0.6,equicorrelated
0.05,10,100,4,TSCP_R,Gaussian,absolute_residual,0.965625,142843514145.59207,30.085366627139386,0.004271745681762695,0.6,equicorrelated
0.05,10,100,4,Point_CHR,Gaussian,absolute_residual,0.949375,76685910051.03308,26.71241886343964,0.0,0.6,equicorrelated
0.05,10,100,4,Unscaled,Gaussian,absolute_residual,0.956875,30780786841572.926,22.32687658394913,0.0,0.6,equicorrelated
0.05,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.948125,78646323301.28421,26.263854427169566,0.0020051002502441406,0.6,equicorrelated
0.1,10,100,4,TSCP_R,Gaussian,absolute_residual,0.9075,29186508742.00904,25.603311000053296,0.00298309326171875,0.6,equicorrelated
0.1,10,100,4,Point_CHR,Gaussian,absolute_residual,0.928125,55002223587.21891,24.062306618406602,0.0010051727294921875,0.6,equicorrelated
0.1,10,100,4,Unscaled,Gaussian,absolute_residual,0.92,9681682258831.766,19.888181859693944,0.0,0.6,equicorrelated
0.1,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.8875,24131115265.855694,25.202605039199106,0.0010061264038085938,0.6,equicorrelated
0.2,10,100,4,TSCP_R,Gaussian,absolute_residual,0.835625,9191420615.718687,22.76912507705932,0.0029926300048828125,0.6,equicorrelated
0.2,10,100,4,Point_CHR,Gaussian,absolute_residual,0.844375,14171854554.545706,19.790422783505665,0.0,0.6,equicorrelated
0.2,10,100,4,Unscaled,Gaussian,absolute_residual,0.855,2482419943201.2285,17.357514037769437,0.0,0.6,equicorrelated
0.2,10,100,4,Empirical_copula,Gaussian,absolute_residual,0.83125,9482367569.812536,22.326876583948394,0.0,0.6,equicorrelated
0.05,10,100,5,TSCP_R,Gaussian,absolute_residual,0.88375,20772652158.556847,28.35472484688234,0.003998279571533203,0.6,equicorrelated
0.05,10,100,5,Point_CHR,Gaussian,absolute_residual,0.885,30881476710.361526,32.158692628161866,0.0010066032409667969,0.6,equicorrelated
0.05,10,100,5,Unscaled,Gaussian,absolute_residual,0.974375,62470484288722.22,23.9644511685508,0.0,0.6,equicorrelated
0.05,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.84375,12798255764.486336,28.627284978757256,0.0009949207305908203,0.6,equicorrelated
0.1,10,100,5,TSCP_R,Gaussian,absolute_residual,0.848125,12401541966.333452,26.758891677651256,0.0040073394775390625,0.6,equicorrelated
0.1,10,100,5,Point_CHR,Gaussian,absolute_residual,0.78125,6314950036.38411,26.385449630789978,0.0,0.6,equicorrelated
0.1,10,100,5,Unscaled,Gaussian,absolute_residual,0.949375,16141405560937.92,20.93120036146305,0.0,0.6,equicorrelated
0.1,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.84375,12798255764.486336,28.627284978757256,0.0009906291961669922,0.6,equicorrelated
0.2,10,100,5,TSCP_R,Gaussian,absolute_residual,0.763125,4081681140.5478735,23.863897994200514,0.002992868423461914,0.6,equicorrelated
0.2,10,100,5,Point_CHR,Gaussian,absolute_residual,0.7675,3803145676.2672915,19.85575202657527,0.0,0.6,equicorrelated
0.2,10,100,5,Unscaled,Gaussian,absolute_residual,0.835,1257909645526.1746,16.216791937790532,0.0,0.6,equicorrelated
0.2,10,100,5,Empirical_copula,Gaussian,absolute_residual,0.718125,3636093191.214761,26.07796102987982,0.0010075569152832031,0.6,equicorrelated
0.05,10,100,6,TSCP_R,Gaussian,absolute_residual,0.959375,120913077603.30367,29.062020451552065,0.004004240036010742,0.6,equicorrelated
0.05,10,100,6,Point_CHR,Gaussian,absolute_residual,0.968125,240791507913.61942,28.221690446364423,0.0,0.6,equicorrelated
0.05,10,100,6,Unscaled,Gaussian,absolute_residual,0.956875,33865968025219.664,22.541164552193536,0.0,0.6,equicorrelated
0.05,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.940625,77957504542.36087,28.240999383460764,0.0010094642639160156,0.6,equicorrelated
0.1,10,100,6,TSCP_R,Gaussian,absolute_residual,0.92125,46033818846.17452,26.570250376924072,0.003991365432739258,0.6,equicorrelated
0.1,10,100,6,Point_CHR,Gaussian,absolute_residual,0.92375,73168122402.75046,27.596495969560188,0.0,0.6,equicorrelated
0.1,10,100,6,Unscaled,Gaussian,absolute_residual,0.90875,7589439215749.095,19.409795901389007,0.0,0.6,equicorrelated
0.1,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.876875,22113764676.4706,23.880660887882932,0.0009999275207519531,0.6,equicorrelated
0.2,10,100,6,TSCP_R,Gaussian,absolute_residual,0.8325,9705512544.120306,22.671211566042913,0.003998517990112305,0.6,equicorrelated
0.2,10,100,6,Point_CHR,Gaussian,absolute_residual,0.798125,7341943912.454147,22.825065333537403,0.0,0.6,equicorrelated
0.2,10,100,6,Unscaled,Gaussian,absolute_residual,0.843125,1822660493789.1826,16.829475378974703,0.0,0.6,equicorrelated
0.2,10,100,6,Empirical_copula,Gaussian,absolute_residual,0.83875,10410792707.935175,22.541164552108196,0.0010073184967041016,0.6,equicorrelated
0.05,10,100,7,TSCP_R,Gaussian,absolute_residual,0.935625,56955179107.18522,25.34294987930507,0.0039980411529541016,0.6,equicorrelated
0.05,10,100,7,Point_CHR,Gaussian,absolute_residual,0.9675,390680077120.18274,40.03163902500698,0.0,0.6,equicorrelated
0.05,10,100,7,Unscaled,Gaussian,absolute_residual,0.96,29307233642804.08,22.217617346886794,0.0,0.6,equicorrelated
0.05,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.914375,37512503528.81661,28.36228824685972,0.0010073184967041016,0.6,equicorrelated
0.1,10,100,7,TSCP_R,Gaussian,absolute_residual,0.91625,32450224272.695267,23.984390598623612,0.004449129104614258,0.6,equicorrelated
0.1,10,100,7,Point_CHR,Gaussian,absolute_residual,0.918125,37204086651.161064,23.33228371230849,0.0009937286376953125,0.6,equicorrelated
0.1,10,100,7,Unscaled,Gaussian,absolute_residual,0.9025,4862197450657.146,18.56450009899693,0.0,0.6,equicorrelated
0.1,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.8675,15813896684.048456,22.43325504793136,0.0010068416595458984,0.6,equicorrelated
0.2,10,100,7,TSCP_R,Gaussian,absolute_residual,0.83875,9040794746.085203,21.03419482339497,0.003994464874267578,0.6,equicorrelated
0.2,10,100,7,Point_CHR,Gaussian,absolute_residual,0.855625,15158907354.597042,19.2971042976781,0.0,0.6,equicorrelated
0.2,10,100,7,Unscaled,Gaussian,absolute_residual,0.756875,410429400831.1596,14.498525821407672,0.0,0.6,equicorrelated
0.2,10,100,7,Empirical_copula,Gaussian,absolute_residual,0.759375,3906954834.4607353,20.301850356257372,0.001001119613647461,0.6,equicorrelated
0.05,10,100,8,TSCP_R,Gaussian,absolute_residual,0.955,127114083565.99364,26.790621397405513,0.0039980411529541016,0.6,equicorrelated
0.05,10,100,8,Point_CHR,Gaussian,absolute_residual,0.959375,323935383094.264,28.234836141371467,0.0,0.6,equicorrelated
0.05,10,100,8,Unscaled,Gaussian,absolute_residual,0.87875,4211729419893.322,18.299787482184378,0.0,0.6,equicorrelated
0.05,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.925625,72148761060.12369,34.988678425988375,0.0009942054748535156,0.6,equicorrelated
0.1,10,100,8,TSCP_R,Gaussian,absolute_residual,0.909375,35129155043.49347,23.34667311789872,0.003999948501586914,0.6,equicorrelated
0.1,10,100,8,Point_CHR,Gaussian,absolute_residual,0.905,48917583464.09422,25.52103776009433,0.0,0.6,equicorrelated
0.1,10,100,8,Unscaled,Gaussian,absolute_residual,0.8475,2281750081684.489,17.211820470101294,0.0,0.6,equicorrelated
0.1,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.854375,18158602354.09401,20.57812105909707,0.0010061264038085938,0.6,equicorrelated
0.2,10,100,8,TSCP_R,Gaussian,absolute_residual,0.851875,12431866937.906462,21.11067116982906,0.0029973983764648438,0.6,equicorrelated
0.2,10,100,8,Point_CHR,Gaussian,absolute_residual,0.82,11142410979.193853,21.364777816323162,0.0,0.6,equicorrelated
0.2,10,100,8,Unscaled,Gaussian,absolute_residual,0.773125,580505344301.7686,15.009997580335863,0.001008749008178711,0.6,equicorrelated
0.2,10,100,8,Empirical_copula,Gaussian,absolute_residual,0.80375,8568678335.459536,18.063546241948277,0.0009996891021728516,0.6,equicorrelated
