alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,noise_ratio
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,5,2.209228008110653,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,6,2.7852705235185145,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,7,2.566447025099823,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,8,2.681095525787619,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,9,2.0699267287541208,1
0.1,10,100,1,Empirical_copula,Gaussian,absolute_residual,10,2.2602568667730907,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,1,2.634471217143028,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,2,2.732588423509804,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,3,2.735734498614,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,4,2.440905977155329,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,5,2.7916657879176894,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,6,2.8530651781979386,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,7,2.389287060903511,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,8,2.8082352721838717,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,9,2.6201032547010903,1
0.1,10,100,2,TSCP_R,Gaussian,absolute_residual,10,2.6238564244711555,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,1,3.073576398884453,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,2,2.453000623184367,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,3,3.2301932073925688,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,4,2.440797483988893,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,5,3.2584363937566643,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,6,3.30042355841523,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,7,2.4075215167311415,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,8,3.2004001493893823,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,9,2.5511573322551033,1
0.1,10,100,2,Point_CHR,Gaussian,absolute_residual,10,2.4849239997773225,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,1,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,2,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,3,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,4,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,5,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,6,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,7,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,8,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,9,2.6648735527010765,1
0.1,10,100,2,Unscaled,Gaussian,absolute_residual,10,2.6648735527010765,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,1,2.2101818197688474,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,2,2.2481518525067443,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,3,2.338216664746909,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,4,2.0659501500209885,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,5,2.7532079446602253,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,6,2.735912251397668,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,7,2.166864762482963,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,8,2.291843561107802,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,9,2.7246713933276956,1
0.1,10,100,2,Empirical_copula,Gaussian,absolute_residual,10,2.4849239997773225,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,1,2.367303417907563,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,2,2.5406829563809605,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,3,2.453182974548632,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,4,2.4856903310644074,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,5,2.298426061589929,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,6,2.603646946840075,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,7,2.625565470313789,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,8,2.4905472576833603,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,9,2.7917551615874774,1
0.1,10,100,3,TSCP_R,Gaussian,absolute_residual,10,2.9367075694909905,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,1,2.305393964226406,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,2,2.0877355266219584,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,3,2.7160983013542297,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,4,2.6673824179996704,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,5,2.0217086951003287,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,6,2.6886306642255424,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,7,2.5787656534299517,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,8,2.501462402160913,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,9,2.3217559553254965,1
0.1,10,100,3,Point_CHR,Gaussian,absolute_residual,10,2.9900729469418015,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,1,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,2,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,3,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,4,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,5,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,6,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,7,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,8,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,9,2.4932762655997425,1
0.1,10,100,3,Unscaled,Gaussian,absolute_residual,10,2.4932762655997425,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,1,1.843111289300417,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,2,2.2332907678306384,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,3,2.050421328567438,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,4,2.192997249359898,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,5,2.2970091103401504,1
0.1,10,100,3,Empirical_copula,Gaussian,absolute_residual,6,2.2974125587151586,1
