alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,coordinate_base_length_avg,coordinate_adjustment_avg
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.5,0.0,True,2400,600,30,29.028439783274912,2.82942528331845,29.5432803757856,5.94839163563017,11.540024073822371
0.1,3,100,CQHR,Gaussian,1,cqr,native,0.3,0.0,True,2400,600,30,40.81410552039089,3.079894513360885,40.59747794011876,17.284342850092123,11.764881335149445
0.1,3,100,CQHR,Gaussian,2,cqr,native,0.3,0.0,True,2400,600,30,44.71034999813264,3.455358825028271,44.71148645251793,17.976582842876578,13.366883577628025
0.1,3,100,CQHR,Gaussian,3,cqr,native,0.3,0.0,True,2400,600,30,24.86018735221937,2.0346682448639988,24.794151309911072,10.059318716068029,7.400434318075671
0.1,3,100,Empirical_copula,Gaussian,1,cqr,raw,0.3,0.0,True,2400,600,30,38.2955197029314,3.6868926805223365,37.917061780850034,17.284342850092123,10.50558842641964
0.1,3,100,Empirical_copula,Gaussian,2,cqr,raw,0.3,0.0,True,2400,600,30,38.73061413614876,3.7372661662114477,38.08349213167318,17.976582842876578,10.37701564663609
0.1,3,100,Empirical_copula,Gaussian,3,cqr,raw,0.3,0.0,True,2400,600,30,22.012011433747247,2.010306908306096,21.71797736923498,10.059318716068029,5.976346358839608
0.1,3,100,TSCP_R,Gaussian,1,cqr,capped,0.3,0.0,True,2400,600,30,39.101165673652034,3.4920558570605458,39.780379758752034,17.284342850092123,10.908411411779955
0.1,3,100,TSCP_R,Gaussian,2,cqr,capped,0.3,0.0,True,2400,600,30,40.297896627855835,3.6269079399828703,39.58576810439619,17.976582842876578,11.160656892489623
0.1,3,100,TSCP_R,Gaussian,3,cqr,capped,0.3,0.0,True,2400,600,30,22.65772959177742,2.0139521120592994,22.033131559816226,10.059318716068029,6.299205437854696
0.1,3,100,Unscaled,Gaussian,1,cqr,raw,0.3,0.0,True,2400,600,30,36.92696369048194,2.210028817972897,36.723467536916246,17.284342850092123,9.821310420194912
0.1,3,100,Unscaled,Gaussian,2,cqr,raw,0.3,0.0,True,2400,600,30,37.619203683266406,2.155694869664377,37.36888463580087,17.976582842876578,9.821310420194912
0.1,3,100,Unscaled,Gaussian,3,cqr,raw,0.3,0.0,True,2400,600,30,29.70193955645785,2.2094702947768097,29.31120495335571,10.059318716068029,9.821310420194912
