alpha,n_dim,n_cal,trial,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,coordinate,coordinate_base_length,coordinate_adjustment,coordinate_length,redraw_train_test,n_train,n_test
0.1,3,100,3,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.462497375896817,122.32972878388134,246.12195494365938,True,2400,600
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.3128277528005725,16.33279249094692,34.978412734694395,True,2400,600
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.6539198276088176,13.23092337611247,29.115766579833743,True,2400,600
0.1,3,100,3,TSCP_R,Gaussian,cqr,capped,0.9,0.0,3,1.462497375896817,9.352442916173647,20.167383208244132,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,1,2.3128277528005725,13.163428168166208,28.63968408913297,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,2,2.6539198276088176,13.163428168166208,28.980776163941247,True,2400,600
0.1,3,100,3,Unscaled,Gaussian,cqr,raw,0.9,0.0,3,1.462497375896817,13.163428168166208,27.78935371222923,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,1,2.3128277528005725,14.70791420885605,31.728656170512714,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,2,2.6539198276088176,13.163428168122493,28.980776163853825,True,2400,600
0.1,3,100,3,Empirical_copula,Gaussian,cqr,raw,0.9,0.0,3,1.462497375896817,9.305436155923216,20.07336968774322,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,1,2.3690161876850437,67.57511879290472,137.51925377349284,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,2,2.55451763309356,315.31197978614176,633.1784772053772,True,2400,600
0.1,3,100,4,CQHR,Gaussian,cqr,native,0.9,0.0,3,1.4495372901631884,173.59101254019544,348.6315623705537,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,1,2.3690161876850437,15.686069669045583,33.74115552577618,True,2400,600
0.1,3,100,4,TSCP_R,Gaussian,cqr,capped,0.9,0.0,2,2.55451763309356,15.061950681987563,32.67841899706869,True,2400,600
