alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,2,30,9,Unscaled,Gaussian,absolute_residual,1,3.3520561963660653,True,2400,600
0.1,2,30,9,Unscaled,Gaussian,absolute_residual,2,3.3520561963660653,True,2400,600
0.1,2,30,10,TSCP_R,Gaussian,absolute_residual,1,4.559055850836706,True,2400,600
0.1,2,30,10,TSCP_R,Gaussian,absolute_residual,2,2.17477123642196,True,2400,600
0.1,2,30,10,Point_CHR,Gaussian,absolute_residual,1,5.682850016544168,True,2400,600
0.1,2,30,10,Point_CHR,Gaussian,absolute_residual,2,3.3437648272772877,True,2400,600
0.1,2,30,10,Unscaled,Gaussian,absolute_residual,1,3.228592342464399,True,2400,600
0.1,2,30,10,Unscaled,Gaussian,absolute_residual,2,3.228592342464399,True,2400,600
0.1,2,30,11,TSCP_R,Gaussian,absolute_residual,1,4.062830803446066,True,2400,600
0.1,2,30,11,TSCP_R,Gaussian,absolute_residual,2,2.5027246713050255,True,2400,600
0.1,2,30,11,Point_CHR,Gaussian,absolute_residual,1,3.675739748514358,True,2400,600
0.1,2,30,11,Point_CHR,Gaussian,absolute_residual,2,2.0811254376992974,True,2400,600
0.1,2,30,11,Unscaled,Gaussian,absolute_residual,1,3.233338185829084,True,2400,600
0.1,2,30,11,Unscaled,Gaussian,absolute_residual,2,3.233338185829084,True,2400,600
0.1,2,30,12,TSCP_R,Gaussian,absolute_residual,1,4.114357106120279,True,2400,600
0.1,2,30,12,TSCP_R,Gaussian,absolute_residual,2,2.1831470803892556,True,2400,600
0.1,2,30,12,Point_CHR,Gaussian,absolute_residual,1,4.3525835636554815,True,2400,600
0.1,2,30,12,Point_CHR,Gaussian,absolute_residual,2,3.6001415962549,True,2400,600
0.1,2,30,12,Unscaled,Gaussian,absolute_residual,1,2.782758907251264,True,2400,600
0.1,2,30,12,Unscaled,Gaussian,absolute_residual,2,2.782758907251264,True,2400,600
0.1,2,30,13,TSCP_R,Gaussian,absolute_residual,1,3.3017968689328603,True,2400,600
0.1,2,30,13,TSCP_R,Gaussian,absolute_residual,2,2.790422984512883,True,2400,600
0.1,2,30,13,Point_CHR,Gaussian,absolute_residual,1,5.126024572920013,True,2400,600
0.1,2,30,13,Point_CHR,Gaussian,absolute_residual,2,3.9245261126409776,True,2400,600
0.1,2,30,13,Unscaled,Gaussian,absolute_residual,1,3.2033060693962576,True,2400,600
0.1,2,30,13,Unscaled,Gaussian,absolute_residual,2,3.2033060693962576,True,2400,600
0.1,2,30,14,TSCP_R,Gaussian,absolute_residual,1,3.5850142512710184,True,2400,600
0.1,2,30,14,TSCP_R,Gaussian,absolute_residual,2,2.058080329748867,True,2400,600
0.1,2,30,14,Point_CHR,Gaussian,absolute_residual,1,4.087206893885542,True,2400,600
0.1,2,30,14,Point_CHR,Gaussian,absolute_residual,2,3.4349344715506205,True,2400,600
0.1,2,30,14,Unscaled,Gaussian,absolute_residual,1,2.944711235527069,True,2400,600
0.1,2,30,14,Unscaled,Gaussian,absolute_residual,2,2.944711235527069,True,2400,600
0.1,2,30,15,TSCP_R,Gaussian,absolute_residual,1,4.6018164386102685,True,2400,600
