alpha,n_dim,n_cal,method,noise_type,coordinate,correlation,correlation_structure,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median
0.1,10,50,Empirical_copula,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,22.36278916998507,3.876444635287872,21.657609226671738
0.1,10,50,Empirical_copula,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,20.219306633908797,3.51748321150694,19.862870577053982
0.1,10,50,Empirical_copula,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,17.679546035747595,3.180238056170192,17.43570726714095
0.1,10,50,Empirical_copula,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,14.96335183710254,2.682017133804785,14.538444637242165
0.1,10,50,Empirical_copula,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.596766168341478,2.183623259197603,12.426216029431771
0.1,10,50,Empirical_copula,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,9.985166111954841,1.6380410112806445,9.727422186412017
0.1,10,50,Empirical_copula,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,7.588404200185641,1.233966953580635,7.462784156170992
0.1,10,50,Empirical_copula,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,5.071143127752376,0.854838667580654,4.950795628653865
0.1,10,50,Empirical_copula,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,2.5194002298612954,0.4532099297129653,2.4170487650058803
0.1,10,50,Point_CHR,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,30.757754780110368,7.316612362890646,29.446177813598343
0.1,10,50,Point_CHR,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,27.066460215049336,5.940532157749908,26.009222068274624
0.1,10,50,Point_CHR,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,24.19646947256946,5.15144049602723,23.3069396071869
0.1,10,50,Point_CHR,Gaussian,4,0.0,equicorrelated,absolute_residual,True,7200,800,200,21.256411879556172,4.843858762448646,20.409648593305867
0.1,10,50,Point_CHR,Gaussian,5,0.0,equicorrelated,absolute_residual,True,7200,800,200,18.140988851952066,3.9522657446393303,17.69016567253896
0.1,10,50,Point_CHR,Gaussian,6,0.0,equicorrelated,absolute_residual,True,7200,800,200,15.17521606686377,3.231226794603049,14.743003104934534
0.1,10,50,Point_CHR,Gaussian,7,0.0,equicorrelated,absolute_residual,True,7200,800,200,12.442078491209074,2.7496002898519056,11.877607656669191
0.1,10,50,Point_CHR,Gaussian,8,0.0,equicorrelated,absolute_residual,True,7200,800,200,9.179500943574196,1.9853255918725092,8.826590161581336
0.1,10,50,Point_CHR,Gaussian,9,0.0,equicorrelated,absolute_residual,True,7200,800,200,6.155836567743526,1.403497421887413,5.949166164610963
0.1,10,50,Point_CHR,Gaussian,10,0.0,equicorrelated,absolute_residual,True,7200,800,200,3.0561614529344494,0.6782386407410494,2.992950189460318
0.1,10,50,TSCP_R,Gaussian,1,0.0,equicorrelated,absolute_residual,True,7200,800,200,27.378921434228513,3.247990362989457,27.162618931064436
0.1,10,50,TSCP_R,Gaussian,2,0.0,equicorrelated,absolute_residual,True,7200,800,200,24.43737197764558,2.7809828844768507,24.303405583591825
0.1,10,50,TSCP_R,Gaussian,3,0.0,equicorrelated,absolute_residual,True,7200,800,200,21.839462480778003,2.6899697355965966,21.74445021257543
