alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,noise_ratio
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,3.036601598288531,0.35474698528728305,2.9935354463247297,2
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,2.818720513319523,0.3098738860509702,2.807117093848527,2
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,2.5894900109075785,0.29647439555894556,2.5783303795895955,2
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,2.4092573894262497,0.2844193434531829,2.399163855793507,2
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,5.490976531065851,0.7598106956319847,5.417784354241027,2
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,5.0468446107647855,0.7270124636605515,4.955146234621691,2
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,4.770363227709707,0.6386418953630657,4.734217258290332,2
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,4.304791933063654,0.5475113077680513,4.289128809767527,2
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,4.03333998574559,0.5762081958230133,3.9675408962463434,2
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,3.732028036661805,0.47957162548853105,3.682958566432708,2
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,3.4151826709634965,0.47403732593701464,3.3797542373409595,2
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,3.1314552721094975,0.39771990277024477,3.0779828855191766,2
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,2.92671280534084,0.3908274679737074,2.8867848128864777,2
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,2.7327995845004667,0.3819571305945874,2.7054970341342535,2
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,5.280753247865138,0.46534731469543,5.246677476070886,2
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,4.929717843562298,0.42416539048060375,4.89457912937211,2
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,4.55808982606794,0.4063495672962767,4.519116791285564,2
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,4.175661982580004,0.3472336706659244,4.14568979744239,2
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,3.9189517599004784,0.3107726352587259,3.9057691339672873,2
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,3.628637910203351,0.2782608267590828,3.6203723326904806,2
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,3.32072692812033,0.2947388165087296,3.2978153924426508,2
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,3.084685525494333,0.22695220896726656,3.089343395473816,2
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,2.8353812446391857,0.21638412536810075,2.8216307532075398,2
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,2.6398112347414484,0.22314363014726987,2.6164460857710585,2
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,4.145864459497606,0.22186647393805953,4.147525388674559,2
