alpha,n_dim,n_cal,method,noise_type,score_type,score_transform,base_interval_alpha,shift_constant,redraw_train_test,n_train,n_test,n_trials,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0.1,3,30,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8968888888888888,0.048938411003217046,7252756.531860236,18138220.5147864,87.1334317630263,6.682872772216797e-05
0.1,3,30,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8462777777777777,0.06342806486497886,21205.402343273596,7307.788015088265,34.46110822849358,0.0005001544952392579
0.1,3,30,TSCP_R,Gaussian,cqr,capped,0.5,0.0,True,2400,600,30,0.9221666666666667,0.04560817211843373,36150.05008107332,12445.959002723623,41.581132398264224,0.0009959061940511067
0.1,3,30,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.9062222222222223,0.044521580572278584,37314.89587332294,13645.982105523915,34.322436657418315,6.690025329589844e-05
0.1,3,50,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.9093888888888889,0.043285746048594295,992554281.68195,3808245934.420857,84.63311015836148,0.00013407071431477865
0.1,3,50,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.864,0.04600224882059271,23244.604949198638,6025.765731285668,36.58569577336713,0.000400392214457194
0.1,3,50,TSCP_R,Gaussian,cqr,capped,0.5,0.0,True,2400,600,30,0.8990555555555556,0.04569112385889784,29048.157791163863,7265.487827486779,39.0031201177386,0.0009996732076009115
0.1,3,50,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.9028333333333334,0.03379323539734971,34989.99143494493,9214.175873310343,33.57804805046716,3.275871276855469e-05
0.1,3,100,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8935555555555557,0.03184833952537603,128863172.73428012,378982498.2498621,76.24342381151335,0.00010028680165608724
0.1,3,100,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8854444444444444,0.03864548898184927,25883.554462215205,5543.3013910470845,37.19528286738556,0.0008672634760538737
0.1,3,100,TSCP_R,Gaussian,cqr,capped,0.5,0.0,True,2400,600,30,0.9045000000000001,0.03743743183876254,29090.202430651116,6870.972079189172,38.49475988786442,0.0009994109471638997
0.1,3,100,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8972777777777777,0.03398355285462723,34296.73778202561,9118.008160664906,34.354256650894996,6.689230600992838e-05
0.1,3,200,CQHR,Gaussian,cqr,native,0.5,0.0,True,2400,600,30,0.8975000000000001,0.028438782811788778,5432101.810798258,19563522.182369757,79.76238772469594,3.332297007242839e-05
0.1,3,200,Empirical_copula,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.8933888888888889,0.02516795434527661,24764.34740223586,3143.7567249422264,36.42252638775954,0.0018340587615966798
0.1,3,200,TSCP_R,Gaussian,cqr,capped,0.5,0.0,True,2400,600,30,0.9032222222222223,0.02356182595642835,26190.68748667764,3569.7493872845034,36.707875765238676,0.001299460728963216
0.1,3,200,Unscaled,Gaussian,cqr,raw,0.5,0.0,True,2400,600,30,0.9017777777777778,0.02578994626254149,33271.973123372154,4864.516667966165,33.67393639001534,0.0
