alpha,n_dim,n_cal,trial,method,noise_type,score_type,test_coverage,coverage_volume,coverage_max_length,runtime,heteroskedastic_fraction,heteroskedastic_strength,redraw_train_test,n_train,n_test
0.1,10,30,9,TSCP_R,Gaussian,absolute_residual,0.89,108316076743.6003,26.203187125811887,0.0020062923431396484,0.5,1.5,True,7200,800
0.1,10,30,9,Point_CHR,Gaussian,absolute_residual,0.9,905761947878.5645,49.3531951063801,0.0,0.5,1.5,True,7200,800
0.1,10,30,9,Unscaled,Gaussian,absolute_residual,0.92125,16106809483467.016,20.926709818183834,0.0,0.5,1.5,True,7200,800
0.1,10,30,9,Empirical_copula,Gaussian,absolute_residual,0.755,20100299444.74527,27.665284428654775,0.0009975433349609375,0.5,1.5,True,7200,800
0.1,10,30,10,TSCP_R,Gaussian,absolute_residual,0.82375,32947883409.54862,24.172654878797935,0.002997875213623047,0.5,1.5,True,7200,800
0.1,10,30,10,Point_CHR,Gaussian,absolute_residual,1.0,57692649015950.1,55.27690276959962,0.0,0.5,1.5,True,7200,800
0.1,10,30,10,Unscaled,Gaussian,absolute_residual,0.85125,2836736917544.404,17.590650749401448,0.0,0.5,1.5,True,7200,800
0.1,10,30,10,Empirical_copula,Gaussian,absolute_residual,0.64,7616888348.81634,19.396844327150795,0.0010020732879638672,0.5,1.5,True,7200,800
0.1,10,30,11,TSCP_R,Gaussian,absolute_residual,0.7925,39941730008.29557,23.995107128562644,0.002003908157348633,0.5,1.5,True,7200,800
0.1,10,30,11,Point_CHR,Gaussian,absolute_residual,0.9175,949701010233.4077,32.33330542506016,0.00099945068359375,0.5,1.5,True,7200,800
0.1,10,30,11,Unscaled,Gaussian,absolute_residual,0.8575,5178022106737.448,18.681699842641525,0.0,0.5,1.5,True,7200,800
0.1,10,30,11,Empirical_copula,Gaussian,absolute_residual,0.66625,12938439447.43562,22.75388649601608,0.0,0.5,1.5,True,7200,800
0.1,10,30,12,TSCP_R,Gaussian,absolute_residual,0.935,291861503868.74493,40.128602077805624,0.0030078887939453125,0.5,1.5,True,7200,800
0.1,10,30,12,Point_CHR,Gaussian,absolute_residual,0.97,3181047306416.4937,70.40385738139206,0.0,0.5,1.5,True,7200,800
