dataset,method,coordinate,target,n_trials,full_length_mean,full_length_sd,paired_length_ratio_mean,paired_length_ratio_sd,infinite_fraction,marginal_coverage_mean,marginal_coverage_sd,marginal_mc95_lower,marginal_mc95_upper
rf2,Point_CHR,7,NAPM7_48H__0,200,2.595246043372711,0.4349435446737296,0.4692966997495418,0.07338377542783941,0.0,0.9725162760416666,0.008561966327048453,0.9713296480494378,0.9737029040338954
rf2,Point_CHR,8,DLDI4_48H__0,200,4.088383067505321,0.6442066506226614,0.7406759921386,0.11609261784389398,0.0,0.9843424479166667,0.007003955174918133,0.9833717492536017,0.9853131465797317
rf2,TSCP_R,1,CHSI2_48H__0,200,8.85596961389232,1.9388282687183709,1.600449840673742,0.3348973759946282,0.0,0.9818619791666667,0.006877303589757367,0.9809088335177659,0.9828151248155675
rf2,TSCP_R,2,NASI2_48H__0,200,1.6865262994256118,3.77853388907829,0.30325538816028524,0.6787061098044077,0.0,0.988876953125,0.009589615859277116,0.9875479001739985,0.9902060060760015
rf2,TSCP_R,3,EADM7_48H__0,200,9.216478602741276,1.5424675575993112,1.6662312033432365,0.258905339375089,0.0,0.9802994791666666,0.007070086499248345,0.9793196151696566,0.9812793431636766
rf2,TSCP_R,4,SCLM7_48H__0,200,6.510279413924163,1.7034808274774482,1.1754572461114758,0.2969049782002812,0.0,0.9819596354166665,0.007141232311439313,0.9809699111131509,0.9829493597201822
rf2,TSCP_R,5,CLKM7_48H__0,200,6.21953607813149,0.7422360765883478,1.1268383111308673,0.13460654065101352,0.0,0.977734375,0.007496965008304439,0.9766953486600447,0.9787734013399554
rf2,TSCP_R,6,VALI2_48H__0,200,1.649824463366148,0.18836118945597302,0.2992906696971729,0.037683167823796486,0.0,0.9773502604166666,0.00832630416926475,0.9761962935331661,0.9785042273001672
rf2,TSCP_R,7,NAPM7_48H__0,200,4.488542987533076,2.590948330280094,0.8117027132140779,0.47032836206423045,0.0,0.9837923177083334,0.009205129275155082,0.9825165518792298,0.985068083537437
rf2,TSCP_R,8,DLDI4_48H__0,200,3.6445102382196772,0.5417332149389704,0.6599777538676568,0.09552814152234075,0.0,0.979453125,0.007789193494989064,0.978373597858105,0.9805326521418951
scm1d,Empirical_copula,1,LBL,200,423.09089127170313,52.392428505366304,0.7415228171917255,0.09031157928814423,0.0,0.9832967873533911,0.006124769300888922,0.9824479376358422,0.98414563707094
scm1d,Empirical_copula,2,MTLp2,200,456.2899769939642,60.58564782281106,0.7997797482793296,0.10436813570776532,0.0,0.9832585415604282,0.006016410732158358,0.9824247095743142,0.9840923735465423
scm1d,Empirical_copula,3,MTLp3,200,445.73738441083884,56.58837022286651,0.7805703843725632,0.09095620273961592,0.0,0.9831489036206017,0.006120671521848659,0.9823006218262529,0.9839971854149505
scm1d,Empirical_copula,4,MTLp4,200,513.500189305987,54.58410883837398,0.899822530624236,0.09083755774251807,0.0,0.982610912799592,0.005692056031726029,0.9818220340814823,0.9833997915177017
scm1d,Empirical_copula,5,MTLp5,200,604.2932119031148,69.3139874229827,1.0588857561208487,0.11600682563872135,0.0,0.9825293217746048,0.006388707548316984,0.98164389208224,0.9834147514669697
scm1d,Empirical_copula,6,MTLp6,200,669.045856020794,75.77814854006003,1.171713061392366,0.12156035318465874,0.0,0.9831769505354412,0.006202890650720694,0.9823172737511928,0.9840366273196895
scm1d,Empirical_copula,7,MTLp7,200,655.1226372920636,71.02679267995099,1.1477755935052116,0.11825678868177025,0.0,0.9830545639979601,0.006687013350118695,0.9821277912307523,0.9839813367651679
scm1d,Empirical_copula,8,MTLp8,200,693.0586687620822,73.63994646432067,1.2141814394097616,0.12181257477720839,0.0,0.9828046914839368,0.0061112410136818784,0.9819577166913378,0.9836516662765358
scm1d,Empirical_copula,9,MTLp9,200,445.69572045807695,54.704952313097074,0.7805477911339185,0.0892977591277161,0.0,0.9833120856705762,0.006210038168822438,0.9824514182908582,0.9841727530502941
scm1d,Empirical_copula,10,MTLp10,200,498.72671790610883,61.633861316412535,0.8740541789919789,0.10636923626628567,0.0,0.9828658847526772,0.006366529619903862,0.9819835287643729,0.9837482407409815
scm1d,Empirical_copula,11,MTLp11,200,454.02953907964167,53.83417983614236,0.7955862785965507,0.09125372497264957,0.0,0.9830571137174912,0.006334313225220034,0.9821792226936915,0.9839350047412908
scm1d,Empirical_copula,12,MTLp12,200,516.6170255644163,54.66203201113571,0.9048446248456081,0.08810536419526337,0.0,0.9831183069862316,0.00593644760605363,0.9822955573239853,0.9839410566484779
scm1d,Empirical_copula,13,MTLp13,200,567.0235177212264,67.550506987034,0.9935441652407565,0.11455097014181735,0.0,0.9831540030596635,0.006323564300868328,0.9822776017607745,0.9840304043585525
