,alpha,n_dim,n_cals,n_trials,noise_type,test_coverage_avg,test_coverage_1std,coverage_vol_avg,coverage_vol_1std,coverage_max_length_median,runtime_avg
0,0.1,2,30,200,Gaussian,0.89275625,0.05099459085205353,7.953753681721939,1.858406250287132,3.9800593290692454,8.591771125793457e-05
1,0.1,2,50,200,Gaussian,0.8944124999999999,0.04234998094070872,7.793542112391394,1.4592416635529015,3.9115960790377993,4.523515701293945e-05
2,0.1,2,100,200,Gaussian,0.90195625,0.028521273770203085,7.903944731656327,1.057170876670264,3.994991864411545,0.00010543346405029298
3,0.1,2,300,200,Gaussian,0.899571875,0.018812247750775498,7.665266434991904,0.6221756222519671,3.93248304140257,0.0001306438446044922
4,0.1,2,500,200,Gaussian,0.9011375000000001,0.014157223549948491,7.647301144270974,0.45372402616210294,3.9151478455725917,0.00015126585960388185
5,0.1,10,30,200,Gaussian,0.813659375,0.07295646669692049,36774860900.737885,31942547214.131775,25.384635830268078,0.00012603282928466797
6,0.1,10,50,200,Gaussian,0.8504562500000001,0.05608773041811171,41273316903.99669,32035262323.605564,25.13945941756426,8.547902107238769e-05
7,0.1,10,100,200,Gaussian,0.877384375,0.037995061206885165,45307736501.83067,22005046044.021004,25.568696363976002,0.00011560559272766113
8,0.1,10,300,200,Gaussian,0.8907281250000001,0.01856660493205178,43924778728.329666,10315733206.437733,25.638514239165332,0.00012642860412597656
9,0.1,10,500,200,Gaussian,0.895659375,0.01676069812065817,44880902436.8985,8961278166.825296,25.706758643027833,0.0001811230182647705
