dataset,trial,n_cal,n_test,n_dim,alpha,fallback,any_backward,backward_coordinates,binary_coordinates,binary_candidates,backward_candidates,regime,runtime_ms,zero_scale_coordinates,fit_seconds
stock,56,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0227,0,0.018016899935901165
stock,57,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0359,0,0.014959100168198347
stock,58,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9699,0,0.013098199851810932
stock,59,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9586,0,0.016819800017401576
stock,60,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0095,0,0.013376099988818169
stock,61,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.1107,0,0.01690359995700419
stock,62,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9743,0,0.013286900008097291
stock,63,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0066,0,0.012945200083777308
stock,64,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0484,0,0.014044299954548478
stock,65,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9839,0,0.013373699970543385
stock,66,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0012,0,0.015482800081372261
stock,67,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0433,0,0.014337299857288599
stock,68,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0104,0,0.01405470003373921
stock,69,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9253,0,0.012756899930536747
stock,70,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0694,0,0.01327080000191927
stock,71,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9688,0,0.012689499882981181
stock,72,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0044,0,0.017853200202807784
stock,73,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9108,0,0.01639120001345873
stock,74,15,64,6,0.1,0,0,0,6,25,0,binary_only,0.9899,0,0.013028800021857023
stock,75,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9525,0,0.014628099976107478
stock,76,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0094,0,0.013702899916097522
stock,77,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9758,0,0.012867100071161985
stock,78,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9638,0,0.01420109998434782
stock,79,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.1337,0,0.01619440014474094
stock,80,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.205,0,0.01302179996855557
stock,81,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0437,0,0.015100699849426746
stock,82,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0117,0,0.013409900013357401
stock,83,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9692,0,0.015367500018328428
stock,84,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0134,0,0.01289610005915165
stock,85,15,64,6,0.1,0,0,0,6,26,0,binary_only,1.0181,0,0.014160200022161007
stock,86,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9859,0,0.01732419990003109
stock,87,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.1268,0,0.016143100103363395
stock,88,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0843,0,0.013006900204345584
stock,89,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0435,0,0.013772099977359176
stock,90,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.96,0,0.013144300086423755
stock,91,15,64,6,0.1,0,0,0,6,22,0,binary_only,0.9432,0,0.013125099940225482
stock,92,15,64,6,0.1,0,0,0,6,26,0,binary_only,1.0252,0,0.015124500030651689
stock,93,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0131,0,0.017754000145941973
stock,94,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9218,0,0.016457099933177233
stock,95,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9823,0,0.013547400012612343
stock,96,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0388,0,0.01433310005813837
stock,97,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9736,0,0.017642300110310316
stock,98,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.1144,0,0.015089400112628937
stock,99,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9721,0,0.012945699971169233
stock,100,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9835,0,0.018428399926051497
stock,101,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9844,0,0.014352500205859542
stock,102,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0441,0,0.014486700063571334
stock,103,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9951,0,0.016934999963268638
stock,104,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9192,0,0.014305599965155125
stock,105,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0427,0,0.01347700017504394
stock,106,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9788,0,0.014868299942463636
stock,107,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9634,0,0.014503099955618382
stock,108,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9699,0,0.014126900117844343
stock,109,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9877,0,0.013692399952560663
stock,110,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9835,0,0.015004799934104085
stock,111,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0602,0,0.013705200050026178
stock,112,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.0155,0,0.015600099926814437
stock,113,15,64,6,0.1,0,0,0,6,23,0,binary_only,1.0026,0,0.01281409990042448
stock,114,15,64,6,0.1,0,0,0,6,23,0,binary_only,0.9775,0,0.013448500074446201
stock,115,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.959,0,0.0132232999894768
stock,116,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9971,0,0.012683900073170662
stock,117,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0028,0,0.017613499891012907
stock,118,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9677,0,0.01626199996098876
stock,119,15,64,6,0.1,0,0,0,6,25,0,binary_only,1.0258,0,0.013097699964419007
stock,120,15,64,6,0.1,0,0,0,6,24,0,binary_only,1.0481,0,0.013757100095972419
stock,121,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9944,0,0.018399500055238605
stock,122,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9812,0,0.01604099990800023
stock,123,15,64,6,0.1,0,0,0,6,24,0,binary_only,0.9519,0,0.014323299983516335
